xml_id	midi_id	track	channel	pitch	onset
n4-1	n0	1	0	39	2.049139254166666
n5-1	n1	1	0	40	2.087600679166666
n6-1	n2	1	0	40	2.2051217000000003
n7-1	n3	1	0	40	2.337599941666667
n9-1	n4	1	0	40	2.49678750625
n10-1	n5	1	0	40	2.66986391875
n11-1	n6	1	0	40	2.8055472791666665
n13-1	n8	1	0	39	2.9914441666666667
n14-1	n7	1	0	40	2.9850339291666668
n15-1	n9	1	0	40	3.159178714583333
n16-1	n10	1	0	40	3.3087509229166665
n18-1	n12	1	0	39	3.479690589583334
n19-1	n11	1	0	40	3.473280352083334
n20-1	n13	1	0	40	3.630331170833334
n21-1	n14	1	0	40	3.793792227083334
n24-1	n17	1	0	40	3.9615267750000007
n23-1	n15	1	0	46	3.9583216562500008
n25-1	n16	1	0	47	3.9593900291666673
n26-1	n18	1	0	40	4.126056204166667
n27-1	n19	1	0	47	4.127124577083333
n28-1	n20	1	0	40	4.28203865
n29-1	n21	1	0	47	4.28524376875
n31-1	n23	1	0	40	4.444431333333332
n32-1	n22	1	0	47	4.4294741124999994
n33-1	n24	1	0	40	4.594003541666666
n34-1	n25	1	0	47	4.596140287499999
n35-1	deletion
n36-1	n26	1	0	47	4.752122733333333
n39-1	n28	1	0	40	4.900626568749999
n38-1	n29	1	0	46	4.902763314583332
n40-1	n27	1	0	47	4.889942839583332
n41-1	n30	1	0	40	5.057677387499998
n42-1	n31	1	0	47	5.068361116666665
n43-1	n33	1	0	40	5.236095664583331
n44-1	n32	1	0	47	5.228617054166665
n47-1	n36	1	0	40	5.381394381249997
n46-1	n35	1	0	46	5.372847397916664
n48-1	n34	1	0	47	5.367505533333331
n49-1	n38	1	0	40	5.542718691666662
n50-1	n37	1	0	47	5.5363084541666625
n51-1	n39	1	0	40	5.6773336791666615
n52-1	n40	1	0	47	5.689085781249995
n57-1	n44	1	0	40	5.8429314812499955
n58-1	n41	1	0	47	5.833316124999995
n53-1	n42	1	0	53	5.833316124999995
n54-1	n43	1	0	54	5.839726362499995
n59-1	n45	1	0	40	5.9818199604166615
n60-1	n46	1	0	47	5.989298570833328
n55-1	n47	1	0	54	5.999982299999995
n61-1	n50	1	0	40	6.160238237499994
n62-1	n49	1	0	47	6.157033118749994
n56-1	n48	1	0	54	6.153827999999994
n66-1	n51	1	0	40	6.310878818749994
n67-1	n53	1	0	47	6.31835742916666
n63-1	n52	1	0	54	6.313015564583327
n68-1	n54	1	0	40	6.455109162499993
n69-1	n56	1	0	47	6.479681739583326
n64-1	n55	1	0	54	6.461519399999993
n70-1	n57	1	0	40	6.622843710416661
n71-1	n59	1	0	47	6.645279541666661
n65-1	n58	1	0	54	6.638869304166661
n79-1	n61	1	0	40	6.768142427083328
n80-1	n60	1	0	47	6.767074054166661
n72-1	n62	1	0	53	6.772415918749995
n73-1	n64	1	0	54	6.777757783333328
n74-1	n63	1	0	61	6.773484291666661
n81-1	n67	1	0	40	6.936945347916663
n82-1	n66	1	0	47	6.933740229166663
n75-1	n68	1	0	54	6.94762907708333
n76-1	n65	1	0	61	6.9177146354166625
n83-1	n71	1	0	40	7.087585929166663
n84-1	n70	1	0	47	7.086517556249997
n77-1	n69	1	0	54	7.073697081249997
n78-1	n72	1	0	61	7.093996166666663
n91-1	n74	1	0	40	7.230747899999997
n92-1	n73	1	0	47	7.229679527083331
n85-1	n76	1	0	54	7.254252104166664
n86-1	n75	1	0	61	7.242500002083331
n93-1	n78	1	0	40	7.407029431249997
n94-1	n77	1	0	47	7.401687566666664
n96-1	deletion
n87-1	n80	1	0	54	7.408097804166664
n88-1	n79	1	0	61	7.407029431249997
n95-1	n83	1	0	40	7.56301187708333
n89-1	n82	1	0	54	7.548054656249996
n90-1	n81	1	0	61	7.54698628333333
n104-1	n89	1	0	40	7.763865985416663
n105-1	n85	1	0	47	7.714720831249997
n106-1	n86	1	0	54	7.715789204166663
n97-1	n84	1	0	60	7.71365245833333
n98-1	n88	1	0	61	7.7211310687499966
n99-1	n87	1	0	69	7.715789204166663
n107-1	n92	1	0	40	7.882455379166663
n108-1	n90	1	0	47	7.86108792083333
n109-1	n94	1	0	54	7.8995493458333295
n100-1	n91	1	0	61	7.868566531249996
n101-1	n93	1	0	69	7.885660497916663
n110-1	n96	1	0	40	8.049121554166662
n111-1	n97	1	0	47	8.052326672916662
n112-1	n99	1	0	54	8.068352266666661
n102-1	n98	1	0	61	8.054463418749995
n103-1	n95	1	0	69	8.032027587499996
n119-1	n103	1	0	40	8.21044586458333
n120-1	n100	1	0	47	8.185873287499994
n121-1	n104	1	0	54	8.213650983333329
n113-1	n101	1	0	61	8.197625389583328
n114-1	n102	1	0	69	8.204035627083329
n122-1	n108	1	0	40	8.369633429166662
n123-1	n107	1	0	47	8.367496683333329
n124-1	n105	1	0	54	8.35147108958333
n115-1	n109	1	0	61	8.370701802083328
n116-1	n106	1	0	69	8.365359937499996
n125-1	n112	1	0	40	8.52988936666666
n126-1	n110	1	0	47	8.506385162499994
n127-1	n111	1	0	54	8.514932145833328
n117-1	n113	1	0	61	8.530957739583327
n118-1	n114	1	0	69	8.53629960416666
n135-1	n120	1	0	40	8.675188083333321
n136-1	n118	1	0	47	8.666641099999989
n137-1	n117	1	0	54	8.661299235416656
n128-1	n115	1	0	61	8.65702574374999
n129-1	n119	1	0	62	8.667709472916655
n130-1	n116	1	0	69	8.659162489583323
n138-1	n121	1	0	40	8.813008189583321
n139-1	n122	1	0	47	8.814076562499988
n140-1	n125	1	0	54	8.824760291666653
n131-1	n123	1	0	62	8.81941842708332
n132-1	n124	1	0	69	8.820486799999987
n141-1	n130	1	0	40	8.98287948333332
n142-1	n128	1	0	47	8.980742737499988
n143-1	n126	1	0	54	8.96685388958332
n133-1	n129	1	0	62	8.980742737499988
n134-1	n127	1	0	69	8.97326412708332
n149-1	n134	1	0	40	9.131383318749986
n150-1	n135	1	0	47	9.135656810416652
n151-1	n133	1	0	54	9.129246572916653
n144-1	n132	1	0	62	9.124973081249987
n145-1	n131	1	0	69	9.122836335416654
n152-1	n139	1	0	40	9.294844374999984
n153-1	n138	1	0	47	9.289502510416652
n154-1	n137	1	0	54	9.285229018749986
n146-1	n136	1	0	62	9.277750408333318
n147-1	deletion
n155-1	n143	1	0	40	9.443348210416652
n156-1	n142	1	0	47	9.440143091666652
n157-1	n141	1	0	54	9.439074718749985
n148-1	n140	1	0	69	9.424117497916653
n163-1	n148	1	0	40	9.624971606249984
n164-1	n147	1	0	47	9.621766487499984
n165-1	n146	1	0	54	9.619629741666651
n158-1	n144	1	0	62	9.589715299999986
