idx,matchtype,partid,ppartid
0,0,n8-1,n1
1,0,n2-1,n2
2,0,n3-1,n0
3,0,n20-1,n4
4,1,n10-1,undefined
5,0,n12-1,n5
6,1,n5-1,undefined
7,0,n6-1,n3
8,1,n13-1,undefined
9,1,n16-1,undefined
10,0,n21-1,n7
11,0,n17-1,n6
12,0,n22-1,n9
13,0,n18-1,n8
14,0,n30-1,n12
15,0,n26-1,n11
16,0,n31-1,n14
17,0,n27-1,n13
18,0,n32-1,n16
19,0,n28-1,n15
20,0,n33-1,n18
21,0,n29-1,n17
22,0,n41-1,n20
23,0,n35-1,n21
24,0,n36-1,n19
25,0,n43-1,n24
26,0,n38-1,n23
27,0,n39-1,n22
28,0,n53-1,n26
29,0,n45-1,n27
30,1,n49-1,undefined
31,0,n46-1,n25
32,0,n54-1,n29
33,0,n50-1,n28
34,0,n55-1,n31
35,0,n51-1,n30
36,0,n63-1,n33
37,0,n59-1,n32
38,0,n64-1,n35
39,0,n60-1,n34
40,0,n65-1,n37
41,0,n61-1,n36
42,0,n66-1,n39
43,0,n62-1,n38
44,0,n74-1,n40
45,0,n68-1,n42
46,0,n69-1,n41
47,0,n76-1,n45
48,0,n71-1,n44
49,0,n72-1,n43
50,0,n85-1,n46
51,0,n86-1,n47
52,0,n78-1,n48
53,0,n79-1,n49
54,0,n89-1,n50
55,0,n90-1,n51
56,0,n81-1,n53
57,0,n82-1,n52
58,0,n97-1,n56
59,0,n98-1,n57
60,0,n91-1,n55
61,0,n92-1,n54
62,0,n99-1,n61
63,0,n100-1,n62
64,0,n93-1,n60
65,0,n94-1,n59
66,0,n101-1,n66
67,0,n102-1,n67
68,0,n95-1,n65
69,0,n96-1,n64
70,0,n111-1,n70
71,0,n112-1,n71
72,0,n103-1,n69
73,0,n104-1,n68
74,0,n117-1,n86
75,0,n115-1,n79
76,0,n113-1,n75
77,0,n118-1,n85
78,0,n116-1,n80
79,0,n114-1,n76
80,0,n109-1,n88
81,0,n107-1,n81
82,0,n105-1,n74
83,0,n110-1,n87
84,0,n108-1,n82
85,2,undefined,n78
86,0,n106-1,n73
87,0,n129-1,n90
88,0,n130-1,n91
89,0,n119-1,n93
90,0,n120-1,n92
91,0,n133-1,n96
92,0,n134-1,n97
93,0,n123-1,n95
94,0,n124-1,n94
95,0,n135-1,n100
96,0,n137-1,n104
97,0,n136-1,n101
98,0,n138-1,n105
99,0,n125-1,n99
