idx,matchtype,partid,ppartid
0,0,n8-1,n2
1,0,n2-1,n0
2,0,n3-1,n1
3,0,n10-1,n5
4,0,n5-1,n4
5,0,n6-1,n3
6,1,n20-1,undefined
7,1,n12-1,undefined
8,1,n16-1,undefined
9,1,n13-1,undefined
10,1,n21-1,undefined
11,1,n17-1,undefined
12,0,n22-1,n9
13,0,n18-1,n8
14,1,n30-1,undefined
15,1,n26-1,undefined
16,0,n31-1,n13
17,0,n27-1,n12
18,0,n32-1,n14
19,0,n28-1,n15
20,1,n33-1,undefined
21,1,n29-1,undefined
22,0,n41-1,n23
23,0,n35-1,n22
24,0,n36-1,n21
25,0,n43-1,n25
26,0,n38-1,n26
27,0,n39-1,n24
28,1,n53-1,undefined
29,1,n45-1,undefined
30,1,n49-1,undefined
31,1,n46-1,undefined
32,1,n54-1,undefined
33,1,n50-1,undefined
34,0,n55-1,n30
35,0,n51-1,n29
36,1,n63-1,undefined
37,1,n59-1,undefined
38,0,n64-1,n34
39,0,n60-1,n33
40,1,n65-1,undefined
41,1,n61-1,undefined
42,1,n66-1,undefined
43,1,n62-1,undefined
44,0,n74-1,n43
45,0,n68-1,n44
46,0,n69-1,n42
47,0,n76-1,n46
48,1,n85-1,undefined
49,0,n71-1,n45
50,0,n72-1,n48
51,0,n86-1,n50
52,0,n78-1,n52
53,0,n90-1,n56
54,0,n79-1,n51
55,0,n81-1,n53
56,1,n89-1,undefined
57,0,n82-1,n54
58,1,n97-1,undefined
59,1,n98-1,undefined
60,1,n91-1,undefined
61,1,n92-1,undefined
62,1,n99-1,undefined
63,1,n100-1,undefined
64,1,n93-1,undefined
65,1,n94-1,undefined
66,0,n101-1,n65
67,0,n102-1,n64
68,0,n95-1,n63
69,0,n96-1,n62
70,1,n111-1,undefined
71,1,n112-1,undefined
72,1,n103-1,undefined
73,1,n104-1,undefined
74,0,n117-1,n82
75,0,n115-1,n76
76,0,n113-1,n71
77,0,n118-1,n80
78,0,n116-1,n77
79,0,n114-1,n72
80,0,n109-1,n79
81,0,n107-1,n75
82,0,n105-1,n74
83,0,n110-1,n81
84,0,n108-1,n78
85,0,n106-1,n73
86,0,n129-1,n95
87,1,n135-1,undefined
88,0,n130-1,n92
89,1,n136-1,undefined
90,0,n119-1,n94
91,1,n125-1,undefined
92,0,n120-1,n93
93,1,n126-1,undefined
94,0,n133-1,n90
95,0,n134-1,n91
96,0,n123-1,n89
97,0,n124-1,n88
98,0,n137-1,n98
99,0,n138-1,n99
100,0,n127-1,n97
101,0,n128-1,n96
102,1,n147-1,undefined
103,1,n148-1,undefined
104,1,n139-1,undefined
105,1,n140-1,undefined
106,0,n153-1,n114
107,0,n166-1,n123
108,0,n179-1,n132
109,0,n151-1,n109
110,1,n149-1,undefined
111,0,n154-1,n112
112,0,n152-1,n108
113,1,n150-1,undefined
114,0,n145-1,n113
115,0,n143-1,n110
116,1,n141-1,undefined
117,0,n146-1,n115
118,0,n144-1,n111
119,1,n142-1,undefined
120,0,n159-1,n121
121,1,n164-1,undefined
122,1,n160-1,undefined
123,1,n155-1,undefined
124,1,n156-1,undefined
125,0,n165-1,n122
126,0,n180-1,n133
