xml_id	midi_id	track	channel	pitch	onset
n32-1	n3	1	0	24	0.9960937500000001
n23-1	n28	1	0	43	3.84765625
n67-1	n41	1	0	43	4.61328125
n30-1	deletion
n22-1	n27	1	0	46	3.74609375
n28-1	n0	1	0	48	0.8658854166666667
n21-1	n26	1	0	48	3.626302083333333
n20-1	n25	1	0	52	3.5299479166666665
n19-1	n24	1	0	55	3.4440104166666665
n18-1	n23	1	0	58	3.3515624999999996
n1-1	n1	1	0	60	0.8658854166666667
n33-1	n4	1	0	60	1.5143229166666665
n17-1	n22	1	0	60	3.2630208333333326
n16-1	n21	1	0	64	3.1848958333333326
n34-1	n5	1	0	67	1.6028645833333333
n15-1	n20	1	0	67	3.1028645833333326
n35-1	n6	1	0	70	1.6940104166666665
n14-1	n19	1	0	70	3.0091145833333326
n13-1	n18	1	0	72	2.936197916666666
n36-1	n8	1	0	76	1.8320312499999998
n12-1	n17	1	0	76	2.852864583333333
n11-1	n16	1	0	79	2.802083333333333
n10-1	n15	1	0	82	2.7148437499999996
n3-1	n7	1	0	84	1.8229166666666665
n9-1	n14	1	0	84	2.6302083333333326
n4-1	n10	1	0	88	2.1302083333333335
n8-1	n13	1	0	88	2.548177083333333
n7-1	n12	1	0	91	2.4296874999999996
n6-1	n11	1	0	94	2.2994791666666665
n5-1	n9	1	0	96	2.12890625
n39-1	n30	1	0	40	4.036458333333333
n68-1	n44	1	0	44	4.803385416666666
n31-1	deletion
n26-1	n32	1	0	46	4.14453125
n58-1	n38	1	0	46	4.442708333333333
n25-1	n31	1	0	48	4.055989583333333
n44-1	n39	1	0	48	4.497395833333333
n24-1	n29	1	0	50	3.9557291666666665
n65-1	n34	1	0	41	4.244791666666667
n66-1	n36	1	0	42	4.41796875
n57-1	n33	1	0	45	4.23828125
n41-1	deletion
n43-1	n37	1	0	50	4.427083333333333
n42-1	n35	1	0	52	4.328125
n45-1	n40	1	0	47	4.595052083333333
n60-1	n45	1	0	47	4.803385416666666
n59-1	deletion
n48-1	n46	1	0	50	4.893229166666666
n47-1	n43	1	0	52	4.798177083333333
n46-1	n42	1	0	53	4.69921875
n69-1	n48	1	0	45	4.999999999999999
n61-1	n47	1	0	48	4.988281249999999
n105-1	n60	1	0	48	6.0546875
n102-1	n63	1	0	48	6.88671875
