onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.013887,0.23771344,68,49,1,0,n0,-10.0,-10.0
2.0178933,0.23370703,77,45,1,0,n1,-10.0,-10.0
2.0419316,0.20966859,72,24,1,0,n2,-10.0,-10.0
2.1274018,0.12419859,79,53,1,0,n3,-10.0,-10.0
2.134079,0.11752125,70,37,1,0,n4,-10.0,-10.0
2.1354146,0.116185784,73,36,1,0,n5,-10.0,-10.0
2.23691,0.040064063,77,64,1,0,n6,-10.0,-10.0
2.2449229,0.057425156,72,45,1,0,n7,-10.0,-10.0
2.2569423,0.042735,68,39,1,0,n8,-10.0,-10.0
2.313032,1.6412911,67,55,1,0,n9,-10.0,-10.0
2.3143673,1.6399556,75,61,1,0,n10,2.3136995,1.0
2.3998373,1.5544857,77,66,1,0,n11,2.3136995,1.0
2.4185338,1.535789,68,42,1,0,n12,2.3136995,1.0
2.4452434,1.5090797,72,36,1,0,n13,2.3136995,1.0
2.4826365,1.4716866,67,53,1,0,n14,2.3136995,1.0
2.4906492,1.4636737,75,64,1,0,n15,2.3136995,1.0
2.5066748,1.4476482,70,38,1,0,n16,2.3136995,1.0
2.6028285,1.3514944,73,68,1,0,n17,2.3136995,1.0
2.6161833,1.3381397,68,48,1,0,n18,2.3136995,1.0
2.629538,1.324785,75,55,1,0,n19,2.3136995,1.0
2.6335444,1.3207786,65,48,1,0,n20,2.3136995,1.0
2.6402218,1.3141012,70,61,1,0,n21,2.3136995,1.0
2.6589184,1.2954047,67,25,1,0,n22,2.3136995,1.0
2.732369,1.2219539,73,68,1,0,n23,2.3136995,1.0
2.7617493,1.1925735,65,36,1,0,n24,2.3136995,1.0
2.7644203,1.1899027,68,54,1,0,n25,2.3136995,1.0
2.825852,1.1284711,72,70,1,0,n26,2.3136995,1.0
2.8538966,1.1004262,63,57,1,0,n27,2.3136995,1.0
2.8846126,1.0697105,67,18,1,0,n28,2.853897,2.0
2.8926253,1.0616976,73,82,1,0,n29,2.853897,2.0
2.900638,1.0536848,65,79,1,0,n30,2.853897,2.0
2.90598,1.048343,68,73,1,0,n31,2.853897,2.0
2.974089,0.9802341,63,79,1,0,n32,2.853897,2.0
2.974089,0.9802341,67,45,1,0,n33,2.853897,2.0
2.9780953,0.97622764,72,71,1,0,n34,2.853897,2.0
3.0835974,0.87072563,66,76,1,0,n35,2.853897,2.0
3.0889392,0.86538374,70,75,1,0,n36,2.853897,2.0
3.1303387,0.8239842,67,47,1,0,n37,2.853897,2.0
3.1316743,0.82264876,72,65,1,0,n38,2.853897,2.0
3.137016,0.8173069,63,59,1,0,n39,2.853897,2.0
3.2331698,0.72115314,70,84,1,0,n40,2.853897,2.0
3.2518663,0.70245653,61,67,1,0,n41,2.853897,2.0
3.259879,0.69444376,65,67,1,0,n42,2.853897,2.0
3.307956,0.6463669,68,75,1,0,n43,2.853897,2.0
3.3173044,0.6370186,63,63,1,0,n44,3.317304,3.0
3.3239818,0.63034123,60,68,1,0,n45,3.317304,3.0
3.398768,0.555555,70,81,1,0,n46,3.317304,3.0
3.4081163,0.5462067,61,63,1,0,n47,3.317304,3.0
3.4214709,0.53285205,65,67,1,0,n48,3.317304,3.0
3.4962573,0.45806578,68,77,1,0,n49,3.317304,3.0
3.498928,0.45539483,60,76,1,0,n50,3.317304,3.0
3.5176246,0.4366983,63,60,1,0,n51,3.317304,3.0
3.5697079,0.384615,67,85,1,0,n52,3.317304,3.0
3.6111076,0.34321547,58,37,1,0,n53,3.317304,3.0
3.6217914,0.33253172,61,47,1,0,n54,3.317304,3.0
3.6738746,0.28044844,68,68,1,0,n55,3.317304,3.0
3.6792164,0.27510655,63,61,1,0,n56,3.317304,3.0
