onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5090797,0.874732,77,43,0,0,n0,-10.0,-10.0
1.5518147,0.83199704,72,29,0,0,n1,-10.0,-10.0
1.563834,0.8199778,68,12,0,0,n2,-10.0,-10.0
1.7895281,0.5942836,79,44,0,0,n3,-10.0,-10.0
1.8055538,0.578258,73,40,0,0,n4,-10.0,-10.0
1.8189085,0.56490326,70,32,0,0,n5,-10.0,-10.0
1.9738228,0.4099889,68,44,0,0,n6,-10.0,-10.0
1.988513,0.39529875,77,43,0,0,n7,-10.0,-10.0
1.9898485,0.39396328,72,44,0,0,n8,-10.0,-10.0
2.091344,0.29246765,75,56,0,0,n9,-10.0,-10.0
2.094015,0.2897967,70,45,0,0,n10,2.094015,1.0
2.1046987,0.27911296,67,46,0,0,n11,2.094015,1.0
2.1981816,0.18563016,68,54,0,0,n12,2.094015,1.0
2.2155426,0.16826907,72,44,0,0,n13,2.094015,1.0
2.2195492,0.16426265,77,29,0,0,n14,2.094015,1.0
2.3050191,0.078792654,70,49,0,0,n15,2.094015,1.0
2.30769,0.07612172,67,47,0,0,n16,2.094015,1.0
2.3116963,0.07211531,75,58,0,0,n17,2.094015,1.0
2.37847,0.0641025,73,48,0,0,n18,2.094015,1.0
2.3838117,0.07478625,68,37,0,0,n19,2.094015,1.0
2.4065146,0.05074781,65,39,0,0,n20,2.094015,1.0
2.504004,0.93883455,70,59,0,0,n21,2.094015,1.0
2.5120168,0.9308217,67,49,0,0,n22,2.094015,1.0
2.5120168,0.9308217,75,46,0,0,n23,2.094015,1.0
2.5560873,0.88675123,65,41,0,0,n24,2.094015,1.0
2.5681064,0.874732,73,63,0,0,n25,2.094015,1.0
2.589474,0.8533645,68,41,0,0,n26,2.094015,1.0
2.6762793,0.76655906,67,59,0,0,n27,2.094015,1.0
2.6829567,0.75988173,72,58,0,0,n28,2.094015,1.0
2.6963115,0.746527,63,59,0,0,n29,2.682957,2.0
2.7737687,0.6690698,68,46,0,0,n30,2.682957,2.0
2.777775,0.66506344,65,36,0,0,n31,2.682957,2.0
2.7817814,0.66105705,73,43,0,0,n32,2.682957,2.0
2.8445485,0.59829,63,64,0,0,n33,2.682957,2.0
2.8485548,0.5942836,67,62,0,0,n34,2.682957,2.0
2.8579032,0.5849353,72,54,0,0,n35,2.682957,2.0
2.9166636,0.52617466,61,74,0,0,n36,2.682957,2.0
2.9206703,0.5221683,70,63,0,0,n37,2.682957,2.0
2.9340248,0.5088136,65,50,0,0,n38,2.682957,2.0
2.9927855,0.45005298,67,68,0,0,n39,2.682957,2.0
3.0128174,0.43002093,72,56,0,0,n40,2.682957,2.0
3.016824,0.42601454,63,55,0,0,n41,2.682957,2.0
3.0862682,0.35657015,70,72,0,0,n42,2.682957,2.0
3.0942812,0.34855735,65,63,0,0,n43,2.682957,2.0
3.096952,0.3458864,61,56,0,0,n44,2.682957,2.0
3.1436934,0.299145,66,13,0,0,n45,2.682957,2.0
3.1436934,0.299145,68,64,0,0,n46,2.682957,2.0
3.1517062,0.29113218,60,61,0,0,n47,3.151706,3.0
3.1530416,0.2897967,63,61,0,0,n48,3.151706,3.0
3.227828,0.21501046,70,64,0,0,n49,3.151706,3.0
3.2345054,0.20833312,61,66,0,0,n50,3.151706,3.0
3.2572083,0.18563016,65,49,0,0,n51,3.151706,3.0
3.3026142,0.14022422,64,20,0,0,n52,3.151706,3.0
3.3266528,0.12152766,68,60,0,0,n53,3.151706,3.0
3.33333,0.10950844,63,60,0,0,n54,3.151706,3.0
3.350691,0.09214734,60,56,0,0,n55,3.151706,3.0
3.4147935,0.06810891,67,57,0,0,n56,3.151706,3.0
3.4214709,0.056089688,66,44,0,0,n57,3.151706,3.0
3.4374967,0.036057655,61,50,0,0,n58,3.151706,3.0
3.5176246,0.39129233,60,56,0,0,n59,3.151706,3.0
3.5189602,0.38995686,63,62,0,0,n60,3.151706,3.0
3.529644,0.37927312,68,47,0,0,n61,3.151706,3.0
3.6271331,0.2817839,58,63,0,0,n62,3.151706,3.0
3.6311395,0.2777775,61,36,0,0,n63,3.151706,3.0
3.883543,0.84802264,65,60,0,0,n64,3.151706,3.0
3.9556584,0.77590734,56,35,0,0,n65,3.9196005,4.0
4.1185856,0.6129801,60,49,0,0,n66,3.9196005,4.0
4.228094,0.50347173,53,56,0,0,n67,3.9196005,4.0
4.34428,0.38728595,71,73,0,0,n68,3.9196005,4.0
4.412389,0.31917703,59,31,0,0,n69,3.9196005,4.0
4.4951878,0.23637797,68,49,0,0,n70,3.9196005,4.0
4.5232325,0.20833312,65,52,0,0,n71,3.9196005,4.0
4.607367,0.12419859,72,74,0,0,n72,3.9196005,4.0
4.632741,0.09882469,60,56,0,0,n73,3.9196005,4.0
4.7115335,0.5729161,64,66,0,0,n74,3.9196005,4.0
4.763617,0.52083284,55,45,0,0,n75,4.7375755,5.0
4.806352,0.47809783,58,69,0,0,n76,4.7375755,5.0
4.882474,0.4019761,53,61,0,0,n77,4.7375755,5.0
4.937228,0.34722188,73,74,0,0,n78,4.7375755,5.0
4.9585953,0.32585436,61,64,0,0,n79,4.7375755,5.0
5.0667686,0.21768141,64,39,0,0,n80,4.7375755,5.0
5.173606,0.110843904,72,76,0,0,n81,4.7375755,5.0
5.1869607,0.097489215,60,67,0,0,n82,4.7375755,5.0
5.2831144,0.66506344,65,74,0,0,n83,4.7375755,5.0
5.3124948,0.6356831,56,53,0,0,n84,5.2978044,6.0
5.404642,0.54353577,60,47,0,0,n85,5.2978044,6.0
5.535518,0.41265985,53,64,0,0,n86,5.2978044,6.0
6.0817246,0.046741407,77,45,0,0,n87,5.2978044,6.0
6.1017566,1.3408107,72,31,0,0,n88,5.2978044,6.0
6.128466,1.3141012,77,17,0,0,n89,5.2978044,6.0
6.1404853,1.3020821,68,32,0,0,n90,5.2978044,6.0
6.2780385,1.1645287,79,41,0,0,n91,5.2978044,6.0
6.2887225,1.153845,70,34,0,0,n92,5.2978044,6.0
6.2887225,1.153845,73,34,0,0,n93,5.2978044,6.0
6.427611,1.0149562,77,55,0,0,n94,5.2978044,6.0
6.435624,1.0069435,72,48,0,0,n95,5.2978044,6.0
6.438295,1.0042725,68,42,0,0,n96,5.2978044,6.0
6.4970555,0.9455119,70,51,0,0,n97,5.2978044,6.0
6.5117455,0.9308217,75,55,0,0,n98,5.2978044,6.0
6.513081,0.9294863,67,47,0,0,n99,6.511746,7.0
6.606564,0.8360034,68,57,0,0,n100,6.511746,7.0
6.614577,0.82799065,77,49,0,0,n101,6.511746,7.0
