xml_id	midi_id	track	channel	pitch	onset
n40-1	n36	1	0	61	3.629262797916664
n46-1	n43	1	0	61	3.818364804166664
n52-1	n48	1	0	61	3.969005385416664
n31-1	n29	1	0	63	3.3888788916666654
n37-1	n34	1	0	63	3.5202887604166646
n43-1	n41	1	0	63	3.702980529166664
n50-1	n47	1	0	63	3.898492772916664
n21-1	n19	1	0	65	3.102554949999999
n27-1	n25	1	0	65	3.2660160062499983
n34-1	n32	1	0	65	3.4476394020833316
n41-1	n37	1	0	65	3.6346046624999975
n47-1	n44	1	0	65	3.826911787499997
n53-1	n49	1	0	65	3.9839626062499973
n78-1	n64	1	0	65	4.680541747916664
n93-1	deletion
n12-1	n8	1	0	67	2.740376531249999
n18-1	n16	1	0	67	2.9893074208333323
n24-1	n22	1	0	67	3.1655889520833322
n32-1	n28	1	0	67	3.383537027083332
n38-1	n33	1	0	67	3.516015268749998
n44-1	n40	1	0	67	3.6858865624999972
n15-1	n12	1	0	68	2.8984957229166652
n22-1	n17	1	0	68	3.0694353895833326
n28-1	n26	1	0	68	3.2777681083333317
n35-1	n30	1	0	68	3.438024045833332
n51-1	n45	1	0	68	3.8856722979166642
n9-1	deletion
n3-1	deletion
n6-1	n5	1	0	70	2.429480012499999
n13-1	n10	1	0	70	2.7553337520833323
n19-1	n15	1	0	70	2.980760437499999
n25-1	n21	1	0	70	3.1623838333333323
n42-1	n38	1	0	70	3.6410148999999974
n48-1	n42	1	0	70	3.808749447916664
n10-1	n7	1	0	72	2.599351306249999
n16-1	n13	1	0	72	2.9038375874999987
n33-1	n27	1	0	72	3.358964449999999
n39-1	n35	1	0	72	3.524562252083331
n45-1	n39	1	0	72	3.678407952083331
n4-1	deletion
n7-1	n4	1	0	73	2.4241381479166657
n23-1	n18	1	0	73	3.0790507458333325
n29-1	n24	1	0	73	3.263879260416665
n36-1	n31	1	0	73	3.4422975374999987
n14-1	n9	1	0	75	2.751060260416666
n20-1	n14	1	0	75	2.973281827083332
n26-1	n23	1	0	75	3.175204308333332
n11-1	n6	1	0	77	2.5854624583333323
n17-1	n11	1	0	77	2.886743620833332
n5-1	deletion
n8-1	n3	1	0	79	2.3963604520833326
n58-1	n56	1	0	58	4.195500443749997
n64-1	n60	1	0	58	4.388875941666664
n49-1	n46	1	0	60	3.8942192812499976
n55-1	n53	1	0	60	4.0779794229166635
n61-1	n57	1	0	60	4.285243768749998
n79-1	n65	1	0	60	4.941224739583329
n84-1	n72	1	0	60	5.423060924999995
n92-1	n81	1	0	60	6.339724887499994
n70-1	deletion
n75-1	deletion
n59-1	n55	1	0	61	4.19122695208333
n65-1	n62	1	0	61	4.401696416666665
n56-1	n52	1	0	63	4.073705931249997
n62-1	n58	1	0	63	4.286312141666665
n60-1	n54	1	0	67	4.17840647708333
n66-1	n61	1	0	67	4.398491297916665
n57-1	n51	1	0	68	4.05981708333333
n63-1	n59	1	0	68	4.291654006249998
n54-1	n50	1	0	70	3.993577962499997
n80-1	n66	1	0	53	5.064087624999995
n77-1	n63	1	0	56	4.678405002083331
