onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491393,1.945507,77,44,1,0,n0,-10.0,-10.0
2.0673015,1.9273448,72,38,1,0,n1,-10.0,-10.0
2.0918741,1.9027722,68,18,1,0,n2,-10.0,-10.0
2.3963604,1.5982859,79,47,1,0,n3,-10.0,-10.0
2.424138,1.5705082,73,42,1,0,n4,-10.0,-10.0
2.42948,1.5651664,70,39,1,0,n5,-10.0,-10.0
2.5854626,1.4091839,77,50,1,0,n6,-10.0,-10.0
2.5993514,1.395295,72,47,1,0,n7,-10.0,-10.0
2.7403765,1.2542698,67,51,1,0,n8,-10.0,-10.0
2.7510602,1.2435861,75,45,1,0,n9,2.75106,1.0
2.7553337,1.2393125,70,50,1,0,n10,2.75106,1.0
2.8867435,1.1079028,77,60,1,0,n11,2.75106,1.0
2.8984957,1.0961506,68,39,1,0,n12,2.75106,1.0
2.9038377,1.0908087,72,37,1,0,n13,2.75106,1.0
2.9732819,1.0213645,75,52,1,0,n14,2.75106,1.0
2.9807603,1.0138859,70,53,1,0,n15,2.75106,1.0
2.9893074,1.0053389,67,56,1,0,n16,2.75106,1.0
3.0694354,0.92521095,68,49,1,0,n17,2.75106,1.0
3.0790508,0.9155956,73,60,1,0,n18,2.75106,1.0
3.102555,0.8920914,65,49,1,0,n19,2.75106,1.0
3.1068285,0.8878179,66,7,1,0,n20,2.75106,1.0
3.1623838,0.8322625,70,57,1,0,n21,2.75106,1.0
3.1655889,0.8290574,67,55,1,0,n22,2.75106,1.0
3.1752043,0.81944203,75,59,1,0,n23,2.75106,1.0
3.2638793,0.7307671,73,69,1,0,n24,2.75106,1.0
3.266016,0.7286303,65,57,1,0,n25,2.75106,1.0
3.2777681,0.71687824,68,58,1,0,n26,2.75106,1.0
3.3589644,0.63568187,72,76,1,0,n27,2.75106,1.0
3.383537,0.6111093,67,65,1,0,n28,3.383537,2.0
3.3888788,0.6057674,63,62,1,0,n29,3.383537,2.0
3.438024,0.55662227,68,52,1,0,n30,3.383537,2.0
3.4422975,0.5523488,73,67,1,0,n31,3.383537,2.0
3.4476395,0.5470069,65,60,1,0,n32,3.383537,2.0
3.5160153,0.47863108,67,67,1,0,n33,3.383537,2.0
3.5202887,0.47435758,63,63,1,0,n34,3.383537,2.0
3.5245624,0.47008407,72,59,1,0,n35,3.383537,2.0
3.6292627,0.36538354,61,68,1,0,n36,3.383537,2.0
3.6346047,0.36004168,65,43,1,0,n37,3.383537,2.0
3.6410148,0.35363144,70,58,1,0,n38,3.383537,2.0
3.678408,0.31623837,72,73,1,0,n39,3.383537,2.0
3.6858866,0.30875978,67,56,1,0,n40,3.383537,2.0
3.7029805,0.2916658,63,58,1,0,n41,3.383537,2.0
3.8087494,0.18589689,70,58,1,0,n42,3.383537,2.0
3.8183649,0.17628153,61,64,1,0,n43,3.383537,2.0
3.8269117,0.16773455,65,53,1,0,n44,3.383537,2.0
3.8856723,0.10897404,68,63,1,0,n45,3.383537,2.0
3.8942194,0.100427054,60,61,1,0,n46,3.894219,3.0
3.8984928,0.096153565,63,46,1,0,n47,3.894219,3.0
3.9690053,0.082264714,61,58,1,0,n48,3.894219,3.0
3.9839625,0.05448702,65,56,1,0,n49,3.894219,3.0
3.993578,0.041666545,70,61,1,0,n50,3.894219,3.0
4.0598173,0.14957221,68,54,1,0,n51,3.894219,3.0
4.073706,0.13568336,63,60,1,0,n52,3.894219,3.0
4.0779796,0.13140987,60,57,1,0,n53,3.894219,3.0
4.1784067,0.07692285,67,59,1,0,n54,3.894219,3.0
4.191227,0.063034005,61,57,1,0,n55,3.894219,3.0
4.1955004,0.039529797,58,49,1,0,n56,3.894219,3.0
4.285244,0.44016963,60,51,1,0,n57,3.894219,3.0
4.286312,0.43910128,63,43,1,0,n58,3.894219,3.0
4.291654,0.4337594,68,58,1,0,n59,3.894219,3.0
4.388876,0.33653748,58,50,1,0,n60,3.894219,3.0
4.3984914,0.32692212,67,57,1,0,n61,3.894219,3.0
4.401696,0.323717,61,45,1,0,n62,3.894219,3.0
4.678405,0.77243364,56,41,1,0,n63,3.894219,3.0
4.6805415,0.7702969,65,49,1,0,n64,4.679474,4.0
4.9412246,0.5096139,60,49,1,0,n65,4.679474,4.0
5.0640874,0.386751,53,56,1,0,n66,4.679474,4.0
5.1773353,0.27350345,71,71,1,0,n67,4.679474,4.0
5.188019,0.26281974,59,63,1,0,n68,4.679474,4.0
5.326907,0.12393126,68,51,1,0,n69,4.679474,4.0
5.3867364,0.064102374,65,25,1,0,n70,4.679474,4.0
5.414514,0.05235027,72,69,1,0,n71,4.679474,4.0
5.423061,0.048076782,60,61,1,0,n72,4.679474,4.0
5.518146,0.87499744,64,58,1,0,n73,4.679474,4.0
5.540582,0.8525616,55,38,1,0,n74,5.529364,5.0
5.664513,0.7286303,58,50,1,0,n75,5.529364,5.0
5.801265,0.5918786,53,42,1,0,n76,5.529364,5.0
5.9657946,0.42734918,73,55,1,0,n77,5.529364,5.0
5.978615,0.4145287,61,50,1,0,n78,5.529364,5.0
6.181606,0.21153784,64,34,1,0,n79,5.529364,5.0
6.1954947,0.19764899,67,35,1,0,n80,5.529364,5.0
6.339725,0.085469835,60,40,1,0,n81,5.529364,5.0
6.3621607,1.0309799,72,37,1,0,n82,5.529364,5.0
6.5042543,0.8888863,56,35,1,0,n83,5.529364,5.0
6.511733,0.8814077,65,39,1,0,n84,6.507993,6.0
6.6965613,0.69657916,60,45,1,0,n85,6.507993,6.0
6.8749795,0.5181609,53,54,1,0,n86,6.507993,6.0
7.251047,1.6698669,72,31,1,0,n87,6.507993,6.0
7.2627993,1.6581148,77,54,1,0,n88,6.507993,6.0
7.271346,1.6495678,68,42,1,0,n89,6.507993,6.0
7.4850206,1.4358932,79,54,1,0,n90,6.507993,6.0
7.509593,1.4113206,70,39,1,0,n91,6.507993,6.0
7.5170717,1.403842,73,34,1,0,n92,6.507993,6.0
7.585448,1.3354661,68,51,1,0,n93,6.507993,6.0
7.5939946,1.3269192,77,46,1,0,n94,6.507993,6.0
7.6004047,1.320509,72,40,1,0,n95,6.507993,6.0
7.6880116,1.2329023,75,61,1,0,n96,6.507993,6.0
7.6965585,1.2243553,67,52,1,0,n97,7.696558,7.0
7.7221994,1.1987144,70,44,1,0,n98,7.696558,7.0
7.7991223,1.1217916,68,55,1,0,n99,7.696558,7.0
7.8269,1.0940138,72,55,1,0,n100,7.696558,7.0
7.8290367,1.0918771,77,43,1,0,n101,7.696558,7.0
7.8803186,1.0405952,70,63,1,0,n102,7.696558,7.0
7.883524,1.0373901,75,64,1,0,n103,7.696558,7.0
7.886729,1.0341849,67,59,1,0,n104,7.696558,7.0
7.9711304,0.9497835,68,66,1,0,n105,7.696558,7.0
7.980746,0.94016814,65,65,1,0,n106,7.696558,7.0
7.9828825,0.93803144,73,59,1,0,n107,7.696558,7.0
8.042711,0.87820256,75,65,1,0,n108,7.696558,7.0
8.053395,0.8675188,70,63,1,0,n109,7.696558,7.0
8.054463,0.8664504,67,61,1,0,n110,7.696558,7.0
