onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.011216,0.14022422,77,62,1,0,n0,-10.0,-10.0
2.0499446,0.093482815,72,37,1,0,n1,-10.0,-10.0
2.071312,0.07345078,68,11,1,0,n2,-10.0,-10.0
2.224891,0.07211531,79,52,1,0,n3,-10.0,-10.0
2.250265,0.046741407,73,46,1,0,n4,-10.0,-10.0
2.2609487,0.040064063,70,40,1,0,n5,-10.0,-10.0
2.3584378,0.049412344,77,51,1,0,n6,-10.0,-10.0
2.3637798,0.060096093,72,50,1,0,n7,-10.0,-10.0
2.3918245,0.038728595,68,37,1,0,n8,-10.0,-10.0
2.4919846,0.046741407,75,66,1,0,n9,-10.0,-10.0
2.4973266,0.038728595,67,56,1,0,n10,-10.0,-10.0
2.5080104,0.042735,70,29,1,0,n11,2.497327,1.0
2.561429,0.037393127,77,63,1,0,n12,2.497327,1.0
2.566771,0.05208328,68,53,1,0,n13,2.497327,1.0
2.6629248,0.048076876,75,64,1,0,n14,2.497327,1.0
2.6655955,0.048076876,70,64,1,0,n15,2.497327,1.0
2.6682665,0.048076876,67,60,1,0,n16,2.497327,1.0
2.7697623,0.037393127,73,75,1,0,n17,2.497327,1.0
2.7884588,0.040064063,65,55,1,0,n18,2.497327,1.0
2.8298583,0.056089688,75,77,1,0,n19,2.497327,1.0
2.8338647,0.04540594,67,70,1,0,n20,2.497327,1.0
2.860574,0.040064063,70,42,1,0,n21,2.497327,1.0
2.9206703,0.065437965,65,71,1,0,n22,2.497327,1.0
2.9340248,0.04540594,73,56,1,0,n23,2.497327,1.0
2.9567277,0.037393127,68,39,1,0,n24,2.497327,1.0
3.0181594,0.32718983,72,93,1,0,n25,2.497327,1.0
3.0288432,0.3165061,67,77,1,0,n26,3.028843,2.0
3.0528815,0.29246765,63,58,1,0,n27,3.028843,2.0
3.0876038,0.25774547,73,74,1,0,n28,3.028843,2.0
3.0982876,0.24706171,68,66,1,0,n29,3.028843,2.0
3.1089714,0.23637797,65,63,1,0,n30,3.028843,2.0
3.185093,0.16025625,72,84,1,0,n31,3.028843,2.0
3.1917703,0.1535789,63,64,1,0,n32,3.028843,2.0
3.1917703,0.1535789,67,73,1,0,n33,3.028843,2.0
3.287924,0.057425156,65,52,1,0,n34,3.028843,2.0
3.287924,0.057425156,70,82,1,0,n35,3.028843,2.0
3.2932658,0.05208328,61,64,1,0,n36,3.028843,2.0
3.3680522,0.057425156,72,85,1,0,n37,3.028843,2.0
3.3840778,0.036057655,63,53,1,0,n38,3.028843,2.0
3.3920906,0.034722187,67,56,1,0,n39,3.028843,2.0
3.458864,0.05074781,70,82,1,0,n40,3.028843,2.0
3.4655414,0.046741407,65,64,1,0,n41,3.028843,2.0
3.5403275,0.048076876,63,66,1,0,n42,3.028843,2.0
3.5429986,0.06944437,68,85,1,0,n43,3.028843,2.0
3.5550177,0.03205125,60,71,1,0,n44,3.542999,3.0
3.6391523,0.038728595,70,77,1,0,n45,3.542999,3.0
3.6765454,0.03205125,61,49,1,0,n46,3.542999,3.0
3.7112677,0.05475422,60,52,1,0,n47,3.542999,3.0
3.712603,0.06810891,68,80,1,0,n48,3.542999,3.0
3.7206159,0.04139953,63,58,1,0,n49,3.542999,3.0
3.8327954,0.060096093,61,54,1,0,n50,3.542999,3.0
3.8381371,0.05074781,67,69,1,0,n51,3.542999,3.0
3.8755302,0.040064063,58,19,1,0,n52,3.542999,3.0
3.9009042,0.046741407,63,59,1,0,n53,3.542999,3.0
3.9035752,0.04139953,68,67,1,0,n54,3.542999,3.0
3.9102526,0.037393127,60,59,1,0,n55,3.542999,3.0
4.0050707,0.042735,67,72,1,0,n56,3.542999,3.0
4.0411286,0.048076876,58,54,1,0,n57,3.542999,3.0
4.236107,0.84401625,65,60,1,0,n58,3.542999,3.0
4.304216,0.084134534,56,33,1,0,n59,4.2701616,4.0
4.4324207,0.64770234,60,48,1,0,n60,4.2701616,4.0
4.557955,0.5221683,53,31,1,0,n61,4.2701616,4.0
4.655444,0.42467907,71,73,1,0,n62,4.2701616,4.0
4.6848245,0.39529875,59,52,1,0,n63,4.2701616,4.0
4.809023,0.27110016,65,46,1,0,n64,4.2701616,4.0
4.8170357,0.26308733,68,56,1,0,n65,4.2701616,4.0
4.903841,0.17628187,72,73,1,0,n66,4.2701616,4.0
4.9105186,0.16960452,60,64,1,0,n67,4.2701616,4.0
5.0587554,0.7638881,64,64,1,0,n68,4.2701616,4.0
5.1749415,0.64770234,58,53,1,0,n69,5.058756,5.0
5.2897916,0.53285205,53,45,1,0,n70,5.058756,5.0
5.4220033,0.40064064,73,71,1,0,n71,5.058756,5.0
5.447377,0.37526673,61,52,1,0,n72,5.058756,5.0
5.582259,0.24038437,67,37,1,0,n73,5.058756,5.0
5.583595,0.23904891,64,49,1,0,n74,5.058756,5.0
5.6917677,0.14423062,72,66,1,0,n75,5.058756,5.0
5.721148,0.10149562,60,55,1,0,n76,5.058756,5.0
5.831992,0.49679437,65,59,1,0,n77,5.058756,5.0
5.864043,0.46474314,56,43,1,0,n78,5.8480177,6.0
6.016287,0.3124997,60,49,1,0,n79,5.8480177,6.0
6.0817246,0.24706171,53,56,1,0,n80,5.8480177,6.0
6.3795342,0.102831095,68,38,1,0,n81,5.8480177,6.0
6.38087,0.07478625,72,54,1,0,n82,5.8480177,6.0
6.38087,0.07211531,77,54,1,0,n83,5.8480177,6.0
6.4890428,0.088140935,79,70,1,0,n84,5.8480177,6.0
6.530442,0.038728595,73,41,1,0,n85,5.8480177,6.0
6.5397906,0.03338672,70,42,1,0,n86,5.8480177,6.0
6.601222,0.06276703,77,75,1,0,n87,5.8480177,6.0
6.615912,0.048076876,68,58,1,0,n88,5.8480177,6.0
6.619919,0.05475422,72,59,1,0,n89,5.8480177,6.0
6.7053885,0.06143156,75,75,1,0,n90,5.8480177,6.0
6.709395,0.05074781,70,56,1,0,n91,6.709395,7.0
6.746788,0.040064063,67,37,1,0,n92,6.709395,7.0
6.7681556,0.03205125,77,79,1,0,n93,6.709395,7.0
6.789523,0.040064063,68,57,1,0,n94,6.709395,7.0
6.8015423,0.03205125,72,46,1,0,n95,6.709395,7.0
6.8643093,0.058760624,75,81,1,0,n96,6.709395,7.0
6.86698,0.038728595,70,69,1,0,n97,6.709395,7.0
6.8749933,0.036057655,67,68,1,0,n98,6.709395,7.0
6.945773,0.048076876,73,90,1,0,n99,6.709395,7.0
6.9617987,0.040064063,68,58,1,0,n100,6.709395,7.0
6.9671407,0.026709376,65,60,1,0,n101,6.709395,7.0
