xml_id	midi_id	track	channel	pitch	onset
n40-1	n37	0	0	61	2.7337045312499986
n46-1	n43	0	0	61	2.8899543749999976
n52-1	n47	0	0	61	3.0528815624999974
n59-1	n54	0	0	61	3.2785757812499967
n65-1	deletion
n31-1	n28	0	0	63	2.49866203125
n37-1	n34	0	0	63	2.629537968749999
n43-1	n40	0	0	63	2.807155312499998
n21-1	n19	0	0	65	2.2195490625000005
n27-1	n24	0	0	65	2.3637796875000006
n34-1	n29	0	0	65	2.5267068749999995
n41-1	n35	0	0	65	2.705659687499999
n47-1	n42	0	0	65	2.8739287499999975
n53-1	deletion
n12-1	n11	0	0	67	1.9057139062500006
n18-1	n16	0	0	67	2.0793248437500007
n24-1	n22	0	0	67	2.2676259375
n32-1	n27	0	0	67	2.4706171875
n38-1	n32	0	0	67	2.602828593749999
n44-1	n39	0	0	67	2.8031489062499984
n60-1	n52	0	0	67	3.2304989062499967
n66-1	deletion
n3-1	n2	0	0	68	1.5331181250000003
n9-1	n8	0	0	68	1.8082246875000005
n15-1	n13	0	0	68	1.9885129687500007
n22-1	n20	0	0	68	2.2222200000000005
n28-1	n25	0	0	68	2.3664506250000006
n35-1	n30	0	0	68	2.5360551562499993
n6-1	n5	0	0	70	1.6866970312500003
n13-1	n10	0	0	70	1.8896882812500007
n19-1	n17	0	0	70	2.0833312500000005
n25-1	n21	0	0	70	2.2516003125000004
n42-1	n36	0	0	70	2.7069951562499988
n48-1	n41	0	0	70	2.868586874999998
n54-1	n48	0	0	70	3.0595589062499973
n4-1	n1	0	0	72	1.5184279687500004
n10-1	n7	0	0	72	1.7895281250000006
n16-1	n14	0	0	72	1.9965257812500008
n33-1	n26	0	0	72	2.43990140625
n39-1	n33	0	0	72	2.606834999999999
n45-1	n38	0	0	72	2.787123281249998
n71-1	n67	0	0	72	4.201384687499997
n7-1	n4	0	0	73	1.6653295312500003
n23-1	n18	0	0	73	2.1995170312500005
n29-1	n23	0	0	73	2.3424121875000004
n36-1	n31	0	0	73	2.540061562499999
n14-1	n9	0	0	75	1.8870173437500006
n20-1	n15	0	0	75	2.0766539062500007
n26-1	deletion
n5-1	n0	0	0	77	1.5144215625000004
n11-1	n6	0	0	77	1.7815153125000005
n17-1	n12	0	0	77	1.9871775000000007
n8-1	n3	0	0	79	1.6466329687500003
n58-1	n53	0	0	58	3.2505309374999967
n64-1	n58	0	0	58	3.3814068749999957
n49-1	n44	0	0	60	2.9714179687499978
n55-1	n50	0	0	60	3.1517062499999975
n61-1	n57	0	0	60	3.315968906249996
n79-1	n61	0	0	60	3.693906562499996
n84-1	n68	0	0	60	4.221416718749998
n70-1	deletion
n50-1	n46	0	0	63	2.984772656249998
n56-1	n49	0	0	63	3.1436934374999974
n62-1	n55	0	0	63	3.3039496874999967
n51-1	n45	0	0	68	2.9714179687499978
n57-1	n51	0	0	68	3.1610545312499974
n63-1	n56	0	0	68	3.3052851562499965
n80-1	n62	0	0	53	3.864846562499996
n77-1	n60	0	0	56	3.624462187499996
n68-1	n64	0	0	59	3.9917160937499956
n81-1	deletion
n78-1	n59	0	0	65	3.529643906249996
n82-1	n66	0	0	65	4.125262968749997
n93-1	deletion
n83-1	n65	0	0	68	4.114579218749997
n69-1	n63	0	0	71	3.9610003124999955
n88-1	n72	0	0	53	4.49118140625
n85-1	n70	0	0	55	4.30421578125
n87-1	deletion
n92-1	n78	0	0	60	5.122858125000003
n98-1	n81	0	0	60	5.369919843750004
n146-1	n126	0	0	60	7.363774687500003
n152-1	n131	0	0	60	7.5360501562500035
n158-1	n138	0	0	60	7.709661093750004
n175-1	n142	0	0	60	8.059553906250004
n180-1	n148	0	0	60	8.446839843750004
n75-1	deletion
n167-1	deletion
n89-1	n74	0	0	61	4.638082968750001
n137-1	n118	0	0	61	7.155441562500004
n73-1	deletion
n94-1	n69	0	0	64	4.296202968749999
n90-1	n75	0	0	64	4.913189531250004
n86-1	deletion
n91-1	n76	0	0	67	4.918531406250004
n76-1	n77	0	0	72	5.0868004687500035
n74-1	n73	0	0	73	4.628734687500001
n99-1	n82	0	0	53	5.5448662500000045
n97-1	n80	0	0	56	5.304481875000004
n95-1	n79	0	0	65	5.249727656250005
n100-1	n85	0	0	68	6.038989687500007
n106-1	n94	0	0	68	6.447643125000007
n103-1	n88	0	0	70	6.188562187500006
n101-1	n83	0	0	72	6.009609375000007
n107-1	n90	0	0	72	6.259342031250006
n104-1	n87	0	0	73	6.155175468750007
n102-1	n84	0	0	77	6.009609375000007
n108-1	n89	0	0	77	6.247322812500006
n105-1	n86	0	0	79	6.127130625000007
