xml_id	midi_id	track	channel	pitch	onset
n16-1	n0	1	0	61	1.0114583333333333
n17-1	n3	1	0	67	1.0552083333333333
n18-1	n2	1	0	70	1.0541666666666667
n19-1	n7	1	0	76	1.1333333333333335
n3-1	n1	1	0	79	1.04375
n4-1	n4	1	0	85	1.075
n5-1	n5	1	0	88	1.0947916666666666
n6-1	n8	1	0	94	1.1406250000000002
n22-1	n12	1	0	56	2.0010416666666666
n23-1	n16	1	0	62	2.0374999999999996
n24-1	n15	1	0	65	2.0354166666666664
n25-1	n20	1	0	71	2.1041666666666665
n9-1	n13	1	0	74	2.013541666666667
n10-1	n14	1	0	80	2.0322916666666666
n11-1	n17	1	0	83	2.058333333333333
n12-1	n19	1	0	89	2.103125
n46-1	n21	1	0	51	3.0510416666666664
n47-1	n24	1	0	57	3.094791666666666
n48-1	n23	1	0	60	3.092708333333333
n49-1	n28	1	0	66	3.1927083333333326
n29-1	n22	1	0	69	3.0781249999999996
n30-1	n26	1	0	75	3.138541666666666
n31-1	n25	1	0	78	3.1374999999999993
n32-1	n27	1	0	84	3.1885416666666657
n51-1	n29	1	0	46	3.5510416666666664
n52-1	n32	1	0	52	3.6135416666666664
n53-1	n31	1	0	55	3.5999999999999996
n54-1	n36	1	0	61	3.696874999999999
n34-1	n30	1	0	64	3.598958333333333
n35-1	n33	1	0	70	3.6406249999999996
n36-1	n34	1	0	73	3.6427083333333328
n37-1	n35	1	0	79	3.694791666666666
n56-1	n37	1	0	41	3.992708333333332
n57-1	n40	1	0	47	4.071874999999999
n58-1	n38	1	0	50	4.0562499999999995
n59-1	n43	1	0	56	4.126041666666665
n39-1	n39	1	0	59	4.060416666666666
n40-1	n41	1	0	65	4.078124999999998
n41-1	n42	1	0	68	4.094791666666665
n42-1	n44	1	0	74	4.129166666666665
n81-1	n45	1	0	36	4.411458333333331
n82-1	n47	1	0	42	4.495833333333331
n83-1	n49	1	0	45	4.51145833333333
n84-1	n52	1	0	51	4.554166666666664
n62-1	n46	1	0	54	4.441666666666665
n63-1	n48	1	0	60	4.5020833333333306
n64-1	n51	1	0	63	4.526041666666663
n65-1	n53	1	0	69	4.557291666666663
n86-1	n55	1	0	37	4.8437499999999964
n87-1	n59	1	0	43	4.899999999999995
n88-1	n57	1	0	46	4.893749999999995
n89-1	n61	1	0	52	4.951041666666661
n67-1	n56	1	0	55	4.849999999999996
n68-1	n58	1	0	61	4.895833333333329
n69-1	n60	1	0	64	4.907291666666661
n70-1	deletion
n91-1	n64	1	0	38	5.189583333333326
n92-1	n66	1	0	44	5.268749999999993
n93-1	n68	1	0	47	5.307291666666659
n94-1	n70	1	0	53	5.328124999999992
n72-1	n65	1	0	56	5.2145833333333265
n73-1	n67	1	0	59	5.298958333333326
n74-1	n69	1	0	65	5.322916666666659
n96-1	n73	1	0	34	5.610416666666657
n97-1	n75	1	0	41	5.677083333333323
n98-1	n80	1	0	44	5.781249999999989
n99-1	n78	1	0	50	5.75312499999999
n76-1	n74	1	0	53	5.654166666666657
n77-1	n76	1	0	56	5.71874999999999
n78-1	n77	1	0	62	5.738541666666657
n115-1	n81	1	0	33	6.079166666666655
n116-1	n85	1	0	38	6.218749999999988
n117-1	n84	1	0	41	6.214583333333321
n118-1	n88	1	0	45	6.244791666666654
n102-1	n83	1	0	57	6.2083333333333215
n103-1	n82	1	0	62	6.2031249999999885
n104-1	n87	1	0	65	6.24270833333332
n105-1	n86	1	0	69	6.23020833333332
n121-1	n94	1	0	45	7.207291666666651
n122-1	n96	1	0	50	7.214583333333318
n123-1	n95	1	0	53	7.212499999999984
n124-1	n91	1	0	57	7.201041666666652
n108-1	n89	1	0	69	7.199999999999985
n109-1	n92	1	0	74	7.206249999999985
n110-1	n93	1	0	77	7.206249999999985
n111-1	n90	1	0	81	7.199999999999985
n137-1	n103	1	0	57	8.373958333333318
n138-1	n104	1	0	61	8.374999999999986
n139-1	n105	1	0	64	8.374999999999986
n140-1	n101	1	0	69	8.36354166666665
n128-1	n100	1	0	79	8.362499999999983
n129-1	n99	1	0	81	8.36041666666665
n130-1	n98	1	0	85	8.352083333333317
n131-1	n102	1	0	88	8.366666666666651
n132-1	n97	1	0	93	8.349999999999984
n181-1	n121	1	0	33	12.821874999999986
insertion	n106	1	0	33	11.655208333333322
n182-1	n122	1	0	34	12.88645833333332
insertion	n108	1	0	34	11.916666666666655
n146-1	n134	1	0	45	13.490624999999989
n147-1	n107	1	0	46	11.89374999999999
n195-1	n132	1	0	46	13.391666666666655
insertion	n335	1	0	46	21.62499999999999
n183-1	n124	1	0	37	12.997916666666654
n187-1	n143	1	0	37	13.980208333333323
n186-1	n127	1	0	38	13.118749999999986
n185-1	n140	1	0	40	13.826041666666656
n184-1	n146	1	0	41	14.241666666666655
n148-1	n142	1	0	49	13.974999999999989
n152-1	n153	1	0	49	14.601041666666658
