onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0114583,0.094791666,61,58,1,0,n0,-10.0,-10.0
1.04375,0.060416665,79,72,1,0,n1,1.027604,1.0
1.0541667,0.53020835,70,65,1,0,n2,1.027604,1.0
1.0552083,0.08645833,67,56,1,0,n3,1.027604,1.0
1.075,0.509375,85,74,1,0,n4,1.027604,1.0
1.0947917,0.48958334,88,80,1,0,n5,1.027604,1.0
1.1270833,0.45729166,65,17,1,0,n6,1.027604,1.0
1.1333333,0.45104167,76,87,1,0,n7,1.027604,1.0
1.140625,0.44375,94,104,1,0,n8,1.027604,1.0
1.190625,0.39375,90,34,1,0,n9,1.027604,1.0
1.1916667,0.39270833,89,32,1,0,n10,1.027604,1.0
1.4802083,0.104166664,85,17,1,0,n11,1.027604,1.0
2.0010417,0.54375,56,64,1,0,n12,1.517448,2.0
2.0135417,0.53125,74,73,1,0,n13,2.007292,3.0
2.0322917,0.5125,80,76,1,0,n14,2.007292,3.0
2.0354166,0.509375,65,55,1,0,n15,2.007292,3.0
2.0375,0.5072917,62,64,1,0,n16,2.007292,3.0
2.0583334,0.48645833,83,71,1,0,n17,2.007292,3.0
2.0885417,0.45625,82,31,1,0,n18,2.007292,3.0
2.103125,0.44166666,89,107,1,0,n19,2.007292,3.0
2.1041667,0.440625,71,92,1,0,n20,2.007292,3.0
3.0510416,0.060416665,51,36,1,0,n21,2.5359378,4.0
3.078125,0.057291668,69,48,1,0,n22,3.0645835,5.0
3.0927083,0.515625,60,47,1,0,n23,3.0645835,5.0
3.0947917,0.51354164,57,55,1,0,n24,3.0645835,5.0
3.1375,0.47083333,78,58,1,0,n25,3.0645835,5.0
3.1385417,0.46979168,75,58,1,0,n26,3.0645835,5.0
3.1885417,0.41979167,84,77,1,0,n27,3.0645835,5.0
3.1927083,0.415625,66,69,1,0,n28,3.0645835,5.0
3.5510416,0.079166666,46,55,1,0,n29,3.0645835,5.0
3.5989583,0.051041666,64,68,1,0,n30,3.575,6.0
3.6,1.3677083,55,53,1,0,n31,3.575,6.0
3.6135416,1.3541666,52,52,1,0,n32,3.575,6.0
3.640625,1.3270833,70,63,1,0,n33,3.575,6.0
3.6427083,1.325,73,64,1,0,n34,3.575,6.0
3.6947916,1.2729167,79,87,1,0,n35,3.575,6.0
