xml_id	midi_id	track	channel	pitch	onset
n16-1	n0	1	0	61	1.046875
n17-1	n1	1	0	67	1.0864583333333333
n18-1	n2	1	0	70	1.1229166666666668
n19-1	n4	1	0	76	1.1583333333333334
n3-1	n3	1	0	79	1.1552083333333334
n4-1	n5	1	0	85	1.1802083333333333
n5-1	n6	1	0	88	1.215625
n6-1	n7	1	0	94	1.25625
n22-1	n8	1	0	56	1.8375
n23-1	n9	1	0	62	1.8864583333333333
n24-1	n10	1	0	65	1.9322916666666665
n25-1	n12	1	0	71	1.9583333333333333
n9-1	n11	1	0	74	1.946875
n10-1	n13	1	0	80	1.9645833333333333
n11-1	n14	1	0	83	1.9875
n12-1	n15	1	0	89	2.0187500000000003
n46-1	n16	1	0	51	2.577083333333334
n47-1	n17	1	0	57	2.650000000000001
n48-1	n20	1	0	60	2.683333333333334
n49-1	n22	1	0	66	2.7177083333333343
n29-1	n18	1	0	69	2.6593750000000007
n30-1	n19	1	0	75	2.677083333333334
n31-1	n21	1	0	78	2.6979166666666674
n32-1	n23	1	0	84	2.7322916666666677
n51-1	n24	1	0	46	2.9854166666666675
n52-1	n25	1	0	52	3.0229166666666676
n53-1	n27	1	0	55	3.0593750000000015
n54-1	n30	1	0	61	3.091666666666668
n34-1	n26	1	0	64	3.0552083333333346
n35-1	n28	1	0	70	3.0708333333333346
n36-1	n29	1	0	73	3.0906250000000015
n37-1	n31	1	0	79	3.1229166666666686
n56-1	n33	1	0	41	3.2968750000000027
n57-1	deletion
n58-1	n37	1	0	50	3.3864583333333362
n59-1	n38	1	0	56	3.401041666666669
n39-1	n36	1	0	59	3.36666666666667
n40-1	n39	1	0	65	3.408333333333336
n41-1	n40	1	0	68	3.408333333333336
n42-1	n41	1	0	74	3.4375000000000027
n81-1	n45	1	0	36	3.6145833333333366
n82-1	deletion
n83-1	deletion
n84-1	n49	1	0	51	3.687500000000002
n62-1	n48	1	0	54	3.6364583333333362
n63-1	n47	1	0	60	3.6260416666666697
n64-1	deletion
n65-1	n50	1	0	69	3.690625000000002
n86-1	n52	1	0	37	3.829166666666669
n87-1	deletion
n88-1	n57	1	0	46	3.926041666666669
n89-1	n56	1	0	52	3.919791666666669
n67-1	n51	1	0	55	3.826041666666669
n68-1	n54	1	0	61	3.8645833333333357
n69-1	n42	1	0	64	3.4500000000000024
n70-1	n55	1	0	70	3.9114583333333357
n91-1	n58	1	0	38	4.022916666666669
n92-1	deletion
n93-1	deletion
n94-1	n62	1	0	53	4.102083333333336
n72-1	n59	1	0	56	4.026041666666669
n73-1	n61	1	0	59	4.07291666666667
n74-1	n63	1	0	65	4.133333333333336
n96-1	n65	1	0	34	4.223958333333336
n97-1	deletion
n98-1	deletion
n99-1	n68	1	0	50	4.314583333333336
n76-1	n64	1	0	53	4.208333333333336
n77-1	n66	1	0	56	4.259375000000002
n78-1	n67	1	0	62	4.281250000000003
n115-1	n76	1	0	33	4.596875000000002
n116-1	n75	1	0	38	4.594791666666668
n117-1	n73	1	0	41	4.588541666666669
n118-1	n69	1	0	45	4.580208333333336
n102-1	n70	1	0	57	4.582291666666669
n103-1	n71	1	0	62	4.584375000000002
n104-1	n74	1	0	65	4.588541666666669
n105-1	n72	1	0	69	4.584375000000002
n121-1	n83	1	0	45	5.330208333333333
n122-1	n84	1	0	50	5.335416666666666
n123-1	n81	1	0	53	5.326041666666667
n124-1	n79	1	0	57	5.322916666666667
n108-1	n77	1	0	69	5.321875
n109-1	n80	1	0	74	5.322916666666667
n110-1	n82	1	0	77	5.327083333333333
n111-1	n78	1	0	81	5.321875
n137-1	n92	1	0	57	6.6583333333333306
n138-1	n93	1	0	61	6.663541666666664
n139-1	n91	1	0	64	6.656249999999997
n140-1	n86	1	0	69	6.648958333333331
n128-1	n87	1	0	79	6.648958333333331
n129-1	n88	1	0	81	6.649999999999998
n130-1	n89	1	0	85	6.651041666666664
n131-1	n90	1	0	88	6.651041666666664
n132-1	n85	1	0	93	6.646874999999998
n181-1	n110	1	0	33	11.269791666666677
insertion	n94	1	0	33	9.710416666666665
n182-1	n113	1	0	34	11.38125000000001
insertion	n97	1	0	34	10.21875
