onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.7857878,0.25774547,61,73,0,0,n0,-10.0,-10.0
2.951386,0.811965,67,80,0,0,n1,2.924009,1.0
2.9874437,0.77590734,70,79,0,0,n2,2.924009,1.0
3.0622299,0.7011211,79,73,0,0,n3,2.924009,1.0
3.0782554,0.6850955,76,80,0,0,n4,2.924009,1.0
3.1129777,0.6503733,85,79,0,0,n5,2.924009,1.0
3.1503708,0.6129801,88,58,0,0,n6,2.924009,1.0
3.1890993,0.5742516,94,101,0,0,n7,2.924009,1.0
4.670134,0.1535789,56,71,0,0,n8,3.841142,2.0
4.7502623,1.3301269,62,77,0,0,n9,3.841142,2.0
4.782314,1.2980757,65,75,0,0,n10,4.758275,3.0
4.846416,0.08547,74,68,0,0,n11,4.758275,3.0
4.8624415,1.2179475,71,76,0,0,n12,4.758275,3.0
4.8864803,1.193909,80,85,0,0,n13,4.758275,3.0
4.9185314,1.1618578,83,68,0,0,n14,4.758275,3.0
4.970615,1.1097746,89,107,0,0,n15,4.758275,3.0
6.4783587,0.50213623,51,75,0,0,n16,5.6366796,4.0
6.55181,0.08680547,69,62,0,0,n17,6.5150843,5.0
6.561158,0.41933718,57,65,0,0,n18,6.5150843,5.0
6.589203,0.39129233,60,70,0,0,n19,6.5150843,5.0
6.5998864,0.3806086,75,71,0,0,n20,6.5150843,5.0
6.615912,0.36458296,78,78,0,0,n21,6.5150843,5.0
6.65197,0.3285253,66,90,0,0,n22,6.5150843,5.0
6.68135,0.299145,84,88,0,0,n23,6.5150843,5.0
6.9564567,0.36191204,46,83,0,0,n24,6.5150843,5.0
6.9644694,0.04139953,64,79,0,0,n25,6.9604635,6.0
6.97916,0.33920905,52,61,0,0,n26,6.9604635,6.0
6.9925146,0.32585436,70,72,0,0,n27,6.9604635,6.0
7.0018625,0.3165061,73,66,0,0,n28,6.9604635,6.0
7.0125465,0.30582234,55,80,0,0,n29,6.9604635,6.0
7.068636,0.24973266,61,94,0,0,n30,6.9604635,6.0
7.071307,0.24706171,79,94,0,0,n31,6.9604635,6.0
7.299672,0.3458864,46,54,0,0,n32,6.9604635,6.0
7.319704,0.32585436,49,54,0,0,n33,6.9604635,6.0
7.3237104,0.042735,59,75,0,0,n34,6.9604635,6.0
7.355762,0.2897967,64,47,0,0,n35,7.3524237,7.0
7.362439,0.28311938,40,74,0,0,n36,7.3524237,7.0
7.3664455,0.27911296,65,68,0,0,n37,7.3524237,7.0
7.381136,0.2644228,41,56,0,0,n38,7.3524237,7.0
7.393155,0.2524036,68,73,0,0,n39,7.3524237,7.0
7.4212,0.22435875,74,96,0,0,n40,7.3524237,7.0
7.4412317,0.20432672,54,91,0,0,n41,7.3524237,7.0
7.481296,0.16426265,55,54,0,0,n42,7.3524237,7.0
7.666926,0.0213675,54,83,0,0,n43,7.3524237,7.0
7.684287,0.27644202,60,66,0,0,n44,7.6809487,8.0
7.694971,0.26575828,36,72,0,0,n45,7.6809487,8.0
7.702984,0.25774547,63,72,0,0,n46,7.6809487,8.0
7.7163386,0.24439079,55,50,0,0,n47,7.6809487,8.0
7.7243514,0.23637797,39,48,0,0,n48,7.6809487,8.0
7.732364,0.22836515,44,69,0,0,n49,7.6809487,8.0
7.7443833,0.21634594,41,45,0,0,n50,7.6809487,8.0
7.7590733,0.20165578,69,78,0,0,n51,7.6809487,8.0
7.7644153,0.1963139,49,89,0,0,n52,7.6809487,8.0
7.7644153,0.1963139,67,79,0,0,n53,7.6809487,8.0
7.772428,0.18830109,42,46,0,0,n54,7.6809487,8.0
7.784447,0.17628187,66,42,0,0,n55,7.6809487,8.0
7.7871184,0.17361094,50,75,0,0,n56,7.6809487,8.0
7.979426,0.036057655,55,72,0,0,n57,7.6809487,8.0
7.9874387,0.30982876,38,77,0,0,n58,7.9834323,9.0
7.991445,0.034722187,57,70,0,0,n59,7.9834323,9.0
7.9927807,0.06143156,61,86,0,0,n60,7.9834323,9.0
8.006135,0.036057655,64,65,0,0,n61,7.9834323,9.0
8.010141,0.2871258,43,73,0,0,n62,7.9834323,9.0
8.018154,0.27911296,46,76,0,0,n63,7.9834323,9.0
8.030173,0.26709375,52,93,0,0,n64,7.9834323,9.0
8.035516,0.26175186,70,85,0,0,n65,7.9834323,9.0
8.243849,0.128205,44,66,0,0,n66,7.9834323,9.0
8.247855,0.093482815,40,46,0,0,n67,8.245852,10.0
8.263881,0.08947641,59,67,0,0,n68,8.245852,10.0
8.267887,0.08146359,56,69,0,0,n69,8.245852,10.0
8.270558,0.09481828,47,76,0,0,n70,8.245852,10.0
8.285248,0.06677344,41,47,0,0,n71,8.245852,10.0
8.293261,0.06276703,53,99,0,0,n72,8.245852,10.0
8.3173,0.3071578,65,93,0,0,n73,8.245852,10.0
8.51762,0.1068375,34,80,0,0,n74,8.245852,10.0
8.568368,0.3926278,41,70,0,0,n75,8.245852,10.0
8.620451,0.34054452,44,72,0,0,n76,8.569703,11.0
8.621786,0.056089688,53,83,0,0,n77,8.569703,11.0
8.63247,0.056089688,56,94,0,0,n78,8.569703,11.0
8.640483,0.04540594,36,48,0,0,n79,8.569703,11.0
8.647161,0.060096093,62,90,0,0,n80,8.569703,11.0
8.65918,0.006677344,35,3,0,0,n81,8.569703,11.0
8.669863,0.042735,50,89,0,0,n82,8.569703,11.0
8.691231,0.2697647,48,44,0,0,n83,8.569703,11.0
8.916924,0.20032032,33,78,0,0,n84,8.569703,11.0
8.956989,0.5689097,38,72,0,0,n85,8.569703,11.0
8.991711,0.5341875,41,64,0,0,n86,8.977689,12.0
9.033111,0.49278796,69,90,0,0,n87,8.977689,12.0
9.038452,0.097489215,57,98,0,0,n88,8.977689,12.0
9.038452,0.06677344,63,87,0,0,n89,8.977689,12.0
9.041123,0.48477516,65,80,0,0,n90,8.977689,12.0
