onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9010417,0.078125,65,38,1,0,n0,-10.0,-10.0
1.0104166,0.04296875,66,47,1,0,n1,-10.0,-10.0
1.1341146,0.037760418,65,38,1,0,n2,-10.0,-10.0
1.2161459,0.05078125,67,44,1,0,n3,-10.0,-10.0
1.3164062,0.044270832,68,51,1,0,n4,1.316406,1.0
1.4192709,0.052083332,69,57,1,0,n5,1.316406,1.0
1.4960938,0.06640625,68,54,1,0,n6,1.316406,1.0
1.5898438,0.044270832,70,63,1,0,n7,1.316406,1.0
1.6953125,0.045572918,71,63,1,0,n8,1.316406,1.0
1.7942709,0.036458332,72,51,1,0,n9,1.316406,1.0
1.8776041,0.032552082,71,45,1,0,n10,1.316406,1.0
1.9322916,0.040364582,73,66,1,0,n11,1.316406,1.0
2.0390625,0.03515625,74,60,1,0,n12,2.039062,2.0
2.126302,0.046875,75,59,1,0,n13,2.039062,2.0
2.203125,0.026041666,74,52,1,0,n14,2.039062,2.0
2.296875,0.04296875,76,65,1,0,n15,2.039062,2.0
2.3945312,0.053385418,77,63,1,0,n16,2.039062,2.0
2.4869792,0.05078125,78,61,1,0,n17,2.039062,2.0
2.5859375,0.061197918,77,56,1,0,n18,2.039062,2.0
2.6132812,0.22135417,53,43,1,0,n19,2.039062,2.0
2.673177,0.9192708,59,43,1,0,n20,2.039062,2.0
2.6875,0.106770836,79,51,1,0,n21,2.039062,2.0
2.7682292,0.82421875,62,38,1,0,n22,2.704427,3.0
2.795573,0.796875,80,57,1,0,n23,2.704427,3.0
2.8320312,0.7604167,68,58,1,0,n24,2.704427,3.0
2.9166667,0.67578125,81,62,1,0,n25,2.704427,3.0
3.0338542,0.55859375,80,53,1,0,n26,2.704427,3.0
3.1197917,0.47265625,82,64,1,0,n27,2.704427,3.0
3.2109375,0.3815104,83,63,1,0,n28,2.704427,3.0
3.329427,0.26302084,84,64,1,0,n29,2.704427,3.0
3.4296875,1.84375,53,38,1,0,n30,2.704427,3.0
3.4296875,0.16276042,83,56,1,0,n31,2.704427,3.0
3.483073,1.7903646,60,38,1,0,n32,2.704427,3.0
3.501302,0.091145836,86,68,1,0,n33,2.704427,3.0
3.5807292,1.6927084,63,54,1,0,n34,3.5221355,4.0
3.6145833,0.076822914,84,60,1,0,n35,3.5221355,4.0
3.7070312,1.5664062,85,66,1,0,n36,3.5221355,4.0
3.7851562,1.4882812,84,71,1,0,n37,3.5221355,4.0
3.876302,1.3971354,86,75,1,0,n38,3.5221355,4.0
3.9648438,1.3085938,87,74,1,0,n39,3.5221355,4.0
3.9726562,1.3007812,67,62,1,0,n40,3.5221355,4.0
4.0572915,1.2161459,89,74,1,0,n41,3.5221355,4.0
4.1666665,1.1067709,87,63,1,0,n42,3.5221355,4.0
4.2447915,1.0286459,90,84,1,0,n43,3.5221355,4.0
4.3697915,0.9036458,91,71,1,0,n44,3.5221355,4.0
4.377604,0.8958333,63,61,1,0,n45,4.373698,5.0
4.4596353,0.81380206,92,77,1,0,n46,4.373698,5.0
4.544271,0.7291667,91,72,1,0,n47,4.373698,5.0
4.6106772,0.66276044,95,78,1,0,n48,4.373698,5.0
4.7083335,0.5651042,60,54,1,0,n49,4.373698,5.0
4.7395835,0.5338542,96,74,1,0,n50,4.373698,5.0
4.8424478,0.4309896,97,76,1,0,n51,4.373698,5.0
4.9427085,0.33072916,96,75,1,0,n52,4.373698,5.0
5.0208335,0.25260416,98,87,1,0,n53,4.373698,5.0
5.1132812,0.16015625,99,85,1,0,n54,5.113281,6.0
5.205729,0.106770836,98,82,1,0,n55,5.113281,6.0
5.3020835,0.07421875,99,79,1,0,n56,5.113281,6.0
5.408854,0.06640625,97,74,1,0,n57,5.113281,6.0
5.4921875,0.040364582,96,73,1,0,n58,5.113281,6.0
5.5885415,0.059895832,95,76,1,0,n59,5.113281,6.0
5.669271,0.065104164,96,66,1,0,n60,5.113281,6.0
5.765625,0.037760418,94,70,1,0,n61,5.113281,6.0
5.859375,0.075520836,93,64,1,0,n62,5.859375,7.0
5.9440103,0.049479168,92,62,1,0,n63,5.859375,7.0
6.0481772,0.037760418,93,67,1,0,n64,5.859375,7.0
6.143229,0.049479168,91,64,1,0,n65,5.859375,7.0
6.234375,0.061197918,90,55,1,0,n66,5.859375,7.0
6.3229165,0.055989582,89,63,1,0,n67,5.859375,7.0
6.4283853,0.02734375,90,56,1,0,n68,5.859375,7.0
6.4908853,0.044270832,88,55,1,0,n69,5.859375,7.0
6.5729165,0.052083332,87,61,1,0,n70,5.859375,7.0
6.6614585,0.045572918,86,66,1,0,n71,6.572917,8.0
6.752604,0.06640625,87,73,1,0,n72,6.572917,8.0
6.8372397,0.05859375,85,66,1,0,n73,6.572917,8.0
6.9440103,0.041666668,84,65,1,0,n74,6.572917,8.0
7.0273438,0.05859375,83,62,1,0,n75,6.572917,8.0
7.059896,1.4648438,53,47,1,0,n76,6.572917,8.0
7.1184897,0.079427086,84,62,1,0,n77,6.572917,8.0
7.1458335,1.3789062,57,31,1,0,n78,6.572917,8.0
