onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0351562,1.5403646,65,43,1,0,n0,-10.0,-10.0
1.1809896,1.3945312,66,42,1,0,n1,-10.0,-10.0
1.3085938,1.2669271,65,37,1,0,n2,-10.0,-10.0
1.3828125,1.1927084,67,37,1,0,n3,-10.0,-10.0
1.4479166,1.1276041,68,55,1,0,n4,-10.0,-10.0
1.5507812,1.0247396,69,44,1,0,n5,1.447917,1.0
1.6106771,0.96484375,68,47,1,0,n6,1.447917,1.0
1.6783854,0.89713544,70,54,1,0,n7,1.447917,1.0
1.7473959,0.828125,71,63,1,0,n8,1.447917,1.0
1.8463541,0.7291667,72,58,1,0,n9,1.447917,1.0
1.9505209,0.625,71,41,1,0,n10,1.447917,1.0
2.0091145,0.56640625,73,58,1,0,n11,1.447917,1.0
2.0989583,0.4765625,74,62,1,0,n12,2.098958,2.0
2.1757812,0.3997396,75,61,1,0,n13,2.098958,2.0
2.2565105,0.3190104,74,61,1,0,n14,2.098958,2.0
2.3346355,0.24088542,76,63,1,0,n15,2.098958,2.0
2.420573,0.15494792,77,61,1,0,n16,2.098958,2.0
2.4934895,0.08203125,78,73,1,0,n17,2.098958,2.0
2.5403645,0.065104164,53,58,1,0,n18,2.098958,2.0
2.6119792,0.76432294,59,48,1,0,n19,2.098958,2.0
2.6315105,0.045572918,77,33,1,0,n20,2.098958,2.0
2.6679688,0.7083333,62,53,1,0,n21,2.6595056,3.0
2.6796875,0.69661456,79,61,1,0,n22,2.6595056,3.0
2.7317708,0.64453125,68,70,1,0,n23,2.6595056,3.0
2.7786458,0.59765625,80,66,1,0,n24,2.6595056,3.0
2.8854167,0.4908854,81,69,1,0,n25,2.6595056,3.0
2.9765625,0.3997396,80,61,1,0,n26,2.6595056,3.0
3.0377605,0.33854166,82,69,1,0,n27,2.6595056,3.0
3.1145833,0.26171875,83,81,1,0,n28,2.6595056,3.0
3.2005208,0.17578125,84,71,1,0,n29,2.6595056,3.0
3.2747395,1.1002604,60,53,1,0,n30,2.6595056,3.0
3.2747395,0.1015625,83,72,1,0,n31,2.6595056,3.0
3.359375,0.048177082,85,72,1,0,n32,2.6595056,3.0
3.3841145,0.99088544,63,64,1,0,n33,2.6595056,3.0
3.4283855,0.067708336,84,75,1,0,n34,3.428385,4.0
3.5221355,0.85286456,85,61,1,0,n35,3.428385,4.0
3.578125,0.796875,84,69,1,0,n36,3.428385,4.0
3.6744792,0.7005208,86,67,1,0,n37,3.428385,4.0
3.71875,2.6184895,67,73,1,0,n38,3.428385,4.0
3.75,0.625,87,70,1,0,n39,3.428385,4.0
3.8502605,0.52473956,89,66,1,0,n40,3.428385,4.0
3.951823,0.4231771,87,66,1,0,n41,3.428385,4.0
4.0195312,0.35546875,90,73,1,0,n42,3.428385,4.0
4.0924478,2.2447917,63,57,1,0,n43,3.428385,4.0
4.1054688,0.26953125,91,84,1,0,n44,4.0989585,5.0
4.1875,0.1875,92,78,1,0,n45,4.0989585,5.0
4.2565103,0.118489586,91,73,1,0,n46,4.0989585,5.0
4.3333335,0.041666668,95,81,1,0,n47,4.0989585,5.0
4.4322915,0.063802086,96,77,1,0,n48,4.0989585,5.0
4.4518228,1.8854166,60,51,1,0,n49,4.0989585,5.0
4.5078125,1.8294271,97,73,1,0,n50,4.0989585,5.0
4.5833335,1.7539062,96,69,1,0,n51,4.0989585,5.0
4.6614585,1.6757812,98,71,1,0,n52,4.0989585,5.0
4.7447915,1.5924479,99,72,1,0,n53,4.0989585,5.0
4.8398438,1.4973959,98,64,1,0,n54,4.744792,6.0
4.921875,1.4153646,99,69,1,0,n55,4.744792,6.0
4.9947915,1.3424479,97,59,1,0,n56,4.744792,6.0
5.0664062,1.2708334,96,61,1,0,n57,4.744792,6.0
5.140625,1.1966146,95,62,1,0,n58,4.744792,6.0
5.2018228,1.1354166,96,60,1,0,n59,4.744792,6.0
5.278646,1.0585938,94,69,1,0,n60,4.744792,6.0
5.3528647,0.984375,93,60,1,0,n61,4.744792,6.0
5.4010415,0.93619794,92,75,1,0,n62,5.352865,7.0
5.5091147,0.828125,93,65,1,0,n63,5.352865,7.0
5.5924478,0.7447917,91,65,1,0,n64,5.352865,7.0
5.65625,0.68098956,90,57,1,0,n65,5.352865,7.0
5.731771,0.60546875,89,62,1,0,n66,5.352865,7.0
