onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0918782,0.31944412,51,47,0,0,n0,2.091878,-3.0
2.2777755,0.5534183,51,50,0,0,n1,2.091878,-3.0
2.743587,0.33119625,53,58,0,0,n2,2.091878,-3.0
3.017091,0.31517062,51,65,0,0,n3,2.091878,-3.0
3.278843,0.27991426,50,67,0,0,n4,2.091878,-3.0
3.5427315,0.30021337,51,73,0,0,n5,2.091878,-3.0
3.8311927,0.27136725,55,66,0,0,n6,2.091878,-3.0
4.048073,0.24999975,58,72,0,0,n7,2.091878,-3.0
4.2510643,0.22115363,61,74,0,0,n8,2.091878,-3.0
4.521363,1.5854685,65,68,0,0,n9,4.521363,0.0
5.110038,0.92841786,51,35,0,0,n10,4.521363,0.0
5.2777724,0.760683,55,34,0,0,n11,4.521363,0.0
5.4796953,0.5587601,61,46,0,0,n12,4.521363,0.0
6.0619597,0.39209363,63,56,0,0,n13,4.521363,0.0
6.401703,0.6164524,57,58,0,0,n14,4.521363,0.0
6.697643,0.3205125,58,63,0,0,n15,4.521363,0.0
6.9925146,1.3579047,61,61,0,0,n16,6.992514,3.0
7.456189,0.7959394,51,38,0,0,n17,6.992514,3.0
7.758539,0.49358925,57,43,0,0,n18,6.992514,3.0
8.271359,0.42521325,60,55,0,0,n19,6.992514,3.0
8.600419,0.38140988,52,60,0,0,n20,6.992514,3.0
8.918795,0.42948675,53,68,0,0,n21,6.992514,3.0
9.280973,2.5170915,56,67,0,0,n22,6.992514,3.0
9.883537,0.3749996,47,51,0,0,n23,9.280974,6.0
9.972212,0.29807663,50,58,0,0,n24,9.280974,6.0
10.081186,0.17841862,53,61,0,0,n25,9.280974,6.0
10.671998,0.478632,46,55,0,0,n26,9.280974,6.0
10.80875,0.34401676,49,54,0,0,n27,9.280974,6.0
10.956185,0.16773488,52,51,0,0,n28,9.280974,6.0
11.700843,0.90064013,55,51,0,0,n29,9.280974,6.0
11.865373,1.8333315,43,40,0,0,n30,11.865373,9.0
12.075843,1.6228616,49,46,0,0,n31,11.865373,9.0
12.509603,3.2083302,58,52,0,0,n32,11.865373,9.0
12.556611,1.1420928,52,44,0,0,n33,11.865373,9.0
15.993574,2.427348,58,39,0,0,n34,15.993574,12.0
16.612164,0.7489309,42,33,0,0,n35,15.993574,12.0
16.75105,0.61004215,49,38,0,0,n36,15.993574,12.0
16.854685,0.50640976,52,41,0,0,n37,15.993574,12.0
17.307674,1.1132468,42,42,0,0,n38,15.993574,12.0
17.440153,0.98076826,49,41,0,0,n39,15.993574,12.0
17.601479,0.81944364,52,45,0,0,n40,15.993574,12.0
18.041649,0.37927312,58,59,0,0,n41,15.993574,12.0
18.182674,0.23824762,58,62,0,0,n42,18.182674,15.0
