onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5061427,0.036057655,50,84,0,0,n0,-10.0,-10.0
0.6330122,0.056089688,50,53,0,0,n1,0.506143,0.0
0.6370186,0.06143156,38,58,0,0,n2,0.506143,0.0
0.77724284,0.038728595,50,69,0,0,n3,0.506143,0.0
0.89342856,0.05208328,50,61,0,0,n4,0.506143,0.0
0.9094542,0.05475422,38,46,0,0,n5,0.506143,0.0
1.0349883,0.038728595,50,72,0,0,n6,1.034988,1.0
1.1671997,0.05475422,50,61,0,0,n7,1.034988,1.0
1.1899027,0.06276703,38,43,0,0,n8,1.034988,1.0
1.324785,0.038728595,50,61,0,0,n9,1.034988,1.0
1.45299,0.05208328,50,55,0,0,n10,1.034988,1.0
1.4569964,0.0641025,38,43,0,0,n11,1.034988,1.0
1.5892078,0.040064063,50,72,0,0,n12,1.034988,1.0
1.7174128,0.060096093,50,60,0,0,n13,1.589208,2.0
1.7374449,0.06276703,38,43,0,0,n14,1.589208,2.0
1.8669853,0.037393127,50,68,0,0,n15,1.589208,2.0
1.9831711,0.05475422,50,62,0,0,n16,1.589208,2.0
1.9991968,0.06677344,38,43,0,0,n17,1.589208,2.0
2.1314082,0.040064063,50,71,0,0,n18,2.131408,3.0
2.267626,0.07612172,38,46,0,0,n19,2.131408,3.0
2.2716324,0.06143156,50,51,0,0,n20,2.131408,3.0
2.4065146,0.04139953,50,69,0,0,n21,2.131408,3.0
2.5480745,0.06810891,38,47,0,0,n22,2.131408,3.0
2.5480745,0.05341875,50,57,0,0,n23,2.131408,3.0
2.674944,0.040064063,50,72,0,0,n24,2.674944,4.0
2.803149,0.058760624,50,63,0,0,n25,2.674944,4.0
2.8138328,0.06944437,38,47,0,0,n26,2.674944,4.0
2.9433732,0.042735,50,66,0,0,n27,2.674944,4.0
3.0755847,0.056089688,50,60,0,0,n28,2.674944,4.0
3.0862682,0.06276703,38,45,0,0,n29,2.674944,4.0
3.2171443,0.038728595,50,69,0,0,n30,3.217144,5.0
3.3440137,0.060096093,50,63,0,0,n31,3.217144,5.0
3.3573685,0.0641025,38,48,0,0,n32,3.217144,5.0
3.498928,0.036057655,50,66,0,0,n33,3.217144,5.0
3.6164494,0.060096093,50,62,0,0,n34,3.217144,5.0
3.6338105,0.060096093,38,47,0,0,n35,3.217144,5.0
3.7686927,0.037393127,50,69,0,0,n36,3.217144,5.0
3.888885,0.065437965,50,64,0,0,n37,3.768693,6.0
3.91693,0.057425156,38,44,0,0,n38,3.768693,6.0
4.0331154,0.04139953,50,66,0,0,n39,3.768693,6.0
4.159985,0.058760624,50,60,0,0,n40,3.768693,6.0
4.172004,0.0641025,38,45,0,0,n41,3.768693,6.0
4.3148994,0.04139953,50,66,0,0,n42,3.768693,6.0
4.44444,0.05475422,50,57,0,0,n43,4.3149,7.0
4.449782,0.06276703,38,46,0,0,n44,4.3149,7.0
4.5859995,0.040064063,50,68,0,0,n45,4.3149,7.0
4.708863,0.07211531,38,50,0,0,n46,4.3149,7.0
4.720882,0.05074781,50,50,0,0,n47,4.3149,7.0
4.8571,0.037393127,48,84,0,0,n48,4.8571,8.0
4.8571,0.04540594,52,83,0,0,n49,4.8571,8.0
4.997324,0.058760624,50,57,0,0,n50,4.8571,8.0
5.009343,0.06276703,38,46,0,0,n51,4.8571,8.0
5.1388836,0.038728595,48,68,0,0,n52,4.8571,8.0
5.1509027,0.038728595,52,51,0,0,n53,4.8571,8.0
5.2630825,0.07345078,50,53,0,0,n54,4.8571,8.0
5.2724304,0.080128126,38,45,0,0,n55,4.8571,8.0
5.4206676,0.048076876,52,63,0,0,n56,4.8571,8.0
5.4220033,0.040064063,48,64,0,0,n57,5.421336,9.0
5.5421953,0.056089688,50,52,0,0,n58,5.421336,9.0
5.544866,0.06677344,38,46,0,0,n59,5.421336,9.0
5.686426,0.048076876,52,62,0,0,n60,5.421336,9.0
5.6997805,0.034722187,48,56,0,0,n61,5.421336,9.0
5.803947,0.06143156,50,53,0,0,n62,5.421336,9.0
5.814631,0.065437965,38,42,0,0,n63,5.421336,9.0
5.95352,0.05074781,52,65,0,0,n64,5.421336,9.0
5.9642034,0.038728595,48,58,0,0,n65,5.958861,10.0
6.071041,0.06276703,50,58,0,0,n66,5.958861,10.0
6.079054,0.06944437,38,43,0,0,n67,5.958861,10.0
6.22462,0.046741407,52,64,0,0,n68,5.958861,10.0
6.2326326,0.037393127,48,58,0,0,n69,5.958861,10.0
6.3541603,0.060096093,50,56,0,0,n70,5.958861,10.0
6.370186,0.060096093,38,42,0,0,n71,5.958861,10.0
6.4997263,0.05341875,52,70,0,0,n72,5.958861,10.0
6.5090747,0.037393127,48,62,0,0,n73,6.504401,11.0
6.6225896,0.06677344,50,59,0,0,n74,6.504401,11.0
6.6346087,0.06677344,38,44,0,0,n75,6.504401,11.0
6.7761683,0.042735,52,74,0,0,n76,6.504401,11.0
6.7881875,0.03205125,48,60,0,0,n77,6.504401,11.0
6.8950253,0.07211531,50,59,0,0,n78,6.504401,11.0
6.911051,0.07612172,38,51,0,0,n79,6.504401,11.0
7.0459332,0.042735,50,94,0,0,n80,7.045933,12.0
7.187493,0.06143156,50,54,0,0,n81,7.045933,12.0
7.1981764,0.06677344,38,45,0,0,n82,7.045933,12.0
7.345078,0.036057655,50,70,0,0,n83,7.045933,12.0
7.4679413,0.049412344,50,54,0,0,n84,7.045933,12.0
7.4772897,0.065437965,38,40,0,0,n85,7.045933,12.0
7.6081653,0.038728595,50,79,0,0,n86,7.608165,13.0
7.7377057,0.06810891,38,45,0,0,n87,7.608165,13.0
7.7377057,0.05475422,50,40,0,0,n88,7.608165,13.0
7.87793,0.037393127,50,76,0,0,n89,7.608165,13.0
8.010141,0.06810891,38,49,0,0,n90,7.608165,13.0
8.011477,0.056089688,50,53,0,0,n91,7.608165,13.0
8.150366,0.037393127,50,71,0,0,n92,8.150366,14.0
8.267887,0.06810891,50,60,0,0,n93,8.150366,14.0
8.2825775,0.08146359,38,47,0,0,n94,8.150366,14.0
8.43215,0.036057655,50,67,0,0,n95,8.150366,14.0
8.551006,0.058760624,50,58,0,0,n96,8.150366,14.0
8.563025,0.065437965,38,44,0,0,n97,8.150366,14.0
8.697908,0.038728595,50,71,0,0,n98,8.697908,15.0
8.830119,0.07478625,38,46,0,0,n99,8.697908,15.0
8.830119,0.048076876,50,49,0,0,n100,8.697908,15.0
8.967672,0.040064063,50,70,0,0,n101,8.697908,15.0
9.085194,0.06677344,50,59,0,0,n102,8.697908,15.0
9.101219,0.07211531,38,44,0,0,n103,8.697908,15.0
9.242779,0.042735,52,68,0,0,n104,8.697908,15.0
9.246785,0.037393127,48,64,0,0,n105,9.244782,16.0
9.38701,0.06276703,50,52,0,0,n106,9.244782,16.0
9.397694,0.06143156,38,42,0,0,n107,9.244782,16.0
9.532576,0.04540594,52,55,0,0,n108,9.244782,16.0
9.537918,0.036057655,48,60,0,0,n109,9.244782,16.0
9.652768,0.06143156,50,56,0,0,n110,9.244782,16.0
9.664787,0.060096093,38,44,0,0,n111,9.244782,16.0
9.806347,0.05341875,52,67,0,0,n112,9.244782,16.0
9.809018,0.04139953,48,65,0,0,n113,9.807683,17.0
9.925203,0.07345078,50,60,0,0,n114,9.807683,17.0
9.94123,0.070779845,38,47,0,0,n115,9.807683,17.0
10.080118,0.044070467,52,73,0,0,n116,9.807683,17.0
10.084125,0.040064063,48,68,0,0,n117,9.807683,17.0
10.182949,0.11752125,50,70,0,0,n118,9.807683,17.0
