onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.33333334,0.0,0.33333334,0,4,38,6,n3-1,0.0,1.215277
0.33333334,0.33333334,0.33333334,0.33333334,4,4,57,6,n4-1,0.0,1.215277
0.6666667,0.33333334,0.6666667,0.33333334,8,4,62,6,n5-1,0.0,1.215277
1.0,0.33333334,1.0,0.33333334,12,4,69,6,n6-1,1.0,2.731034
1.3333334,0.33333334,1.3333334,0.33333334,16,4,62,6,n7-1,1.0,2.731034
1.6666666,0.33333334,1.6666666,0.33333334,20,4,57,6,n8-1,1.0,2.731034
2.0,0.33333334,2.0,0.33333334,24,4,54,6,n9-1,2.0,3.724622
2.3333333,0.33333334,2.3333333,0.33333334,28,4,45,6,n10-1,2.0,3.724622
2.6666667,0.33333334,2.6666667,0.33333334,32,4,62,6,n11-1,2.0,3.724622
3.0,0.33333334,3.0,0.33333334,36,4,38,6,n14-1,3.0,5.048072
3.3333333,0.33333334,3.3333333,0.33333334,40,4,57,6,n15-1,3.0,5.048072
3.6666667,0.33333334,3.6666667,0.33333334,44,4,62,6,n16-1,3.0,5.048072
4.0,0.33333334,4.0,0.33333334,48,4,69,6,n17-1,4.0,6.159182
4.3333335,0.33333334,4.3333335,0.33333334,52,4,62,6,n18-1,4.0,6.159182
4.6666665,0.33333334,4.6666665,0.33333334,56,4,57,6,n19-1,4.0,6.159182
5.0,0.33333334,5.0,0.33333334,60,4,54,6,n20-1,5.0,7.166125
5.3333335,0.33333334,5.3333335,0.33333334,64,4,45,6,n21-1,5.0,7.166125
5.6666665,0.33333334,5.6666665,0.33333334,68,4,62,6,n22-1,5.0,7.166125
6.0,2.0,6.0,2.0,72,24,66,1,n23-1,6.0,8.663186
6.3333335,0.33333334,6.3333335,0.33333334,76,4,38,6,n27-1,6.0,8.663186
6.6666665,0.33333334,6.6666665,0.33333334,80,4,57,6,n28-1,6.0,8.663186
7.0,0.33333334,7.0,0.33333334,84,4,69,6,n29-1,7.0,9.731561
7.3333335,0.33333334,7.3333335,0.33333334,88,4,62,6,n30-1,7.0,9.731561
7.6666665,0.33333334,7.6666665,0.33333334,92,4,57,6,n31-1,7.0,9.731561
8.0,1.0,8.0,1.0,96,12,64,1,n24-1,8.0,10.685085
