onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,3.0,0.0,3.0,0,36,31,5,n5-1,0.0,1.0253905
0.0,3.0,0.0,3.0,0,36,43,5,n6-1,0.0,1.0253905
0.0,3.0,0.0,3.0,0,36,67,1,n1-1,0.0,1.0253905
0.0,3.0,0.0,3.0,0,36,79,1,n2-1,0.0,1.0253905
3.0,0.75,3.0,0.75,36,9,71,1,n3-1,3.0,10.007812
3.75,0.25,3.75,0.25,45,3,72,1,n4-1,3.0,10.007812
4.0,1.0,4.0,1.0,48,12,74,1,n8-1,4.0,10.647135
5.0,1.0,5.0,1.0,60,12,74,1,n9-1,5.0,11.375
6.0,1.0,6.0,1.0,72,12,74,1,n10-1,6.0,12.065104
7.0,0.75,7.0,0.75,84,9,72,1,n11-1,7.0,12.807292
7.75,0.25,7.75,0.25,93,3,74,1,n12-1,7.0,12.807292
8.0,1.5,8.0,1.5,96,18,75,1,n14-1,8.0,13.591146
9.5,0.5,9.5,0.5,114,6,74,1,n15-1,9.0,14.375
10.0,1.0,10.0,1.0,120,12,72,1,n16-1,10.0,15.158854
11.0,0.75,11.0,0.75,132,9,74,1,n17-1,11.0,15.933594
11.75,0.25,11.75,0.25,141,3,72,1,n18-1,11.0,15.933594
12.0,1.0,12.0,1.0,144,12,71,1,n20-1,12.0,16.678385
13.0,0.75,13.0,0.75,156,9,69,1,n21-1,13.0,17.425781
13.75,0.25,13.75,0.25,165,3,71,1,n22-1,13.0,17.425781
14.0,1.0,14.0,1.0,168,12,72,1,n23-1,14.0,18.221354
15.0,0.75,15.0,0.75,180,9,74,1,n24-1,15.0,19.130207
15.75,0.25,15.75,0.25,189,3,75,1,n25-1,15.0,19.130207
16.0,3.0,16.0,3.0,192,36,74,1,n27-1,16.0,20.38151
19.0,0.75,19.0,0.75,228,9,55,5,n36-1,19.0,22.770182
19.0,0.75,19.0,0.75,228,9,62,1,n28-1,19.0,22.770182
19.0,0.75,19.0,0.75,228,9,67,1,n29-1,19.0,22.770182
19.0,0.75,19.0,0.75,228,9,71,1,n30-1,19.0,22.770182
19.75,0.25,19.75,0.25,237,3,55,5,n37-1,19.0,22.770182
19.75,0.25,19.75,0.25,237,3,63,1,n31-1,19.0,22.770182
19.75,0.25,19.75,0.25,237,3,67,1,n32-1,19.0,22.770182
19.75,0.25,19.75,0.25,237,3,72,1,n33-1,19.0,22.770182
20.0,1.0,20.0,1.0,240,12,55,5,n53-1,20.0,23.42513
