xml_id	midi_id	track	channel	pitch	onset
n5-1	n3	1	0	31	1.0507812499999998
n6-1	n2	1	0	43	1.0455729166666665
n1-1	n1	1	0	67	1.0442708333333333
n2-1	n0	1	0	79	1.0260416666666665
n3-1	n5	1	0	71	7.031249999999994
n4-1	n6	1	0	72	7.536458333333327
n8-1	n7	1	0	74	7.674479166666661
n9-1	n8	1	0	74	8.34635416666666
n10-1	n9	1	0	74	8.94791666666666
n11-1	n10	1	0	72	9.56770833333333
n12-1	n11	1	0	74	10.098958333333332
n14-1	n12	1	0	75	10.2890625
n15-1	n13	1	0	74	11.256510416666671
n16-1	n14	1	0	72	11.64192708333334
n18-1	n16	1	0	72	12.975260416666682
n17-1	n15	1	0	74	12.378906250000012
n20-1	n17	1	0	71	13.123697916666682
n21-1	n18	1	0	69	13.807291666666684
n22-1	n19	1	0	71	14.367187500000018
n23-1	n20	1	0	72	14.54427083333335
n24-1	n21	1	0	74	15.33723958333335
n25-1	n22	1	0	75	16.121093750000018
n27-1	n23	1	0	74	16.307291666666682
n36-1	n26	1	0	55	18.81901041666666
n37-1	n30	1	0	55	19.30208333333332
n53-1	n34	1	0	55	19.470052083333318
n28-1	n27	1	0	62	18.832031249999996
n31-1	n28	1	0	63	19.28515624999999
n29-1	n25	1	0	67	18.816406249999993
n32-1	n31	1	0	67	19.32161458333332
n30-1	n24	1	0	71	18.80729166666666
n33-1	n29	1	0	72	19.29687499999999
n38-1	n33	1	0	65	19.46354166666665
n39-1	deletion
n40-1	n32	1	0	74	19.442708333333318
n54-1	n38	1	0	55	20.10156249999998
n41-1	n37	1	0	65	20.09895833333331
n42-1	n36	1	0	67	20.09765624999998
n43-1	n35	1	0	74	20.072916666666647
n55-1	n42	1	0	55	20.722656249999975
n44-1	n41	1	0	65	20.718749999999975
n45-1	n40	1	0	67	20.716145833333307
n48-1	n46	1	0	67	21.351562499999968
n51-1	deletion
n46-1	n39	1	0	74	20.69791666666664
n56-1	n44	1	0	55	21.339843749999968
n47-1	n45	1	0	63	21.347656249999968
n50-1	n49	1	0	65	21.85026041666663
n49-1	n43	1	0	72	21.334635416666636
n52-1	n47	1	0	74	21.841145833333297
n71-1	n51	1	0	55	22.054687499999964
n57-1	n52	1	0	67	22.054687499999964
n58-1	n50	1	0	75	22.013020833333297
n72-1	n54	1	0	57	22.677083333333293
n73-1	n56	1	0	59	23.171874999999947
n59-1	n57	1	0	65	23.179687499999947
n60-1	n58	1	0	67	23.205729166666615
n61-1	n55	1	0	74	23.167968749999947
n74-1	n60	1	0	60	23.33854166666661
n62-1	n62	1	0	63	23.354166666666607
n63-1	n61	1	0	67	23.339843749999943
n64-1	n59	1	0	72	23.33072916666661
n75-1	n66	1	0	53	24.135416666666604
n76-1	n70	1	0	53	24.69531249999994
n68-1	n69	1	0	63	24.66145833333327
n65-1	n65	1	0	65	24.10937499999994
n66-1	n64	1	0	68	24.10546874999994
n69-1	n68	1	0	68	24.65755208333327
n70-1	n67	1	0	72	24.654947916666604
n67-1	n63	1	0	74	24.09114583333327
n94-1	n73	1	0	55	24.820312499999936
n77-1	n74	1	0	62	24.84505208333327
n83-1	deletion
n78-1	n72	1	0	67	24.819010416666604
n79-1	n71	1	0	71	24.803385416666604
n95-1	n79	1	0	53	26.0338541666666
n96-1	n81	1	0	55	26.083333333333268
n80-1	n76	1	0	60	25.51171874999994
n81-1	n77	1	0	67	25.51302083333327
n84-1	n82	1	0	67	26.093749999999936
n87-1	deletion
n82-1	n75	1	0	69	25.50130208333327
n85-1	n78	1	0	71	26.024739583333268
n97-1	n85	1	0	51	26.216145833333265
n98-1	n86	1	0	55	26.229166666666597
n86-1	deletion
n88-1	n83	1	0	72	26.173177083333268
n99-1	n89	1	0	43	27.167968749999925
n101-1	n91	1	0	43	27.851562499999932
n100-1	n90	1	0	55	27.22786458333326
n102-1	n93	1	0	55	27.868489583333265
n91-1	n94	1	0	65	27.885416666666597
n89-1	n88	1	0	67	27.13932291666659
n92-1	n95	1	0	67	27.893229166666597
n93-1	n92	1	0	74	27.864583333333265
n90-1	n87	1	0	75	27.121093749999925
n108-1	n98	1	0	48	28.083333333333265
n109-1	deletion
n103-1	n99	1	0	63	28.098958333333265
n104-1	n96	1	0	67	28.059895833333265
n105-1	n97	1	0	72	28.074218749999932
n106-1	n100	1	0	74	30.761718749999922
n107-1	n101	1	0	75	31.273437499999922
n111-1	n102	1	0	77	31.425781249999922
n112-1	n103	1	0	77	32.10546874999992
n113-1	n104	1	0	77	32.764322916666586
n115-1	n106	1	0	74	34.02864583333326
n114-1	n105	1	0	75	33.436197916666586
n117-1	n107	1	0	79	34.263020833333265
n118-1	n108	1	0	77	35.3385416666666
n119-1	n109	1	0	75	35.71093749999993
n121-1	n111	1	0	72	37.06901041666662
n120-1	n110	1	0	74	36.49348958333328
n123-1	n112	1	0	71	37.22526041666662
n124-1	n113	1	0	69	37.979166666666636
n125-1	n114	1	0	71	38.57421874999997
n126-1	n115	1	0	72	38.72916666666664
n128-1	n117	1	0	75	40.47916666666666
n127-1	n116	1	0	77	39.66666666666664
n130-1	n118	1	0	74	40.68749999999999
n139-1	n120	1	0	58	43.31380208333335
n140-1	n125	1	0	58	43.783854166666686
n156-1	n130	1	0	58	43.98046875000003
n131-1	n121	1	0	65	43.31380208333335
n134-1	n124	1	0	67	43.779947916666686
n132-1	n122	1	0	70	43.31380208333335
n135-1	n126	1	0	70	43.79427083333335
n142-1	n129	1	0	70	43.97916666666669
n133-1	n119	1	0	74	43.283854166666686
n136-1	n123	1	0	75	43.772135416666686
n141-1	n128	1	0	68	43.96223958333336
n143-1	n127	1	0	77	43.92968750000002
n157-1	n134	1	0	58	44.62109375000003
n144-1	n132	1	0	68	44.610677083333364
n145-1	n133	1	0	70	44.610677083333364
n146-1	n131	1	0	77	44.595052083333364
n158-1	n138	1	0	58	45.29557291666671
n147-1	n137	1	0	68	45.27213541666671
n148-1	n136	1	0	70	45.26432291666671
n149-1	n135	1	0	77	45.25651041666671
n159-1	n140	1	0	58	45.94010416666672
n160-1	n143	1	0	58	46.404947916666735
n153-1	n146	1	0	65	46.444010416666735
n150-1	n142	1	0	67	45.94401041666672
n151-1	n141	1	0	70	45.94140625000006
n154-1	n144	1	0	70	46.408854166666735
n155-1	n145	1	0	74	46.4114583333334
n152-1	n139	1	0	75	45.92187500000006
n175-1	n149	1	0	58	46.6341145833334
n161-1	n148	1	0	70	46.627604166666735
n162-1	n147	1	0	79	46.600260416666735
n176-1	n150	1	0	60	47.32812500000008
n177-1	n152	1	0	62	47.86328125000009
n163-1	n153	1	0	68	47.88020833333343
n164-1	n154	1	0	70	47.92968750000009
n165-1	n151	1	0	77	47.86197916666676
n178-1	n157	1	0	63	48.070312500000085
n166-1	n156	1	0	67	48.04427083333342
n167-1	deletion
n168-1	n155	1	0	75	48.03385416666676
n179-1	n161	1	0	53	48.95442708333343
n180-1	n165	1	0	53	49.5273437500001
n172-1	n164	1	0	63	49.516927083333435
n169-1	n160	1	0	65	48.93359375000009
