xml_id	midi_id	track	channel	pitch	onset
n25-1	n0	1	0	42	1.0375
n26-1	n1	1	0	49	1.0635416666666668
n4-1	n3	1	0	58	1.6927083333333337
n8-1	n7	1	0	58	2.38125
n10-1	n9	1	0	58	2.6947916666666667
n14-1	n13	1	0	58	3.2927083333333336
n15-1	n17	1	0	58	3.6520833333333336
n5-1	n4	1	0	61	1.9052083333333336
n7-1	n6	1	0	61	2.2656250000000004
n9-1	n8	1	0	61	2.5614583333333334
n11-1	n10	1	0	61	2.8364583333333333
n13-1	n12	1	0	61	3.1229166666666672
n16-1	n18	1	0	61	3.8218750000000004
n6-1	n5	1	0	66	2.0625000000000004
n12-1	n11	1	0	66	2.9802083333333336
n1-1	n2	1	0	70	1.0812500000000003
n27-1	n15	1	0	42	3.426041666666667
n28-1	n14	1	0	49	3.4145833333333337
n19-1	n21	1	0	58	4.25
n18-1	n20	1	0	61	4.073958333333334
n17-1	n19	1	0	66	3.9604166666666667
n2-1	n16	1	0	70	3.4781250000000004
n29-1	n23	1	0	42	4.402083333333333
n30-1	n24	1	0	49	4.402083333333333
n20-1	n25	1	0	58	4.578125
n24-1	n29	1	0	58	5.184375
n21-1	n26	1	0	61	4.714583333333334
n23-1	n28	1	0	61	5.015625000000001
n22-1	n27	1	0	66	4.847916666666667
n3-1	n22	1	0	70	4.369791666666666
n55-1	n30	1	0	39	5.390625
n56-1	n31	1	0	51	5.417708333333334
n33-1	n33	1	0	58	5.7802083333333325
n37-1	n37	1	0	58	6.315624999999995
n34-1	n34	1	0	63	5.9135416666666645
n36-1	n36	1	0	63	6.192708333333329
n35-1	n35	1	0	66	6.054166666666663
n31-1	n32	1	0	70	5.466666666666667
n39-1	n39	1	0	58	6.617708333333329
n43-1	n43	1	0	58	7.216666666666662
n38-1	n38	1	0	63	6.476041666666662
n40-1	n40	1	0	63	6.749999999999996
n42-1	n42	1	0	63	7.0572916666666625
n41-1	n41	1	0	66	6.877083333333329
n44-1	n45	1	0	54	7.661458333333329
n48-1	n49	1	0	54	8.195833333333331
n50-1	n51	1	0	54	8.496875
n45-1	n46	1	0	58	7.812499999999996
n47-1	n48	1	0	58	8.07708333333333
n46-1	n47	1	0	63	7.930208333333329
n32-1	n44	1	0	66	7.407291666666662
n54-1	n55	1	0	54	9.067708333333334
n49-1	n50	1	0	58	8.353124999999999
n51-1	n52	1	0	58	8.638541666666667
n53-1	n54	1	0	58	8.920833333333334
n52-1	n53	1	0	63	8.763541666666667
n83-1	n56	1	0	35	9.244791666666668
n84-1	n57	1	0	47	9.256250000000001
n64-1	n59	1	0	56	9.61354166666667
n68-1	n63	1	0	56	10.222916666666672
n65-1	n60	1	0	59	9.754166666666672
n67-1	n62	1	0	59	10.051041666666672
n66-1	n61	1	0	63	9.909375000000006
n59-1	n58	1	0	68	9.352083333333335
n70-1	n65	1	0	56	10.481250000000006
n74-1	n68	1	0	56	11.108333333333341
n69-1	n64	1	0	59	10.376041666666673
n71-1	n66	1	0	59	10.647916666666674
n73-1	deletion
n72-1	n67	1	0	63	10.797916666666675
n85-1	n69	1	0	37	11.282291666666675
n86-1	n70	1	0	49	11.336458333333342
n75-1	n72	1	0	56	11.631250000000012
n77-1	n75	1	0	56	12.162500000000016
n76-1	n73	1	0	59	11.81666666666668
n78-1	n76	1	0	59	12.334375000000016
n61-1	n74	1	0	65	11.966666666666683
n60-1	n71	1	0	66	11.377083333333342
n87-1	n81	1	0	47	12.90208333333335
n88-1	n82	1	0	49	12.90833333333335
n81-1	n83	1	0	53	13.075000000000015
n79-1	n78	1	0	56	12.608333333333348
n82-1	n84	1	0	56	13.23020833333335
n103-1	n104	1	0	56	16.54583333333336
n107-1	n108	1	0	56	17.1760416666667
n80-1	n79	1	0	59	12.766666666666683
n63-1	n80	1	0	61	12.88645833333335
n62-1	n77	1	0	63	12.445833333333349
n114-1	n85	1	0	46	13.365625000000016
n115-1	n86	1	0	49	13.382291666666683
n93-1	n88	1	0	54	13.643750000000017
n97-1	n92	1	0	54	14.213541666666684
n94-1	n89	1	0	58	13.756250000000017
n96-1	n91	1	0	58	14.071875000000016
n95-1	n90	1	0	61	13.908333333333351
n89-1	n87	1	0	66	13.42083333333335
n116-1	n94	1	0	42	14.41458333333335
n117-1	n93	1	0	51	14.385416666666684
n98-1	n96	1	0	60	14.762500000000019
n102-1	n100	1	0	60	15.459375000000023
n99-1	n97	1	0	63	14.916666666666687
n101-1	n99	1	0	63	15.271875000000023
n100-1	n98	1	0	66	15.068750000000023
n90-1	n95	1	0	70	14.494791666666684
n118-1	n101	1	0	37	15.688541666666689
n119-1	n103	1	0	53	16.331250000000026
n104-1	n105	1	0	61	16.715625000000028
n106-1	n107	1	0	61	17.007291666666696
n105-1	n106	1	0	65	16.860416666666694
n91-1	n102	1	0	68	15.867708333333354
n109-1	n110	1	0	56	17.4760416666667
n113-1	n115	1	0	57	18.34687500000003
n108-1	n109	1	0	61	17.303125000000033
n110-1	n111	1	0	61	17.63125000000003
n112-1	n114	1	0	61	18.18437500000003
n111-1	n113	1	0	65	17.935416666666697
n92-1	n112	1	0	69	17.873958333333363
n144-1	n117	1	0	42	18.632291666666696
n145-1	n116	1	0	49	18.597916666666695
n123-1	n119	1	0	58	19.05937500000003
n127-1	n123	1	0	58	19.650000000000038
n124-1	n120	1	0	61	19.255208333333368
n126-1	n122	1	0	61	19.494791666666703
n125-1	n121	1	0	66	19.36770833333337
