xml_id	midi_id	track	channel	pitch	onset
n25-1	n0	1	0	42	0.9927083333333333
n26-1	n2	1	0	49	1.0135416666666666
n4-1	n3	1	0	58	1.3989583333333333
n8-1	n7	1	0	58	2.1645833333333333
n10-1	n9	1	0	58	2.4364583333333334
n14-1	n13	1	0	58	2.9760416666666667
n15-1	n17	1	0	58	3.230208333333333
n5-1	n4	1	0	61	1.6541666666666666
n7-1	n6	1	0	61	2.0072916666666667
n9-1	n8	1	0	61	2.3197916666666667
n11-1	n10	1	0	61	2.5572916666666665
n13-1	n12	1	0	61	2.828125
n16-1	n18	1	0	61	3.36875
n6-1	n5	1	0	66	1.8552083333333331
n12-1	n11	1	0	66	2.707291666666667
n1-1	n1	1	0	70	1.0
n27-1	n16	1	0	42	3.1156249999999996
n28-1	n15	1	0	49	3.0906249999999997
n19-1	n21	1	0	58	3.7781249999999997
n18-1	n20	1	0	61	3.630208333333333
n17-1	n19	1	0	66	3.498958333333333
n2-1	n14	1	0	70	3.071875
n29-1	n24	1	0	42	3.8979166666666663
n30-1	n23	1	0	49	3.8927083333333328
n20-1	n25	1	0	58	4.023958333333333
n24-1	n29	1	0	58	4.620833333333333
n21-1	n26	1	0	61	4.158333333333333
n23-1	n28	1	0	61	4.447916666666666
n22-1	n27	1	0	66	4.298958333333333
n3-1	n22	1	0	70	3.869791666666666
n55-1	n31	1	0	39	4.847916666666666
n56-1	n30	1	0	51	4.817708333333333
n33-1	n33	1	0	58	5.211458333333331
n37-1	n37	1	0	58	5.751041666666663
n34-1	n34	1	0	63	5.356249999999997
n36-1	n36	1	0	63	5.610416666666663
n35-1	n35	1	0	66	5.497916666666663
n31-1	n32	1	0	70	4.934375
n39-1	n39	1	0	58	5.992708333333329
n43-1	n43	1	0	58	6.485416666666662
n38-1	n38	1	0	63	5.865624999999996
n40-1	n40	1	0	63	6.124999999999996
n42-1	n42	1	0	63	6.3854166666666625
n41-1	n41	1	0	66	6.272916666666663
n44-1	n45	1	0	54	6.831249999999995
n48-1	n49	1	0	54	7.369791666666662
n45-1	n46	1	0	58	6.964583333333328
n47-1	n48	1	0	58	7.226041666666662
n46-1	n47	1	0	63	7.098958333333329
n32-1	n44	1	0	66	6.645833333333329
n50-1	n51	1	0	54	7.621874999999994
n54-1	n55	1	0	54	8.181249999999993
n49-1	n50	1	0	58	7.489583333333328
n51-1	n52	1	0	58	7.744791666666661
n53-1	n54	1	0	58	8.042708333333326
n52-1	n53	1	0	63	7.888541666666661
n83-1	n56	1	0	35	8.396874999999994
n84-1	n57	1	0	47	8.40104166666666
n64-1	n59	1	0	56	8.676041666666665
n68-1	n63	1	0	56	9.223958333333334
n70-1	n65	1	0	56	9.461458333333333
n65-1	n60	1	0	59	8.824999999999998
n67-1	n62	1	0	59	9.101041666666665
n66-1	n61	1	0	63	8.987499999999999
n59-1	n58	1	0	68	8.473958333333327
n74-1	n69	1	0	56	9.947916666666664
n69-1	n64	1	0	59	9.334375
n71-1	n66	1	0	59	9.576041666666665
n73-1	n68	1	0	59	9.833333333333332
n72-1	n67	1	0	63	9.716666666666665
n85-1	n71	1	0	37	10.166666666666664
n86-1	n70	1	0	49	10.16145833333333
n75-1	n73	1	0	56	10.453125
n77-1	n76	1	0	56	10.89791666666667
n76-1	n74	1	0	59	10.644791666666668
n78-1	n77	1	0	59	11.025000000000004
n61-1	n75	1	0	65	10.747916666666669
n60-1	n72	1	0	66	10.252083333333331
n87-1	n82	1	0	47	11.642708333333335
n88-1	n83	1	0	49	11.652083333333335
n81-1	n84	1	0	53	11.768750000000002
n79-1	n79	1	0	56	11.322916666666668
n82-1	n85	1	0	56	11.893750000000004
n80-1	n80	1	0	59	11.434375000000001
n63-1	n81	1	0	61	11.612500000000002
n62-1	n78	1	0	63	11.17604166666667
n114-1	n87	1	0	46	12.089583333333337
n115-1	n86	1	0	49	12.07291666666667
n93-1	n89	1	0	54	12.346875000000004
n97-1	n93	1	0	54	12.846875000000006
n94-1	n90	1	0	58	12.485416666666673
n96-1	n92	1	0	58	12.74895833333334
n95-1	n91	1	0	61	12.594791666666673
