onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,2.0,0.0,4.0,0,96,42,5,n25-1,0.0,1.084375
0.0,2.0,0.0,4.0,0,96,49,5,n26-1,0.0,1.084375
0.0,2.0,0.0,4.0,0,96,70,1,n1-1,0.0,1.084375
0.16666667,0.16666667,0.33333334,0.33333334,8,8,58,2,n4-1,0.0,1.084375
0.33333334,0.16666667,0.6666667,0.33333334,16,8,61,2,n5-1,0.0,1.084375
0.5,0.16666667,1.0,0.33333334,24,8,66,2,n6-1,0.0,1.084375
0.6666667,0.16666667,1.3333334,0.33333334,32,8,61,2,n7-1,0.0,1.084375
0.8333333,0.16666667,1.6666666,0.33333334,40,8,58,2,n8-1,0.0,1.084375
1.0,0.16666667,2.0,0.33333334,48,8,61,2,n9-1,1.0,2.019792
1.1666666,0.16666667,2.3333333,0.33333334,56,8,58,2,n10-1,1.0,2.019792
1.3333334,0.16666667,2.6666667,0.33333334,64,8,61,2,n11-1,1.0,2.019792
1.5,0.16666667,3.0,0.33333334,72,8,66,2,n12-1,1.0,2.019792
1.6666666,0.16666667,3.3333333,0.33333334,80,8,61,2,n13-1,1.0,2.019792
1.8333334,0.16666667,3.6666667,0.33333334,88,8,58,2,n14-1,1.0,2.019792
2.0,1.0,4.0,2.0,96,48,42,5,n27-1,2.0,2.816667
2.0,1.0,4.0,2.0,96,48,49,5,n28-1,2.0,2.816667
2.0,1.0,4.0,2.0,96,48,70,1,n2-1,2.0,2.816667
2.1666667,0.16666667,4.3333335,0.33333334,104,8,58,2,n15-1,2.0,2.816667
2.3333333,0.16666667,4.6666665,0.33333334,112,8,61,2,n16-1,2.0,2.816667
2.5,0.16666667,5.0,0.33333334,120,8,66,2,n17-1,2.0,2.816667
2.6666667,0.16666667,5.3333335,0.33333334,128,8,61,2,n18-1,2.0,2.816667
2.8333333,0.16666667,5.6666665,0.33333334,136,8,58,2,n19-1,2.0,2.816667
3.0,1.0,6.0,2.0,144,48,42,5,n29-1,3.0,3.594792
3.0,1.0,6.0,2.0,144,48,49,5,n30-1,3.0,3.594792
3.0,1.0,6.0,2.0,144,48,70,1,n3-1,3.0,3.594792
3.1666667,0.16666667,6.3333335,0.33333334,152,8,58,2,n20-1,3.0,3.594792
3.3333333,0.16666667,6.6666665,0.33333334,160,8,61,2,n21-1,3.0,3.594792
3.5,0.16666667,7.0,0.33333334,168,8,66,2,n22-1,3.0,3.594792
3.6666667,0.16666667,7.3333335,0.33333334,176,8,61,2,n23-1,3.0,3.594792
3.8333333,0.16666667,7.6666665,0.33333334,184,8,58,2,n24-1,3.0,3.594792
4.0,4.0,8.0,8.0,192,192,39,5,n55-1,4.0,4.475
4.0,4.0,8.0,8.0,192,192,51,5,n56-1,4.0,4.475
4.0,2.0,8.0,4.0,192,96,70,1,n31-1,4.0,4.475
4.1666665,0.16666667,8.333333,0.33333334,200,8,58,2,n33-1,4.0,4.475
4.3333335,0.16666667,8.666667,0.33333334,208,8,63,2,n34-1,4.0,4.475
4.5,0.16666667,9.0,0.33333334,216,8,66,2,n35-1,4.0,4.475
4.6666665,0.16666667,9.333333,0.33333334,224,8,63,2,n36-1,4.0,4.475
4.8333335,0.16666667,9.666667,0.33333334,232,8,58,2,n37-1,4.0,4.475
5.0,0.16666667,10.0,0.33333334,240,8,63,2,n38-1,5.0,5.295833
5.1666665,0.16666667,10.333333,0.33333334,248,8,58,2,n39-1,5.0,5.295833
5.3333335,0.16666667,10.666667,0.33333334,256,8,63,2,n40-1,5.0,5.295833
5.5,0.16666667,11.0,0.33333334,264,8,66,2,n41-1,5.0,5.295833
5.6666665,0.16666667,11.333333,0.33333334,272,8,63,2,n42-1,5.0,5.295833
5.8333335,0.16666667,11.666667,0.33333334,280,8,58,2,n43-1,5.0,5.295833
6.0,2.0,12.0,4.0,288,96,66,1,n32-1,6.0,6.107292
6.1666665,0.16666667,12.333333,0.33333334,296,8,54,2,n44-1,6.0,6.107292
6.3333335,0.16666667,12.666667,0.33333334,304,8,58,2,n45-1,6.0,6.107292
6.5,0.16666667,13.0,0.33333334,312,8,63,2,n46-1,6.0,6.107292
6.6666665,0.16666667,13.333333,0.33333334,320,8,58,2,n47-1,6.0,6.107292
6.8333335,0.16666667,13.666667,0.33333334,328,8,54,2,n48-1,6.0,6.107292
7.0,0.16666667,14.0,0.33333334,336,8,58,2,n49-1,7.0,6.878125
7.1666665,0.16666667,14.333333,0.33333334,344,8,54,2,n50-1,7.0,6.878125
7.3333335,0.16666667,14.666667,0.33333334,352,8,58,2,n51-1,7.0,6.878125
7.5,0.16666667,15.0,0.33333334,360,8,63,2,n52-1,7.0,6.878125
7.6666665,0.16666667,15.333333,0.33333334,368,8,58,2,n53-1,7.0,6.878125
7.8333335,0.16666667,15.666667,0.33333334,376,8,54,2,n54-1,7.0,6.878125
8.0,2.0,16.0,4.0,384,96,35,5,n83-1,8.0,7.705208
8.0,2.0,16.0,4.0,384,96,47,5,n84-1,8.0,7.705208
8.0,2.0,16.0,4.0,384,96,68,1,n59-1,8.0,7.705208
8.166667,0.16666667,16.333334,0.33333334,392,8,56,2,n64-1,8.0,7.705208
8.333333,0.16666667,16.666666,0.33333334,400,8,59,2,n65-1,8.0,7.705208
8.5,0.16666667,17.0,0.33333334,408,8,63,2,n66-1,8.0,7.705208
8.666667,0.16666667,17.333334,0.33333334,416,8,59,2,n67-1,8.0,7.705208
8.833333,0.16666667,17.666666,0.33333334,424,8,56,2,n68-1,8.0,7.705208
9.0,0.16666667,18.0,0.33333334,432,8,59,2,n69-1,9.0,8.50625
9.166667,0.16666667,18.333334,0.33333334,440,8,56,2,n70-1,9.0,8.50625
9.333333,0.16666667,18.666666,0.33333334,448,8,59,2,n71-1,9.0,8.50625
9.5,0.16666667,19.0,0.33333334,456,8,63,2,n72-1,9.0,8.50625
9.666667,0.16666667,19.333334,0.33333334,464,8,59,2,n73-1,9.0,8.50625
9.833333,0.16666667,19.666666,0.33333334,472,8,56,2,n74-1,9.0,8.50625
10.0,1.5,20.0,3.0,480,72,37,5,n85-1,10.0,9.333333
10.0,1.5,20.0,3.0,480,72,49,5,n86-1,10.0,9.333333
10.0,0.5,20.0,1.0,480,24,66,1,n60-1,10.0,9.333333
10.166667,0.16666667,20.333334,0.33333334,488,8,56,2,n75-1,10.0,9.333333
10.333333,0.16666667,20.666666,0.33333334,496,8,59,2,n76-1,10.0,9.333333
10.5,0.5,21.0,1.0,504,24,65,1,n61-1,10.0,9.333333
10.666667,0.16666667,21.333334,0.33333334,512,8,56,2,n77-1,10.0,9.333333
10.833333,0.16666667,21.666666,0.33333334,520,8,59,2,n78-1,10.0,9.333333
11.0,0.5,22.0,1.0,528,24,63,1,n62-1,11.0,10.173958
11.166667,0.16666667,22.333334,0.33333334,536,8,56,2,n79-1,11.0,10.173958
11.333333,0.16666667,22.666666,0.33333334,544,8,59,2,n80-1,11.0,10.173958
11.5,0.5,23.0,1.0,552,24,47,5,n87-1,11.0,10.173958
11.5,0.5,23.0,1.0,552,24,49,5,n88-1,11.0,10.173958
11.5,0.5,23.0,1.0,552,24,61,1,n63-1,11.0,10.173958
11.666667,0.16666667,23.333334,0.33333334,560,8,53,2,n81-1,11.0,10.173958
11.833333,0.16666667,23.666666,0.33333334,568,8,56,2,n82-1,11.0,10.173958
12.0,1.0,24.0,2.0,576,48,46,5,n114-1,12.0,11.04375
12.0,1.0,24.0,2.0,576,48,49,5,n115-1,12.0,11.04375
12.0,1.0,24.0,2.0,576,48,66,1,n89-1,12.0,11.04375
12.166667,0.16666667,24.333334,0.33333334,584,8,54,2,n93-1,12.0,11.04375
