onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,1.0,0,12,44,5,n13-1,0.0,1.039583
0.0,0.25,0.0,0.25,0,3,83,1,n1-1,0.0,1.039583
0.25,0.25,0.25,0.25,3,3,87,1,n2-1,0.0,1.039583
0.5,0.25,0.5,0.25,6,3,83,1,n3-1,0.0,1.039583
0.75,0.25,0.75,0.25,9,3,80,1,n4-1,0.0,1.039583
1.0,8.0,1.0,8.0,12,96,56,5,n14-1,1.0,1.486458
1.0,8.0,1.0,8.0,12,96,59,5,n15-1,1.0,1.486458
1.0,4.5,1.0,4.5,12,54,63,5,n16-1,1.0,1.486458
1.0,0.25,1.0,0.25,12,3,80,1,n5-1,1.0,1.486458
1.25,0.25,1.25,0.25,15,3,83,1,n6-1,1.0,1.486458
1.5,0.25,1.5,0.25,18,3,80,1,n7-1,1.0,1.486458
1.75,0.25,1.75,0.25,21,3,75,1,n8-1,1.0,1.486458
2.0,0.25,2.0,0.25,24,3,75,1,n9-1,2.0,1.823958
2.25,0.25,2.25,0.25,27,3,80,1,n10-1,2.0,1.823958
2.5,0.25,2.5,0.25,30,3,75,1,n11-1,2.0,1.823958
2.75,0.25,2.75,0.25,33,3,71,1,n12-1,2.0,1.823958
3.0,0.25,3.0,0.25,36,3,71,1,n17-1,3.0,2.217708
3.25,0.25,3.25,0.25,39,3,75,1,n18-1,3.0,2.217708
3.5,0.25,3.5,0.25,42,3,71,1,n19-1,3.0,2.217708
3.75,0.25,3.75,0.25,45,3,68,1,n20-1,3.0,2.217708
4.0,0.25,4.0,0.25,48,3,68,1,n21-1,4.0,2.580208
4.25,0.25,4.25,0.25,51,3,71,1,n22-1,4.0,2.580208
4.5,0.25,4.5,0.25,54,3,68,1,n23-1,4.0,2.580208
4.75,0.25,4.75,0.25,57,3,63,1,n24-1,4.0,2.580208
5.0,0.5,5.0,0.5,60,6,51,5,n31-1,5.0,2.99427
5.0,0.5,5.0,0.5,60,6,58,5,n32-1,5.0,2.99427
5.0,0.5,5.0,0.5,60,6,67,1,n25-1,5.0,2.99427
5.0,0.5,5.0,0.5,60,6,70,1,n26-1,5.0,2.99427
6.0,1.0,6.0,1.0,72,12,44,5,n47-1,6.0,3.596893
6.0,0.25,6.0,0.25,72,3,83,1,n35-1,6.0,3.596893
6.25,0.25,6.25,0.25,75,3,87,1,n36-1,6.0,3.596893
6.5,0.25,6.5,0.25,78,3,83,1,n37-1,6.0,3.596893
6.75,0.25,6.75,0.25,81,3,80,1,n38-1,6.0,3.596893
7.0,4.0,7.0,4.0,84,48,63,5,n50-1,7.0,4.007292
7.0,0.25,7.0,0.25,84,3,80,1,n39-1,7.0,4.007292
7.25,0.25,7.25,0.25,87,3,83,1,n40-1,7.0,4.007292
7.5,0.25,7.5,0.25,90,3,80,1,n41-1,7.0,4.007292
7.75,0.25,7.75,0.25,93,3,75,1,n42-1,7.0,4.007292
8.0,0.25,8.0,0.25,96,3,75,1,n43-1,8.0,4.376042
8.25,0.25,8.25,0.25,99,3,80,1,n44-1,8.0,4.376042
8.5,0.25,8.5,0.25,102,3,75,1,n45-1,8.0,4.376042
8.75,0.25,8.75,0.25,105,3,71,1,n46-1,8.0,4.376042
9.0,0.25,9.0,0.25,108,3,71,1,n51-1,9.0,4.753125
9.25,0.25,9.25,0.25,111,3,75,1,n52-1,9.0,4.753125
9.5,0.25,9.5,0.25,114,3,71,1,n53-1,9.0,4.753125
9.75,0.25,9.75,0.25,117,3,68,1,n54-1,9.0,4.753125
10.0,0.25,10.0,0.25,120,3,68,1,n55-1,10.0,5.098091
10.25,0.25,10.25,0.25,123,3,71,1,n56-1,10.0,5.098091
10.5,0.25,10.5,0.25,126,3,68,1,n57-1,10.0,5.098091
10.75,0.25,10.75,0.25,129,3,63,1,n58-1,10.0,5.098091
11.0,0.5,11.0,0.5,132,6,51,5,n65-1,11.0,5.473606
11.0,0.5,11.0,0.5,132,6,58,5,n66-1,11.0,5.473606
11.0,0.5,11.0,0.5,132,6,63,5,n67-1,11.0,5.473606
11.0,0.5,11.0,0.5,132,6,67,1,n59-1,11.0,5.473606
11.0,0.5,11.0,0.5,132,6,70,1,n60-1,11.0,5.473606
12.0,1.0,12.0,1.0,144,12,56,5,n77-1,12.0,5.972396
12.0,1.0,12.0,1.0,144,12,59,5,n78-1,12.0,5.972396
12.0,1.0,12.0,1.0,144,12,63,5,n79-1,12.0,5.972396
12.0,1.0,12.0,1.0,144,12,68,1,n69-1,12.0,5.972396
12.0,1.0,12.0,1.0,144,12,71,1,n70-1,12.0,5.972396
13.0,1.0,13.0,1.0,156,12,51,5,n80-1,13.0,6.448438
13.0,1.0,13.0,1.0,156,12,58,5,n81-1,13.0,6.448438
13.0,1.0,13.0,1.0,156,12,64,5,n82-1,13.0,6.448438
13.0,1.0,13.0,1.0,156,12,67,1,n71-1,13.0,6.448438
13.0,1.0,13.0,1.0,156,12,70,1,n72-1,13.0,6.448438
13.0,1.0,13.0,1.0,156,12,76,1,n73-1,13.0,6.448438
14.0,1.0,14.0,1.0,168,12,51,5,n83-1,14.0,6.864583
14.0,1.0,14.0,1.0,168,12,58,5,n84-1,14.0,6.864583
14.0,1.0,14.0,1.0,168,12,64,5,n85-1,14.0,6.864583
14.0,1.0,14.0,1.0,168,12,67,1,n74-1,14.0,6.864583
14.0,1.0,14.0,1.0,168,12,70,1,n75-1,14.0,6.864583
14.0,1.0,14.0,1.0,168,12,76,1,n76-1,14.0,6.864583
15.0,1.0,15.0,1.0,180,12,51,5,n95-1,15.0,7.324479
15.0,1.0,15.0,1.0,180,12,58,5,n96-1,15.0,7.324479
15.0,1.0,15.0,1.0,180,12,64,5,n97-1,15.0,7.324479
15.0,1.0,15.0,1.0,180,12,67,1,n86-1,15.0,7.324479
15.0,1.0,15.0,1.0,180,12,70,1,n87-1,15.0,7.324479
15.0,1.0,15.0,1.0,180,12,76,1,n88-1,15.0,7.324479
16.0,1.0,16.0,1.0,192,12,51,5,n98-1,16.0,7.803646
16.0,1.0,16.0,1.0,192,12,58,5,n99-1,16.0,7.803646
16.0,1.0,16.0,1.0,192,12,63,5,n100-1,16.0,7.803646
16.0,1.0,16.0,1.0,192,12,67,1,n89-1,16.0,7.803646
16.0,1.0,16.0,1.0,192,12,70,1,n90-1,16.0,7.803646
16.0,1.0,16.0,1.0,192,12,75,1,n91-1,16.0,7.803646
17.0,1.0,17.0,1.0,204,12,51,5,n101-1,17.0,8.273958
17.0,1.0,17.0,1.0,204,12,58,5,n102-1,17.0,8.273958
17.0,1.0,17.0,1.0,204,12,61,5,n103-1,17.0,8.273958
17.0,1.0,17.0,1.0,204,12,67,1,n92-1,17.0,8.273958
17.0,1.0,17.0,1.0,204,12,70,1,n93-1,17.0,8.273958
17.0,1.0,17.0,1.0,204,12,73,1,n94-1,17.0,8.273958
18.0,1.0,18.0,1.0,216,12,44,5,n116-1,18.0,8.848959
18.0,0.25,18.0,0.25,216,3,83,1,n104-1,18.0,8.848959
18.25,0.25,18.25,0.25,219,3,87,1,n105-1,18.0,8.848959
18.5,0.25,18.5,0.25,222,3,83,1,n106-1,18.0,8.848959
18.75,0.25,18.75,0.25,225,3,80,1,n107-1,18.0,8.848959
19.0,4.0,19.0,4.0,228,48,56,5,n117-1,19.0,9.268229
19.0,4.0,19.0,4.0,228,48,59,5,n118-1,19.0,9.268229
19.0,4.0,19.0,4.0,228,48,63,5,n119-1,19.0,9.268229
19.0,0.25,19.0,0.25,228,3,80,1,n108-1,19.0,9.268229
19.25,0.25,19.25,0.25,231,3,83,1,n109-1,19.0,9.268229
19.5,0.25,19.5,0.25,234,3,80,1,n110-1,19.0,9.268229
19.75,0.25,19.75,0.25,237,3,75,1,n111-1,19.0,9.268229
20.0,0.25,20.0,0.25,240,3,75,1,n112-1,20.0,9.65
20.25,0.25,20.25,0.25,243,3,80,1,n113-1,20.0,9.65
20.5,0.25,20.5,0.25,246,3,75,1,n114-1,20.0,9.65
20.75,0.25,20.75,0.25,249,3,71,1,n115-1,20.0,9.65
21.0,0.25,21.0,0.25,252,3,71,1,n120-1,21.0,10.026042
21.25,0.25,21.25,0.25,255,3,75,1,n121-1,21.0,10.026042
21.5,0.25,21.5,0.25,258,3,71,1,n122-1,21.0,10.026042
21.75,0.25,21.75,0.25,261,3,68,1,n123-1,21.0,10.026042
22.0,0.25,22.0,0.25,264,3,68,1,n124-1,22.0,10.396875
22.25,0.25,22.25,0.25,267,3,71,1,n125-1,22.0,10.396875
22.5,0.25,22.5,0.25,270,3,68,1,n126-1,22.0,10.396875
22.75,0.25,22.75,0.25,273,3,63,1,n127-1,22.0,10.396875
23.0,0.5,23.0,0.5,276,6,51,5,n134-1,23.0,10.779166
23.0,0.5,23.0,0.5,276,6,58,5,n135-1,23.0,10.779166
23.0,0.5,23.0,0.5,276,6,63,5,n136-1,23.0,10.779166
23.0,0.5,23.0,0.5,276,6,67,1,n128-1,23.0,10.779166
