onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,1.0,0,12,44,5,n13-1,0.0,1.080729
0.0,0.25,0.0,0.25,0,3,83,1,n1-1,0.0,1.080729
0.25,0.25,0.25,0.25,3,3,87,1,n2-1,0.0,1.080729
0.5,0.25,0.5,0.25,6,3,83,1,n3-1,0.0,1.080729
0.75,0.25,0.75,0.25,9,3,80,1,n4-1,0.0,1.080729
1.0,8.0,1.0,8.0,12,96,56,5,n14-1,1.0,1.740625
1.0,8.0,1.0,8.0,12,96,59,5,n15-1,1.0,1.740625
1.0,4.5,1.0,4.5,12,54,63,5,n16-1,1.0,1.740625
1.0,0.25,1.0,0.25,12,3,80,1,n5-1,1.0,1.740625
1.25,0.25,1.25,0.25,15,3,83,1,n6-1,1.0,1.740625
1.5,0.25,1.5,0.25,18,3,80,1,n7-1,1.0,1.740625
1.75,0.25,1.75,0.25,21,3,75,1,n8-1,1.0,1.740625
2.0,0.25,2.0,0.25,24,3,75,1,n9-1,2.0,2.104167
2.25,0.25,2.25,0.25,27,3,80,1,n10-1,2.0,2.104167
2.5,0.25,2.5,0.25,30,3,75,1,n11-1,2.0,2.104167
2.75,0.25,2.75,0.25,33,3,71,1,n12-1,2.0,2.104167
3.0,0.25,3.0,0.25,36,3,71,1,n17-1,3.0,2.444792
3.25,0.25,3.25,0.25,39,3,75,1,n18-1,3.0,2.444792
3.5,0.25,3.5,0.25,42,3,71,1,n19-1,3.0,2.444792
3.75,0.25,3.75,0.25,45,3,68,1,n20-1,3.0,2.444792
4.0,0.25,4.0,0.25,48,3,68,1,n21-1,4.0,2.768692
4.25,0.25,4.25,0.25,51,3,71,1,n22-1,4.0,2.768692
4.5,0.25,4.5,0.25,54,3,68,1,n23-1,4.0,2.768692
4.75,0.25,4.75,0.25,57,3,63,1,n24-1,4.0,2.768692
5.0,0.5,5.0,0.5,60,6,51,5,n31-1,5.0,3.21918
5.0,0.5,5.0,0.5,60,6,58,5,n32-1,5.0,3.21918
5.0,0.5,5.0,0.5,60,6,67,1,n25-1,5.0,3.21918
5.0,0.5,5.0,0.5,60,6,70,1,n26-1,5.0,3.21918
6.0,1.0,6.0,1.0,72,12,44,5,n47-1,6.0,3.835938
6.0,0.25,6.0,0.25,72,3,83,1,n35-1,6.0,3.835938
6.25,0.25,6.25,0.25,75,3,87,1,n36-1,6.0,3.835938
6.5,0.25,6.5,0.25,78,3,83,1,n37-1,6.0,3.835938
6.75,0.25,6.75,0.25,81,3,80,1,n38-1,6.0,3.835938
7.0,4.0,7.0,4.0,84,48,63,5,n50-1,7.0,4.289063
7.0,0.25,7.0,0.25,84,3,80,1,n39-1,7.0,4.289063
7.25,0.25,7.25,0.25,87,3,83,1,n40-1,7.0,4.289063
7.5,0.25,7.5,0.25,90,3,80,1,n41-1,7.0,4.289063
7.75,0.25,7.75,0.25,93,3,75,1,n42-1,7.0,4.289063
8.0,0.25,8.0,0.25,96,3,75,1,n43-1,8.0,4.642708
