onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5117506,1.5344536,74,48,0,0,n0,-10.0,-10.0
1.5758531,1.4703511,46,12,0,0,n1,1.543802,0.0
1.9845066,1.0616976,62,31,0,0,n2,1.543802,0.0
2.3010128,0.7451916,74,48,0,0,n3,1.543802,0.0
2.3397412,0.706463,58,32,0,0,n4,1.543802,0.0
2.3464186,0.69978565,53,33,0,0,n5,1.543802,0.0
2.6509054,0.39529875,74,52,0,0,n6,1.543802,0.0
2.674944,0.37126032,62,42,0,0,n7,1.543802,0.0
2.9901145,1.4623383,70,53,0,0,n8,1.543802,0.0
3.0421977,1.410255,50,29,0,0,n9,3.016157,1.0
3.3827424,1.0697105,65,16,0,0,n10,3.016157,1.0
3.7059257,0.746527,70,52,0,0,n11,3.016157,1.0
3.7419834,0.71046937,58,29,0,0,n12,3.016157,1.0
3.758009,0.69444376,53,5,0,0,n13,3.016157,1.0
4.0558186,0.39663422,65,41,0,0,n14,3.016157,1.0
4.404376,1.4262806,69,56,0,0,n15,3.016157,1.0
4.4083824,1.4222742,48,41,0,0,n16,4.406379,2.0
4.7609463,1.0697105,63,45,0,0,n17,4.406379,2.0
5.078788,0.7518689,69,55,0,0,n18,4.406379,2.0
5.1068325,0.7238241,53,40,0,0,n19,4.406379,2.0
5.110839,0.71981764,57,39,0,0,n20,4.406379,2.0
5.4406996,0.38995686,63,39,0,0,n21,4.406379,2.0
5.456725,0.37393126,69,59,0,0,n22,4.406379,2.0
5.6116395,0.21901688,69,62,0,0,n23,4.406379,2.0
5.8306565,1.4850413,75,62,0,0,n24,4.406379,2.0
5.8560305,1.4596673,41,28,0,0,n25,5.85603,3.0
6.2206135,1.0950844,60,41,0,0,n26,5.85603,3.0
6.538455,0.77724284,53,39,0,0,n27,5.85603,3.0
6.5478034,0.7678945,57,31,0,0,n28,5.85603,3.0
6.9003673,0.41533077,60,38,0,0,n29,5.85603,3.0
7.268956,1.4409708,74,49,0,0,n30,5.85603,3.0
7.3156977,1.3942294,46,31,0,0,n31,7.292327,4.0
7.649565,1.0603622,62,28,0,0,n32,7.292327,4.0
7.9527164,0.7572108,53,33,0,0,n33,7.292327,4.0
7.960729,0.74919796,74,60,0,0,n34,7.292327,4.0
7.968742,0.7411851,58,40,0,0,n35,7.292327,4.0
8.281241,0.42868546,62,33,0,0,n36,7.292327,4.0
8.291925,0.4180017,74,61,0,0,n37,7.292327,4.0
8.665856,1.450319,39,41,0,0,n38,7.292327,4.0
