xml_id	midi_id	track	channel	pitch	onset
n11-1	n9	1	0	48	2.2072916666666673
n10-1	n7	1	0	52	2.0406250000000004
n8-1	n1	1	0	55	0.9822916666666666
n9-1	n5	1	0	55	1.783333333333333
n14-1	n2	1	0	57	1.6677083333333331
n4-1	n8	1	0	60	2.164583333333334
n3-1	n6	1	0	64	2.0052083333333335
n1-1	n0	1	0	67	0.91875
n2-1	n4	1	0	67	1.7729166666666663
n7-1	n3	1	0	69	1.6677083333333331
n12-1	n11	1	0	55	2.4260416666666678
n13-1	n13	1	0	64	2.9166666666666696
n5-1	n10	1	0	67	2.377083333333334
n6-1	n12	1	0	76	2.905208333333336
n18-1	n15	1	0	64	3.1197916666666696
n15-1	n14	1	0	76	3.0906250000000033
n19-1	n17	1	0	60	4.604166666666671
n16-1	n16	1	0	72	4.565625000000004
n28-1	n19	1	0	65	6.239583333333328
n21-1	n18	1	0	67	5.677083333333333
n24-1	n22	1	0	55	6.6781249999999925
n23-1	n21	1	0	60	6.503124999999993
n22-1	n20	1	0	64	6.3156249999999945
n25-1	n23	1	0	60	6.843749999999993
n26-1	n24	1	0	64	7.017708333333324
n27-1	n25	1	0	67	7.172916666666658
n46-1	n26	1	0	43	7.3791666666666575
n47-1	n30	1	0	45	7.684374999999988
n48-1	n34	1	0	47	7.79895833333332
n30-1	n29	1	0	55	7.413541666666657
n33-1	n33	1	0	55	7.723958333333321
n34-1	n32	1	0	62	7.701041666666654
n31-1	n28	1	0	64	7.399999999999991
n35-1	n31	1	0	65	7.691666666666654
n32-1	n27	1	0	67	7.383333333333324
n50-1	n39	1	0	43	8.25520833333332
n49-1	n37	1	0	48	7.953124999999987
n36-1	n35	1	0	55	7.947916666666654
n39-1	n42	1	0	55	8.281249999999986
n40-1	n40	1	0	59	8.266666666666653
n37-1	n38	1	0	60	7.963541666666654
n41-1	n41	1	0	62	8.266666666666653
n38-1	n36	1	0	64	7.947916666666654
n51-1	n43	1	0	48	8.588541666666652
n42-1	n46	1	0	55	8.612499999999986
n43-1	n45	1	0	60	8.59895833333332
n44-1	n44	1	0	64	8.593749999999986
n71-1	n49	1	0	43	9.319791666666653
n72-1	n51	1	0	45	9.607291666666653
n73-1	n55	1	0	47	9.726041666666655
n53-1	n50	1	0	55	9.329166666666653
n56-1	n54	1	0	55	9.644791666666654
n57-1	n53	1	0	62	9.61770833333332
n54-1	n48	1	0	63	9.306249999999986
n58-1	n52	1	0	65	9.610416666666653
n55-1	n47	1	0	67	9.283333333333319
n75-1	n60	1	0	43	10.145833333333323
n74-1	n56	1	0	48	9.855208333333321
n59-1	n58	1	0	55	9.864583333333321
n62-1	n61	1	0	55	10.15937499999999
n63-1	n62	1	0	59	10.15937499999999
n60-1	n57	1	0	60	9.859374999999988
n64-1	n63	1	0	62	10.15937499999999
n61-1	n59	1	0	63	9.864583333333321
n77-1	n70	1	0	46	10.720833333333324
n76-1	n65	1	0	48	10.437499999999991
n65-1	n66	1	0	55	10.437499999999991
n68-1	n71	1	0	58	10.720833333333324
n66-1	n67	1	0	60	10.442708333333325
n69-1	n69	1	0	62	10.703124999999991
n67-1	n64	1	0	63	10.433333333333325
n70-1	n68	1	0	65	10.698958333333325
n96-1	n73	1	0	46	10.998958333333325
n97-1	n77	1	0	51	11.287499999999994
n78-1	n74	1	0	58	11.00416666666666
n81-1	n78	1	0	58	11.288541666666662
n79-1	n75	1	0	62	11.008333333333326
n82-1	n79	1	0	63	11.288541666666662
n80-1	n72	1	0	65	10.978124999999991
n83-1	n76	1	0	67	11.271874999999994
n99-1	n85	1	0	50	11.819791666666665
n98-1	n81	1	0	51	11.556249999999997
n84-1	n82	1	0	58	11.556249999999997
n87-1	n86	1	0	62	11.827083333333333
n85-1	n83	1	0	63	11.56145833333333
n88-1	n87	1	0	66	11.827083333333333
n86-1	n80	1	0	67	11.547916666666664
n89-1	n84	1	0	69	11.813541666666666
n100-1	n89	1	0	50	12.090625
n101-1	n95	1	0	55	12.370833333333332
n90-1	n91	1	0	62	12.103124999999999
n93-1	n94	1	0	62	12.366666666666665
n91-1	n90	1	0	66	12.090625
n94-1	n93	1	0	67	12.362499999999999
n92-1	n88	1	0	69	12.087499999999999
n95-1	n92	1	0	70	12.353124999999999
n115-1	n105	1	0	43	12.987499999999999
n116-1	n101	1	0	53	12.970833333333333
n114-1	n98	1	0	55	12.657291666666666
n117-1	n104	1	0	55	12.972916666666666
n102-1	n97	1	0	62	12.649999999999999
n105-1	n102	1	0	62	12.970833333333333
n103-1	n99	1	0	67	12.657291666666666
n106-1	n103	1	0	67	12.970833333333333
n104-1	n96	1	0	70	12.640624999999998
n107-1	n100	1	0	71	12.959375
n118-1	n109	1	0	43	13.483333333333338
n119-1	n110	1	0	53	13.494791666666671
n120-1	n111	1	0	55	13.501041666666671
n108-1	n108	1	0	62	13.473958333333337
n109-1	n107	1	0	67	13.471875000000004
n110-1	n106	1	0	71	13.445833333333336
n121-1	n115	1	0	43	15.17708333333335
n122-1	n114	1	0	50	15.169791666666683
n123-1	n117	1	0	55	15.19895833333335
n111-1	n116	1	0	65	15.181250000000016
n112-1	n113	1	0	71	15.16770833333335
n113-1	n112	1	0	77	15.144791666666682
n127-1	n120	1	0	48	16.03125000000002
n128-1	n118	1	0	55	16.011458333333355
n124-1	n121	1	0	64	16.03125000000002
n125-1	n122	1	0	72	16.034375000000022
n126-1	n119	1	0	76	16.011458333333355
n136-1	n124	1	0	55	19.776041666666682
n142-1	n126	1	0	57	20.405208333333345
n129-1	n123	1	0	67	19.732291666666683
n135-1	n125	1	0	69	20.373958333333345
n139-1	n132	1	0	48	20.88333333333334
n138-1	n130	1	0	52	20.71979166666668
n137-1	n128	1	0	55	20.511458333333348
n132-1	n131	1	0	60	20.845833333333342
n131-1	n129	1	0	64	20.680208333333347
n130-1	n127	1	0	67	20.48541666666668
n140-1	n134	1	0	55	21.081250000000004
n141-1	n135	1	0	64	21.542708333333334
n133-1	n133	1	0	67	21.050000000000004
n134-1	n136	1	0	76	21.542708333333334
n146-1	n138	1	0	64	21.807291666666668
n143-1	n137	1	0	76	21.757291666666667
n147-1	n139	1	0	60	23.116666666666678
n144-1	n140	1	0	72	23.126041666666676
n156-1	n142	1	0	65	24.342708333333327
n149-1	n141	1	0	67	23.844791666666666
n152-1	n145	1	0	55	24.753124999999983
n151-1	n144	1	0	60	24.596874999999986
n150-1	n143	1	0	64	24.41666666666666
n153-1	n146	1	0	60	24.924999999999986
n154-1	n147	1	0	64	25.10520833333332
n155-1	n148	1	0	67	25.262499999999985
n174-1	n149	1	0	43	25.455208333333324
n175-1	n153	1	0	45	25.75416666666666
n176-1	n157	1	0	47	25.872916666666658
n158-1	n152	1	0	55	25.486458333333324
n161-1	n156	1	0	55	25.794791666666658
n162-1	n155	1	0	62	25.78437499999999
n159-1	n151	1	0	64	25.482291666666658
n163-1	n154	1	0	65	25.770833333333325
n160-1	n150	1	0	67	25.463541666666657
n178-1	n162	1	0	43	26.32916666666666
n177-1	n158	1	0	48	25.98854166666666
n164-1	n161	1	0	55	26.034374999999994
n167-1	n165	1	0	55	26.36354166666666
n168-1	n164	1	0	59	26.340624999999992
n165-1	n160	1	0	60	26.02291666666666
n169-1	n163	1	0	62	26.32916666666666
n166-1	n159	1	0	64	26.005208333333325
n179-1	n167	1	0	48	26.694791666666656
n170-1	n169	1	0	55	26.71249999999999
n171-1	n168	1	0	60	26.694791666666656
n172-1	n166	1	0	64	26.69062499999999
n199-1	n171	1	0	43	27.385416666666657
n200-1	n174	1	0	45	27.696874999999988
n201-1	n178	1	0	47	27.80624999999998
n181-1	n172	1	0	55	27.385416666666657
n184-1	n176	1	0	55	27.710416666666653
n185-1	n177	1	0	62	27.715624999999985
n182-1	n173	1	0	63	27.389583333333324
n186-1	n175	1	0	65	27.701041666666654
n183-1	n170	1	0	67	27.34999999999999
n203-1	n183	1	0	43	28.238541666666652
n202-1	n180	1	0	48	27.94479166666665
n187-1	n181	1	0	55	27.952083333333317
n190-1	n186	1	0	55	28.25729166666665
n191-1	n184	1	0	59	28.243749999999984
n188-1	n182	1	0	60	27.958333333333318
n192-1	n185	1	0	62	28.243749999999984
n189-1	n179	1	0	63	27.939583333333317
n205-1	n192	1	0	46	28.802083333333314
n204-1	n188	1	0	48	28.529166666666647
n193-1	n190	1	0	55	28.545833333333313
n196-1	n194	1	0	58	28.807291666666647
n194-1	n189	1	0	60	28.532291666666648
n197-1	n193	1	0	62	28.802083333333314
n195-1	n187	1	0	63	28.52499999999998
n198-1	n191	1	0	65	28.781249999999982
n224-1	n195	1	0	46	29.088541666666647
n225-1	n201	1	0	51	29.414583333333308
n206-1	n196	1	0	58	29.088541666666647
n209-1	n202	1	0	58	29.414583333333308
n207-1	n198	1	0	62	29.12812499999998
n210-1	n200	1	0	63	29.40520833333331
n208-1	n197	1	0	65	29.088541666666647
n211-1	n199	1	0	67	29.393749999999976
n227-1	n209	1	0	50	29.933333333333294
n226-1	n206	1	0	51	29.683333333333298
n212-1	n205	1	0	58	29.678124999999966
n215-1	n210	1	0	62	29.933333333333294
n213-1	n204	1	0	63	29.669791666666633
n216-1	n208	1	0	66	29.928124999999962
n214-1	n203	1	0	67	29.665624999999967
n217-1	n207	1	0	69	29.91979166666663
n228-1	n213	1	0	50	30.207291666666627
n229-1	n218	1	0	55	30.502083333333292
n218-1	n214	1	0	62	30.207291666666627
n221-1	n217	1	0	62	30.49687499999996
n219-1	n212	1	0	66	30.20312499999996
n222-1	n216	1	0	67	30.494791666666625
n220-1	n211	1	0	69	30.185416666666626
n223-1	n215	1	0	70	30.48333333333329
n243-1	n226	1	0	43	31.14270833333328
n244-1	n227	1	0	53	31.166666666666615
n242-1	n222	1	0	55	30.80729166666662
n245-1	n228	1	0	55	31.166666666666615
n230-1	n221	1	0	62	30.80208333333329
n233-1	n225	1	0	62	31.135416666666615
n231-1	n220	1	0	67	30.78958333333329
n234-1	n224	1	0	67	31.130208333333282
n232-1	n219	1	0	70	30.782291666666623
n235-1	n223	1	0	71	31.126041666666616
n246-1	n232	1	0	43	31.691666666666606
n247-1	n234	1	0	53	31.706249999999937
n248-1	n233	1	0	55	31.701041666666605
n236-1	n231	1	0	62	31.676041666666606
n237-1	n230	1	0	67	31.670833333333274
n238-1	n229	1	0	71	31.639583333333274
n249-1	n239	1	0	43	33.36666666666664
n250-1	n240	1	0	50	33.373958333333306
n251-1	n238	1	0	55	33.35520833333331
n239-1	n236	1	0	65	33.338541666666636
n240-1	n237	1	0	71	33.338541666666636
n241-1	n235	1	0	77	33.3145833333333
n255-1	n243	1	0	48	34.18124999999998
n256-1	n244	1	0	55	34.18541666666665
n252-1	n245	1	0	64	34.19479166666665
n253-1	n242	1	0	72	34.17187499999998
n254-1	n241	1	0	76	34.15416666666665
n257-1	n246	1	0	76	37.04062500000002
n264-1	n247	1	0	77	37.653125000000024
n260-1	n250	1	0	69	38.093750000000014
n259-1	n249	1	0	72	37.95000000000002
n265-1	n251	1	0	74	38.21145833333335
n258-1	n248	1	0	76	37.75208333333335
n263-1	n254	1	0	64	38.57708333333335
n262-1	n253	1	0	69	38.426041666666684
n261-1	n252	1	0	72	38.271875000000016
n281-1	n257	1	0	52	38.79375000000002
n286-1	n261	1	0	53	39.20937500000004
n277-1	n256	1	0	64	38.78854166666668
n278-1	n264	1	0	64	39.33541666666671
n279-1	deletion
n269-1	n260	1	0	68	39.087500000000034
n267-1	n258	1	0	69	38.80416666666668
n270-1	n259	1	0	71	39.07500000000003
n268-1	n255	1	0	72	38.77083333333335
n284-1	n269	1	0	40	39.703125000000036
n283-1	n266	1	0	47	39.50937500000004
n282-1	n265	1	0	52	39.33750000000004
n273-1	n268	1	0	66	39.60000000000004
n271-1	n262	1	0	68	39.32395833333337
n274-1	n267	1	0	69	39.58854166666671
n272-1	n263	1	0	71	39.32395833333337
n285-1	n273	1	0	52	39.989583333333364
n280-1	n272	1	0	64	39.960416666666696
n275-1	n270	1	0	68	39.9416666666667
n276-1	n271	1	0	71	39.9416666666667
n300-1	n276	1	0	52	40.64062500000002
n306-1	n279	1	0	53	41.06458333333336
n293-1	n277	1	0	64	40.65208333333335
n294-1	n275	1	0	67	40.63229166666669
n288-1	n278	1	0	71	40.97500000000003
n287-1	n274	1	0	72	40.60937500000002
n301-1	n280	1	0	52	41.17812500000003
n302-1	n284	1	0	55	41.3666666666667
n303-1	n286	1	0	60	41.49895833333337
n295-1	n281	1	0	64	41.183333333333366
n297-1	deletion
n296-1	n283	1	0	67	41.2010416666667
n298-1	deletion
n289-1	n282	1	0	71	41.183333333333366
n290-1	n285	1	0	72	41.41770833333337
n304-1	n290	1	0	62	41.73750000000003
n305-1	n289	1	0	65	41.7229166666667
n299-1	n288	1	0	67	41.7135416666667
n291-1	n287	1	0	71	41.683333333333366
n292-1	n291	1	0	77	41.99166666666671
n313-1	n295	1	0	60	42.45416666666671
n314-1	n294	1	0	64	42.43229166666671
n312-1	n296	1	0	74	42.91250000000008
n307-1	n292	1	0	76	42.38333333333337
n315-1	n297	1	0	62	42.97708333333342
n317-1	n301	1	0	62	43.25833333333341
n316-1	n298	1	0	66	42.99270833333342
n318-1	n302	1	0	66	43.28333333333341
n310-1	n303	1	0	69	43.36666666666674
n309-1	n300	1	0	71	43.181250000000084
n308-1	n299	1	0	72	42.997916666666754
n319-1	n307	1	0	55	43.7052083333334
n320-1	n306	1	0	62	43.69375000000007
n321-1	n305	1	0	67	43.670833333333405
n311-1	n304	1	0	71	43.664583333333404
