onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.5,0.0,1.5,0,36,50,5,n16-1,0.0,0.532585
0.0,1.5,0.0,1.5,0,36,54,5,n17-1,0.0,0.532585
0.0,1.0,0.0,1.0,0,24,59,5,n18-1,0.0,0.532585
0.0,1.5,0.0,1.5,0,36,62,1,n1-1,0.0,0.532585
0.0,1.5,0.0,1.5,0,36,66,1,n2-1,0.0,0.532585
0.0,1.0,0.0,1.0,0,24,71,1,n3-1,0.0,0.532585
1.0,0.5,1.0,0.5,24,12,57,5,n21-1,1.0,2.2061944
1.0,0.5,1.0,0.5,24,12,69,1,n6-1,1.0,2.2061944
1.5,0.5,1.5,0.5,36,12,50,5,n22-1,1.0,2.2061944
1.5,0.5,1.5,0.5,36,12,54,5,n23-1,1.0,2.2061944
1.5,0.5,1.5,0.5,36,12,57,5,n24-1,1.0,2.2061944
1.5,0.5,1.5,0.5,36,12,62,1,n7-1,1.0,2.2061944
1.5,0.5,1.5,0.5,36,12,66,1,n8-1,1.0,2.2061944
1.5,0.5,1.5,0.5,36,12,69,1,n9-1,1.0,2.2061944
2.0,0.5,2.0,0.5,48,12,50,5,n25-1,2.0,3.38568
2.0,0.5,2.0,0.5,48,12,54,5,n26-1,2.0,3.38568
2.0,0.5,2.0,0.5,48,12,57,5,n27-1,2.0,3.38568
2.0,0.5,2.0,0.5,48,12,62,1,n10-1,2.0,3.38568
2.0,0.5,2.0,0.5,48,12,66,1,n11-1,2.0,3.38568
2.0,0.5,2.0,0.5,48,12,69,1,n12-1,2.0,3.38568
2.5,0.5,2.5,0.5,60,12,50,5,n28-1,2.0,3.38568
2.5,0.5,2.5,0.5,60,12,54,5,n29-1,2.0,3.38568
2.5,0.5,2.5,0.5,60,12,57,5,n30-1,2.0,3.38568
2.5,0.5,2.5,0.5,60,12,62,1,n13-1,2.0,3.38568
2.5,0.5,2.5,0.5,60,12,66,1,n14-1,2.0,3.38568
2.5,0.5,2.5,0.5,60,12,69,1,n15-1,2.0,3.38568
3.0,1.5,3.0,1.5,72,36,50,5,n36-1,3.0,4.6153803
3.0,1.5,3.0,1.5,72,36,54,5,n37-1,3.0,4.6153803
3.0,1.5,3.0,1.5,72,36,62,1,n31-1,3.0,4.6153803
3.0,1.5,3.0,1.5,72,36,66,1,n32-1,3.0,4.6153803
4.5,0.5,4.5,0.5,108,12,50,5,n38-1,4.0,5.8028793
4.5,0.5,4.5,0.5,108,12,54,5,n39-1,4.0,5.8028793
4.5,0.5,4.5,0.5,108,12,62,1,n33-1,4.0,5.8028793
5.0,0.5,5.0,0.5,120,12,50,5,n40-1,5.0,6.990378
5.0,0.5,5.0,0.5,120,12,54,5,n41-1,5.0,6.990378
5.0,0.5,5.0,0.5,120,12,66,1,n34-1,5.0,6.990378
5.5,0.5,5.5,0.5,132,12,50,5,n42-1,5.0,6.990378
5.5,0.5,5.5,0.5,132,12,54,5,n43-1,5.0,6.990378
5.5,0.5,5.5,0.5,132,12,62,1,n35-1,5.0,6.990378
6.0,1.5,6.0,1.5,144,36,49,5,n59-1,6.0,8.199778
6.0,1.5,6.0,1.5,144,36,52,5,n60-1,6.0,8.199778
6.0,1.5,6.0,1.5,144,36,55,5,n61-1,6.0,8.199778
6.0,3.5,6.0,3.5,144,84,59,5,n62-1,6.0,8.199778
6.0,1.5,6.0,1.5,144,36,64,1,n44-1,6.0,8.199778
6.0,1.5,6.0,1.5,144,36,67,1,n45-1,6.0,8.199778
6.0,2.125,6.0,2.125,144,51,71,1,n46-1,6.0,8.199778
