onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.3835492,0.5651715,83,55,0,0,n0,2.383549,-3.0
2.4925237,0.45619702,81,58,0,0,n1,2.383549,-3.0
2.586541,0.36217985,80,62,0,0,n2,2.383549,-3.0
2.682695,0.2660259,78,62,0,0,n3,2.383549,-3.0
2.7703018,0.17841898,76,60,0,0,n4,2.383549,-3.0
2.8643188,0.08440179,74,63,0,0,n5,2.383549,-3.0
2.9711566,0.052350476,73,49,0,0,n6,2.383549,-3.0
2.972225,2.4529939,57,41,0,0,n7,2.972225,0.0
2.989319,0.6623938,69,23,0,0,n8,2.972225,0.0
3.1912425,0.46047053,73,62,0,0,n9,2.972225,0.0
3.1944475,0.45726538,64,45,0,0,n10,2.972225,0.0
3.4134648,0.2382481,69,57,0,0,n11,2.972225,0.0
3.4188066,0.2329062,73,60,0,0,n12,2.972225,0.0
3.6570547,0.22863269,74,63,0,0,n13,2.972225,0.0
3.6623967,0.19764976,68,43,0,0,n14,3.659726,3.0
3.881414,0.44444486,64,40,0,0,n15,3.659726,3.0
3.889961,0.43589786,78,58,0,0,n16,3.659726,3.0
4.117525,0.20833354,68,35,0,0,n17,3.659726,3.0
4.221158,0.10470095,76,47,0,0,n18,3.659726,3.0
4.346158,1.0790609,73,40,0,0,n19,3.659726,3.0
4.354705,0.2425216,69,19,0,0,n20,4.350432,6.0
4.5662436,0.8589752,64,31,0,0,n21,4.350432,6.0
4.81197,0.61324847,69,29,0,0,n22,4.350432,6.0
5.0587654,0.36645335,83,59,0,0,n23,5.058765,9.0
5.148509,0.27670968,81,64,0,0,n24,5.058765,9.0
5.2435946,0.1816241,80,66,0,0,n25,5.058765,9.0
5.3258595,0.099359065,78,69,0,0,n26,5.058765,9.0
5.4241505,0.08440179,76,65,0,0,n27,5.058765,9.0
5.526715,0.08119666,74,64,0,0,n28,5.058765,9.0
5.6250052,0.07051289,73,61,0,0,n29,5.058765,9.0
5.6356893,2.0320532,57,37,0,0,n30,5.635689,12.0
5.652783,0.6709408,69,30,0,0,n31,5.635689,12.0
5.8547063,0.46901754,73,65,0,0,n32,5.635689,12.0
5.899578,0.4241457,64,34,0,0,n33,5.635689,12.0
6.0812025,0.2425216,73,69,0,0,n34,5.635689,12.0
6.1079116,0.21581218,69,46,0,0,n35,5.635689,12.0
6.316245,0.16987196,68,45,0,0,n36,5.635689,12.0
6.3173137,0.25106862,71,57,0,0,n37,6.316779,15.0
6.555562,0.43162435,64,35,0,0,n38,6.316779,15.0
6.5715876,0.4155987,74,58,0,0,n39,6.316779,15.0
6.7927413,0.19444463,62,45,0,0,n40,6.316779,15.0
6.907058,0.08012828,73,54,0,0,n41,6.316779,15.0
6.9882545,0.2702994,61,37,0,0,n42,6.316779,15.0
7.00428,0.66346216,69,52,0,0,n43,6.996268,18.0
7.2200923,0.44765,64,42,0,0,n44,6.996268,18.0
7.4497933,0.22970107,61,39,0,0,n45,6.996268,18.0
7.686973,0.23931646,66,47,0,0,n46,6.996268,18.0
7.7104774,1.3162405,57,30,0,0,n47,7.710477,21.0
7.7158194,0.6474365,62,34,0,0,n48,7.710477,21.0
7.9284263,0.43482947,69,51,0,0,n49,7.710477,21.0
7.9455204,0.41773543,59,36,0,0,n50,7.710477,21.0
8.148512,0.21794893,62,42,0,0,n51,7.710477,21.0
8.258554,0.10470095,68,48,0,0,n52,7.710477,21.0
8.354709,0.67200917,69,52,0,0,n53,7.710477,21.0
8.357914,0.20299165,61,40,0,0,n54,8.356312,24.0
8.585478,0.44123974,64,43,0,0,n55,8.356312,24.0
8.821589,0.21047029,61,38,0,0,n56,8.356312,24.0
9.041676,0.19658138,66,53,0,0,n57,8.356312,24.0
9.047017,1.617523,57,36,0,0,n58,9.047017,27.0
9.061975,0.64636815,62,35,0,0,n59,9.047017,27.0
9.26283,0.44551325,69,52,0,0,n60,9.047017,27.0
9.286334,0.42200896,59,41,0,0,n61,9.047017,27.0
9.47971,0.22863269,62,45,0,0,n62,9.047017,27.0
9.573727,0.13461551,68,57,0,0,n63,9.047017,27.0
9.698728,0.17200871,61,49,0,0,n64,9.047017,27.0
9.712616,0.06196587,69,57,0,0,n65,9.705671,30.0
9.805565,0.07158127,71,58,0,0,n66,9.705671,30.0
9.902787,0.5886758,73,57,0,0,n67,9.705671,30.0
