onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
14.797023,1.3023517,69,41,0,0,n0,-10.0,-10.0
14.803432,1.2959414,57,24,0,0,n1,-10.0,-10.0
15.130356,0.96901804,71,59,0,0,n2,-10.0,-10.0
15.170955,0.9284197,59,28,0,0,n3,15.150656,-1.0
15.4711685,0.6282057,73,66,0,0,n4,15.150656,-1.0
15.483989,0.6153852,61,31,0,0,n5,15.150656,-1.0
15.8878355,2.269233,74,55,0,0,n6,15.150656,-1.0
15.922024,2.235045,62,34,0,0,n7,15.150656,-1.0
15.95087,2.2061987,50,30,0,0,n8,15.936447,0.0
15.978647,2.1784208,54,25,0,0,n9,15.936447,0.0
17.617538,0.53953046,73,37,0,0,n10,17.327475,2.0
17.7607,0.3963679,71,47,0,0,n11,17.327475,2.0
18.004292,2.2906005,69,47,0,0,n12,17.327475,2.0
18.011768,2.2831218,57,34,0,0,n13,17.327475,2.0
18.034204,2.260686,52,21,0,0,n14,18.022987,3.0
18.061983,2.232908,49,30,0,0,n15,18.022987,3.0
19.028864,1.2660269,69,41,0,0,n16,18.702208,4.0
19.381428,0.9134624,71,50,0,0,n17,18.702208,4.0
19.679506,0.6153852,67,52,0,0,n18,19.38143,5.0
19.931643,0.6420946,50,32,0,0,n19,19.38143,5.0
19.977583,0.43482947,54,31,0,0,n20,19.977583,6.0
20.022455,0.27243614,66,47,0,0,n21,19.977583,6.0
20.10472,0.19017112,67,51,0,0,n22,19.977583,6.0
20.207285,0.08760692,66,41,0,0,n23,19.977583,6.0
20.240404,0.054487232,67,64,0,0,n24,19.977583,6.0
20.305574,0.045940213,66,61,0,0,n25,19.977583,6.0
20.386772,0.0512821,64,60,0,0,n26,19.977583,6.0
20.470104,0.039529953,66,65,0,0,n27,19.977583,6.0
20.495747,0.15064117,55,42,0,0,n28,19.977583,6.0
20.521387,0.10363258,52,35,0,0,n29,19.977583,6.0
20.53848,0.059829116,67,61,0,0,n30,19.977583,6.0
20.64425,0.6591887,69,51,0,0,n31,19.977583,6.0
20.662413,0.6100433,54,38,0,0,n32,20.662413,7.0
20.675234,0.5972228,57,37,0,0,n33,20.662413,7.0
21.225447,0.8119666,59,42,0,0,n34,20.662413,7.0
21.236132,0.83333415,71,57,0,0,n35,20.662413,7.0
21.242542,0.7948725,52,29,0,0,n36,21.239336,8.0
