onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.51415545,0.5689097,69,48,0,0,n0,-10.0,-10.0
0.5381939,0.5448713,57,29,0,0,n1,-10.0,-10.0
0.91613156,1.4449772,71,59,0,0,n2,-10.0,-10.0
0.9521892,1.4089196,59,34,0,0,n3,0.9341605,-1.0
1.342146,1.0189626,73,66,0,0,n4,0.9341605,-1.0
1.3488234,1.0122854,61,33,0,0,n5,0.9341605,-1.0
1.9671454,2.8191745,74,64,0,0,n6,0.9341605,-1.0
1.9711518,2.8151681,50,39,0,0,n7,0.9341605,-1.0
1.9751583,2.8111618,62,36,0,0,n8,1.973155,0.0
2.0032032,2.7844524,54,34,0,0,n9,1.973155,0.0
3.8968978,0.8894222,73,45,0,0,n10,3.628691,2.0
4.097218,0.6891019,71,49,0,0,n11,3.628691,2.0
4.419066,2.624196,69,51,0,0,n12,3.628691,2.0
4.4511175,2.6014931,57,34,0,0,n13,3.628691,2.0
4.461801,2.5814612,52,27,0,0,n14,4.456459,3.0
4.4658074,2.5774548,49,24,0,0,n15,4.456459,3.0
5.689097,1.3541653,69,45,0,0,n16,5.258408,4.0
6.060357,0.982905,71,50,0,0,n17,6.060357,5.0
6.41025,0.6530442,67,59,0,0,n18,6.060357,5.0
6.8162327,0.92013794,50,27,0,0,n19,6.060357,5.0
6.826916,0.9094542,54,25,0,0,n20,6.8215747,6.0
6.891019,0.8453517,66,50,0,0,n21,6.8215747,6.0
7.4038386,0.33253172,67,55,0,0,n22,6.8215747,6.0
7.40651,0.32986078,52,36,0,0,n23,6.8215747,6.0
7.594811,0.8453517,69,54,0,0,n24,6.8215747,6.0
7.6161785,0.8239842,57,39,0,0,n25,7.616178,7.0
7.633539,0.8066231,54,40,0,0,n26,7.616178,7.0
8.3239765,1.0750524,55,31,0,0,n27,7.616178,7.0
8.325313,1.0737169,71,59,0,0,n28,7.616178,7.0
8.341338,1.0576912,52,40,0,0,n29,8.333325,8.0
8.352021,1.0470074,59,27,0,0,n30,8.333325,8.0
8.695237,0.70379204,61,36,0,0,n31,8.333325,8.0
8.699244,0.69978565,73,73,0,0,n32,8.333325,8.0
9.163986,0.9188025,61,27,0,0,n33,8.333325,8.0
9.169329,0.9815695,73,69,0,0,n34,8.333325,8.0
9.181348,0.93749905,50,17,0,0,n35,9.181348,9.0
9.184018,0.89877045,55,34,0,0,n36,9.181348,9.0
9.204051,0.87873846,52,30,0,0,n37,9.181348,9.0
9.9853,0.92013794,62,43,0,0,n38,9.181348,9.0
9.990642,0.9147961,74,59,0,0,n39,9.990642,10.0
9.997319,0.9081187,54,45,0,0,n40,9.990642,10.0
10.45672,0.4874461,74,66,0,0,n41,9.990642,10.0
10.500791,0.44738203,62,43,0,0,n42,9.990642,10.0
10.837329,1.2259603,66,46,0,0,n43,9.990642,10.0
10.841335,1.2219539,78,78,0,0,n44,10.839332,11.0
11.209925,0.8533645,81,79,0,0,n45,10.839332,11.0
11.215266,0.84802264,69,44,0,0,n46,10.839332,11.0
11.788182,2.6308734,78,69,0,0,n47,10.839332,11.0
11.8015375,2.6175187,66,37,0,0,n48,10.839332,11.0
11.804209,2.614848,55,31,0,0,n49,11.802873,12.0
11.816228,2.6028285,57,32,0,0,n50,11.802873,12.0
12.996782,1.4222742,76,50,0,0,n51,12.584789,13.0
13.022156,1.3969003,64,34,0,0,n52,12.584789,13.0
13.356023,1.0630331,71,58,0,0,n53,12.584789,13.0
13.377391,1.0416657,59,36,0,0,n54,13.366707,14.0
13.691226,0.7358433,73,68,0,0,n55,13.366707,14.0
13.709922,0.72115314,61,40,0,0,n56,13.366707,14.0
14.157304,1.8068892,76,55,0,0,n57,13.366707,14.0
14.181343,1.7828507,54,34,0,0,n58,13.366707,14.0
14.18802,1.7761735,57,30,0,0,n59,14.184682,15.0
14.18802,1.7761735,64,32,0,0,n60,14.184682,15.0
15.247046,0.7171467,74,53,0,0,n61,14.96493,16.0
15.253724,0.71046937,62,38,0,0,n62,14.96493,16.0
15.74117,0.77590734,50,37,0,0,n63,14.96493,16.0
15.745176,0.77190095,66,51,0,0,n64,14.96493,16.0
15.789247,0.72783047,54,40,0,0,n65,15.745177,17.0
16.248648,0.26842922,52,35,0,0,n66,15.745177,17.0
16.255325,0.26308733,67,55,0,0,n67,15.745177,17.0
16.438284,0.23370703,69,59,0,0,n68,15.745177,17.0
16.471672,0.24439079,54,43,0,0,n69,15.745177,17.0
16.475677,0.40731797,45,45,0,0,n70,16.475677,18.0
16.477013,0.23237157,57,37,0,0,n71,16.475677,18.0
17.178135,0.45806578,67,47,0,0,n72,16.475677,18.0
17.190153,0.44604656,55,32,0,0,n73,16.475677,18.0
17.19416,0.44204015,45,31,0,0,n74,17.192158,19.0
17.212856,0.4233436,52,27,0,0,n75,17.192158,19.0
17.955378,0.5221683,64,48,0,0,n76,17.192158,19.0
17.987429,0.49011704,45,34,0,0,n77,17.987429,20.0
17.987429,0.49011704,49,34,0,0,n78,17.987429,20.0
17.990099,0.4874461,52,36,0,0,n79,17.987429,20.0
18.954308,0.95085377,62,39,0,0,n80,17.987429,20.0
18.975676,0.9294863,38,31,0,0,n81,17.987429,20.0
19.001049,0.90411234,54,36,0,0,n82,18.988361,21.0
19.007727,0.897435,50,25,0,0,n83,18.988361,21.0
20.821293,0.5221683,66,45,0,0,n84,20.090124,22.0
20.823965,0.49679437,54,30,0,0,n85,20.090124,22.0
21.183205,1.3555008,67,64,0,0,n86,20.090124,22.0
21.200567,1.3381397,55,33,0,0,n87,21.191885,23.0
21.537104,1.0016016,57,49,0,0,n88,21.191885,23.0
21.541111,0.99759513,69,71,0,0,n89,21.191885,23.0
22.131388,2.8325293,71,66,0,0,n90,21.191885,23.0
22.155426,2.8084908,43,35,0,0,n91,21.191885,23.0
22.167446,2.7964716,52,35,0,0,n92,22.167446,24.0
22.170116,2.7938006,59,40,0,0,n93,22.167446,24.0
22.171452,2.7924652,50,41,0,0,n94,22.167446,24.0
23.226473,1.7374449,64,60,0,0,n95,22.873909,25.0
23.255854,1.7080646,52,41,0,0,n96,22.873909,25.0
23.580372,1.3835456,64,70,0,0,n97,23.580372,26.0
23.59239,1.3715264,52,47,0,0,n98,23.580372,26.0
24.52989,2.7710977,44,42,0,0,n99,23.580372,26.0
24.531225,2.7697623,74,81,0,0,n100,23.580372,26.0
24.551258,2.74973,52,46,0,0,n101,24.54124,27.0
24.551258,2.74973,62,61,0,0,n102,24.54124,27.0
25.618298,1.6826906,64,68,0,0,n103,25.271744,28.0
25.642336,1.6586522,52,41,0,0,n104,25.271744,28.0
26.00024,1.3007466,64,74,0,0,n105,25.271744,28.0
26.004248,1.2967402,52,37,0,0,n106,26.002245,29.0
26.899012,1.6973808,45,38,0,0,n107,26.002245,29.0
26.911032,1.6853615,55,34,0,0,n108,26.002245,29.0
26.963114,1.6332783,74,74,0,0,n109,26.937073,30.0
26.99116,1.6052334,64,47,0,0,n110,26.937073,30.0
27.743029,0.8533645,73,68,0,0,n111,27.743029,31.0
28.167707,0.42868546,54,40,0,0,n112,27.743029,31.0
28.186403,0.44070467,74,75,0,0,n113,27.743029,31.0
28.207771,0.38862142,66,58,0,0,n114,27.743029,31.0
28.524277,0.42200813,76,74,0,0,n115,27.743029,31.0
28.534962,0.90411234,52,42,0,0,n116,28.534962,32.0
28.552322,0.3926278,67,64,0,0,n117,28.534962,32.0
28.87951,0.55956143,57,43,0,0,n118,28.534962,32.0
28.882183,0.5568905,73,79,0,0,n119,28.534962,32.0
28.91557,0.52617466,64,56,0,0,n120,28.534962,32.0
29.264126,1.6212591,50,39,0,0,n121,28.534962,32.0
29.264126,1.6212591,74,78,0,0,n122,28.534962,32.0
29.266798,1.6185881,57,27,0,0,n123,29.265463,33.0
29.281488,1.6038979,66,64,0,0,n124,29.265463,33.0
30.046711,0.83867437,78,73,0,0,n125,30.046711,34.0
30.948153,1.1151164,69,42,0,0,n126,30.046711,34.0
30.95216,1.11111,57,29,0,0,n127,30.046711,34.0
30.976198,1.0870715,50,28,0,0,n128,30.964178,35.0
30.980204,1.0830652,66,41,0,0,n129,30.964178,35.0
31.728067,1.0269755,69,43,0,0,n130,30.964178,35.0
31.745428,1.5010669,49,34,0,0,n131,30.964178,35.0
31.749434,1.005608,66,38,0,0,n132,31.74743,36.0
31.769466,0.99492425,57,19,0,0,n133,31.74743,36.0
32.419838,0.36858937,67,50,0,0,n134,31.74743,36.0
32.467915,0.69310826,64,33,0,0,n135,32.44388,37.0
32.741688,0.52617466,69,47,0,0,n136,32.44388,37.0
32.753708,0.4313564,66,45,0,0,n137,32.44388,37.0
33.08357,0.86939013,71,53,0,0,n138,32.44388,37.0
33.110275,0.8239842,45,36,0,0,n139,32.44388,37.0
33.11295,0.14556609,67,49,0,0,n140,33.111614,38.0
33.1263,0.18295921,57,32,0,0,n141,33.111614,38.0
33.42411,0.43936923,67,57,0,0,n142,33.111614,38.0
33.44281,0.42067266,64,48,0,0,n143,33.111614,38.0
33.744625,2.495991,50,32,0,0,n144,33.111614,38.0
33.76332,0.2777775,57,30,0,0,n145,33.111614,38.0
33.769997,0.9241444,69,45,0,0,n146,33.76666,39.0
33.795372,0.92681533,67,37,0,0,n147,33.76666,39.0
34.0411,2.199517,57,9,0,0,n148,33.76666,39.0
34.52721,1.7134064,74,48,0,0,n149,33.76666,39.0
34.54724,1.6933744,66,40,0,0,n150,34.537224,40.0
35.197613,1.043001,69,55,0,0,n151,34.537224,40.0
35.204292,1.0363238,54,34,0,0,n152,35.200954,41.0
35.511448,0.7291659,71,68,0,0,n153,35.200954,41.0
35.519463,0.72115314,55,45,0,0,n154,35.200954,41.0
35.87737,1.4823703,55,32,0,0,n155,35.200954,41.0
35.901405,1.4583318,45,38,0,0,n156,35.200954,41.0
35.918766,1.4409708,74,68,0,0,n157,35.910088,42.0
35.936127,1.4236097,64,51,0,0,n158,35.910088,42.0
36.635914,0.7238241,73,66,0,0,n159,36.635914,43.0
36.96978,0.38995686,54,39,0,0,n160,36.635914,43.0
37.009846,0.4180017,74,73,0,0,n161,36.635914,43.0
37.021866,0.3378736,66,60,0,0,n162,36.635914,43.0
37.31834,0.3979697,76,72,0,0,n163,36.635914,43.0
37.342377,0.8373389,52,33,0,0,n164,37.342377,44.0
37.346382,0.36992484,67,55,0,0,n165,37.342377,44.0
