xml_id	midi_id	track	channel	pitch	onset
n16-1	n9	1	0	50	2.4312500000000004
n17-1	n8	1	0	54	2.4145833333333337
n5-1	n1	1	0	57	1.103125
n6-1	n3	1	0	59	1.4979166666666666
n7-1	n5	1	0	61	1.853125
n18-1	n6	1	0	62	2.379166666666667
n1-1	n0	1	0	69	1.0895833333333333
n2-1	n2	1	0	71	1.4833333333333332
n3-1	n4	1	0	73	1.84375
n12-1	n7	1	0	74	2.391666666666667
n15-1	n11	1	0	71	4.683333333333335
n14-1	n10	1	0	73	4.556250000000001
n23-1	n15	1	0	49	4.889583333333334
n24-1	n14	1	0	52	4.882291666666668
n25-1	n13	1	0	57	4.863541666666668
n19-1	n12	1	0	69	4.853125000000001
n20-1	n16	1	0	69	5.994791666666659
n22-1	n18	1	0	67	6.663541666666658
n21-1	n17	1	0	71	6.344791666666659
n36-1	n20	1	0	50	6.998958333333325
n37-1	n28	1	0	52	7.591666666666654
n31-1	n19	1	0	54	6.985416666666659
n32-1	n27	1	0	55	7.589583333333321
n26-1	n21	1	0	66	7.042708333333325
n27-1	n26	1	0	67	7.586458333333321
n38-1	n30	1	0	54	7.815624999999988
n33-1	n31	1	0	57	7.821874999999988
n28-1	n29	1	0	69	7.801041666666655
n39-1	n34	1	0	52	8.645833333333327
n40-1	n35	1	0	55	8.652083333333326
n34-1	n32	1	0	59	8.62291666666666
n35-1	n37	1	0	61	9.034375
n29-1	n33	1	0	71	8.624999999999993
n30-1	n36	1	0	73	9.017708333333333
n51-1	n42	1	0	50	9.556250000000002
n54-1	n41	1	0	52	9.539583333333335
n55-1	n40	1	0	55	9.534375
n56-1	n38	1	0	61	9.494791666666668
n41-1	n39	1	0	73	9.506250000000001
n57-1	n44	1	0	54	10.397916666666674
n58-1	n43	1	0	62	10.390625000000007
n48-1	n47	1	0	62	11.021875000000009
n42-1	n45	1	0	74	10.406250000000009
n43-1	n46	1	0	74	11.017708333333342
n49-1	n48	1	0	66	11.426041666666682
n50-1	n51	1	0	69	11.796875000000014
n44-1	n49	1	0	78	11.428125000000016
n45-1	n50	1	0	81	11.787500000000014
n69-1	n53	1	0	55	12.323958333333348
n70-1	n55	1	0	57	12.333333333333348
n65-1	n54	1	0	66	12.326041666666681
n61-1	n52	1	0	78	12.312500000000014
n66-1	n57	1	0	64	13.772916666666681
n62-1	n56	1	0	76	13.760416666666682
n67-1	n59	1	0	59	14.158333333333347
n68-1	n60	1	0	61	14.478125000000016
n63-1	n58	1	0	71	14.120833333333348
n64-1	n61	1	0	73	14.48333333333335
n79-1	n65	1	0	54	14.958333333333352
n80-1	n64	1	0	57	14.951041666666685
n75-1	n63	1	0	64	14.948958333333351
n71-1	n62	1	0	76	14.934375000000019
n76-1	n67	1	0	62	16.03645833333336
n72-1	n66	1	0	74	16.00520833333336
n81-1	n68	1	0	50	16.415625000000023
n82-1	n76	1	0	52	16.990625000000016
n77-1	n69	1	0	54	16.42916666666669
n78-1	deletion
n73-1	n70	1	0	66	16.458333333333353
n74-1	n75	1	0	67	16.985416666666683
n86-1	n77	1	0	45	17.228125000000013
n87-1	n79	1	0	54	17.242708333333347
n88-1	n80	1	0	57	17.257291666666678
n83-1	n78	1	0	69	17.230208333333348
n89-1	n84	1	0	45	18.057291666666682
n90-1	n83	1	0	52	18.05104166666668
n91-1	n82	1	0	55	18.041666666666682
n84-1	n81	1	0	67	18.03333333333335
n92-1	n88	1	0	45	18.908333333333346
n93-1	n87	1	0	49	18.88437500000001
n94-1	n86	1	0	52	18.88125000000001
n85-1	n85	1	0	64	18.87395833333334
n100-1	n92	1	0	38	19.896875000000012
n101-1	n91	1	0	50	19.89062500000001
n95-1	n90	1	0	54	19.88437500000001
n96-1	n89	1	0	62	19.864583333333343
n102-1	n93	1	0	54	21.63854166666668
n97-1	n94	1	0	66	21.65520833333335
n103-1	n96	1	0	55	22.09166666666668
n104-1	n98	1	0	57	22.489583333333343
n98-1	n95	1	0	67	22.08854166666668
n99-1	n97	1	0	69	22.454166666666676
n115-1	n103	1	0	43	23.035416666666677
n116-1	n101	1	0	50	23.029166666666676
n110-1	n102	1	0	52	23.033333333333342
n111-1	n100	1	0	59	23.016666666666676
n105-1	n99	1	0	71	22.994791666666675
n112-1	n105	1	0	52	24.23229166666668
n113-1	n107	1	0	52	24.64791666666668
n106-1	n104	1	0	64	24.211458333333347
n107-1	n106	1	0	64	24.61979166666668
n123-1	n108	1	0	44	25.56041666666668
n124-1	n111	1	0	52	25.589583333333348
