onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0,0.53333336,69,45,1,0,n0,-10.0,-10.0
1.05,0.48333332,57,22,1,0,n1,-10.0,-10.0
1.3666667,0.909375,71,63,1,0,n2,-10.0,-10.0
1.4364583,0.83958334,59,29,1,0,n3,1.4015625,-1.0
1.684375,0.59166664,73,70,1,0,n4,1.4015625,-1.0
1.74375,0.53229165,61,37,1,0,n5,1.4015625,-1.0
2.1614583,2.7760417,74,66,1,0,n6,1.4015625,-1.0
2.2479167,2.6895833,50,29,1,0,n7,1.4015625,-1.0
2.2479167,2.6895833,62,21,1,0,n8,1.4015625,-1.0
2.265625,2.671875,54,23,1,0,n9,2.247917,0.0
4.465625,0.471875,73,42,1,0,n10,4.008333,2.0
4.6208334,0.31666666,71,54,1,0,n11,4.008333,2.0
4.8239584,2.36875,69,56,1,0,n12,4.008333,2.0
4.8864584,2.30625,52,34,1,0,n13,4.008333,2.0
4.890625,2.3020833,57,30,1,0,n14,4.8885417,3.0
4.938542,2.2541666,49,23,1,0,n15,4.8885417,3.0
6.077083,1.115625,69,65,1,0,n16,5.664062,4.0
6.4395833,0.753125,71,72,1,0,n17,6.439583,5.0
6.76875,0.42395833,67,71,1,0,n18,6.439583,5.0
7.1447916,0.16666667,66,60,1,0,n19,6.439583,5.0
7.1833334,0.5364583,54,35,1,0,n20,6.439583,5.0
7.209375,0.54791665,50,37,1,0,n21,7.209375,6.0
7.3333335,0.067708336,67,57,1,0,n22,7.209375,6.0
7.428125,0.048958335,66,61,1,0,n23,7.209375,6.0
7.501042,0.09375,64,61,1,0,n24,7.209375,6.0
7.579167,0.171875,66,67,1,0,n25,7.209375,6.0
7.7229166,0.25520834,67,68,1,0,n26,7.209375,6.0
7.76875,0.17708333,55,33,1,0,n27,7.209375,6.0
7.7760415,0.23854166,52,34,1,0,n28,7.209375,6.0
7.9739585,0.79270834,69,66,1,0,n29,7.209375,6.0
7.9822917,0.784375,57,36,1,0,n30,7.209375,6.0
8.001041,0.765625,54,39,1,0,n31,7.982292,7.0
8.682292,0.94375,71,72,1,0,n32,7.982292,7.0
8.746875,0.87916666,52,39,1,0,n33,8.746875,8.0
8.746875,0.87916666,59,41,1,0,n34,8.746875,8.0
8.761458,0.8645833,55,35,1,0,n35,8.746875,8.0
9.047916,0.578125,73,76,1,0,n36,8.746875,8.0
9.103125,0.5229167,61,46,1,0,n37,8.746875,8.0
9.508333,0.878125,73,70,1,0,n38,8.746875,8.0
9.570833,0.815625,61,45,1,0,n39,8.746875,8.0
9.594791,0.7916667,50,36,1,0,n40,8.746875,8.0
9.601042,0.78541666,52,37,1,0,n41,9.594792,9.0
9.608334,0.778125,55,33,1,0,n42,9.594792,9.0
10.348958,0.87916666,74,57,1,0,n43,9.594792,9.0
10.411458,0.81666666,54,35,1,0,n44,10.411458,10.0
10.4125,0.815625,62,36,1,0,n45,10.411458,10.0
10.808333,0.45,74,71,1,0,n46,10.411458,10.0
10.861459,0.37604168,62,43,1,0,n47,10.411458,10.0
11.186459,1.021875,78,74,1,0,n48,10.411458,10.0
11.236459,0.971875,66,39,1,0,n49,11.211458,11.0
11.516666,0.69166666,81,80,1,0,n50,11.211458,11.0
11.572917,0.6354167,69,46,1,0,n51,11.211458,11.0
11.977083,1.6645833,78,73,1,0,n52,11.211458,11.0
12.066667,1.575,66,44,1,0,n53,11.211458,11.0
12.110416,1.53125,55,35,1,0,n54,12.088542,12.0
12.115625,1.6239583,57,29,1,0,n55,12.088542,12.0
13.440625,0.478125,76,55,1,0,n56,12.959375,13.0
13.501041,0.359375,64,34,1,0,n57,12.959375,13.0
13.816667,0.390625,71,65,1,0,n58,12.959375,13.0
13.84375,0.33645833,59,39,1,0,n59,13.830209,14.0
14.15,0.48229167,73,65,1,0,n60,13.830209,14.0
14.18125,0.43958333,61,40,1,0,n61,13.830209,14.0
14.573958,1.8239583,76,56,1,0,n62,13.830209,14.0
14.627084,1.7708334,64,33,1,0,n63,13.830209,14.0
14.641666,1.75625,54,28,1,0,n64,14.634375,15.0
14.666667,1.73125,57,29,1,0,n65,14.634375,15.0
15.964583,0.43333334,74,47,1,0,n66,15.527083,16.0
15.995833,0.40208334,62,35,1,0,n67,15.527083,16.0
16.355207,0.13020833,66,49,1,0,n68,15.527083,16.0
16.413542,0.39270833,50,29,1,0,n69,15.527083,16.0
16.419792,0.40104166,54,25,1,0,n70,16.419792,17.0
16.5625,0.038541667,67,42,1,0,n71,16.419792,17.0
16.616667,0.048958335,66,56,1,0,n72,16.419792,17.0
16.688541,0.065625,64,58,1,0,n73,16.419792,17.0
16.772917,0.109375,66,67,1,0,n74,16.419792,17.0
16.890625,0.240625,67,66,1,0,n75,16.419792,17.0
16.894793,0.06875,55,45,1,0,n76,16.419792,17.0
16.9125,0.05625,52,40,1,0,n77,16.419792,17.0
17.14375,0.12291667,69,62,1,0,n78,16.419792,17.0
17.183332,0.23229167,54,45,1,0,n79,16.419792,17.0
17.189583,0.22604166,57,49,1,0,n80,17.189583,18.0
17.210417,0.20520833,45,37,1,0,n81,17.189583,18.0
17.861458,0.29479167,67,44,1,0,n82,17.189583,18.0
17.8875,0.26875,55,41,1,0,n83,17.189583,18.0
17.891666,0.26458332,45,43,1,0,n84,17.889584,19.0
17.913542,0.24270834,52,32,1,0,n85,17.889584,19.0
18.58125,0.37604168,64,47,1,0,n86,17.889584,19.0
18.614584,0.34270832,49,41,1,0,n87,17.889584,19.0
18.627083,0.33020833,52,37,1,0,n88,18.620832,20.0
18.638542,0.31875,45,38,1,0,n89,18.620832,20.0
19.370832,0.959375,62,50,1,0,n90,18.620832,20.0
19.411459,0.91875,54,29,1,0,n91,18.620832,20.0
19.429167,0.9010417,38,30,1,0,n92,19.420313,21.0
19.435417,0.89479166,50,19,1,0,n93,19.420313,21.0
20.647917,0.5229167,66,57,1,0,n94,20.22526,22.0
20.7,0.34895834,54,28,1,0,n95,20.22526,22.0
21.00625,0.96666664,67,76,1,0,n96,20.22526,22.0
21.054167,0.91875,55,39,1,0,n97,21.030209,23.0
21.308332,0.6645833,69,80,1,0,n98,21.030209,23.0
21.359375,0.61354166,57,50,1,0,n99,21.030209,23.0
21.789583,1.9927083,71,78,1,0,n100,21.030209,23.0
21.840626,1.9416667,59,39,1,0,n101,21.030209,23.0
21.859375,1.9229167,43,49,1,0,n102,21.85,24.0
21.885416,1.896875,50,43,1,0,n103,21.85,24.0
21.885416,1.896875,52,43,1,0,n104,21.85,24.0
23.071875,0.7104167,64,58,1,0,n105,21.885418,25.0
23.092709,0.68958336,52,40,1,0,n106,21.885418,25.0
23.453125,3.2052083,64,66,1,0,n107,21.885418,25.0
23.484375,0.29791668,52,42,1,0,n108,21.885418,25.0
23.807291,2.8510416,44,62,1,0,n109,21.885418,25.0
23.925,2.7333333,52,64,1,0,n110,23.807293,26.0
24.245832,2.4125,74,85,1,0,n111,24.245832,27.0
24.329166,2.3291667,62,53,1,0,n112,24.245832,27.0
25.239584,1.41875,64,70,1,0,n113,24.939323,28.0
25.277082,1.38125,52,46,1,0,n114,24.939323,28.0
25.620832,1.0375,64,77,1,0,n115,24.939323,28.0
25.644793,1.0135417,52,61,1,0,n116,25.632812,29.0
26.463541,1.29375,74,86,1,0,n117,25.632812,29.0
26.51875,1.2385417,64,55,1,0,n118,25.632812,29.0
26.542707,1.2145833,55,51,1,0,n119,26.53073,30.0
26.551043,2.3427083,45,49,1,0,n120,26.53073,30.0
27.320833,0.43645832,73,80,1,0,n121,27.320833,31.0
27.676043,0.40520832,74,88,1,0,n122,27.320833,31.0
27.709375,0.371875,66,55,1,0,n123,27.320833,31.0
27.71875,0.3625,54,54,1,0,n124,27.320833,31.0
28.032291,0.86145836,76,87,1,0,n125,27.320833,31.0
28.064583,0.06875,67,65,1,0,n126,28.064583,32.0
28.075,0.81875,52,54,1,0,n127,28.064583,32.0
28.370832,0.5229167,73,84,1,0,n128,28.064583,32.0
28.395834,0.49791667,64,70,1,0,n129,28.064583,32.0
28.402082,0.49166667,57,60,1,0,n130,28.064583,32.0
28.78125,1.7760416,74,80,1,0,n131,28.064583,32.0
28.813541,1.74375,66,53,1,0,n132,28.064583,32.0
28.85,1.7072917,57,41,1,0,n133,28.831772,33.0
28.858334,1.6989583,50,44,1,0,n134,28.831772,33.0
29.605207,0.95208335,78,74,1,0,n135,29.605207,34.0
30.532291,0.9625,69,53,1,0,n136,29.605207,34.0
30.558332,0.93645835,66,39,1,0,n137,29.605207,34.0
30.573957,0.92083335,57,28,1,0,n138,30.566145,35.0
30.582293,0.9125,50,31,1,0,n139,30.566145,35.0
31.357292,0.91875,69,66,1,0,n140,30.566145,35.0
31.402082,0.87395835,66,42,1,0,n141,30.566145,35.0
31.45625,1.4614583,57,22,1,0,n142,31.429167,36.0
31.480207,1.4375,49,23,1,0,n143,31.429167,36.0
32.177082,0.740625,67,57,1,0,n144,31.429167,36.0
32.195835,0.721875,64,42,1,0,n145,32.18646,37.0
32.494793,0.42291668,69,70,1,0,n146,32.18646,37.0
32.513542,0.40416667,66,55,1,0,n147,32.18646,37.0
32.846874,0.78229165,71,68,1,0,n148,32.18646,37.0
32.85625,0.12916666,67,61,1,0,n149,32.18646,37.0
32.919792,0.709375,45,40,1,0,n150,32.88802,38.0
32.93021,0.69895834,57,30,1,0,n151,32.88802,38.0
33.18854,0.440625,67,72,1,0,n152,32.88802,38.0
33.215626,0.41354167,64,55,1,0,n153,32.88802,38.0
33.589584,0.834375,69,66,1,0,n154,32.88802,38.0
33.629166,0.7239583,67,47,1,0,n155,32.88802,38.0
33.64896,1.5635417,57,37,1,0,n156,33.63906,39.0
33.652084,1.5604167,50,36,1,0,n157,33.63906,39.0
34.404167,0.80833334,74,59,1,0,n158,33.63906,39.0
34.44479,0.76770836,66,29,1,0,n159,34.42448,40.0
35.154167,0.85729164,69,78,1,0,n160,34.42448,40.0
35.23021,0.78125,54,38,1,0,n161,35.19219,41.0
35.477085,0.534375,71,88,1,0,n162,35.19219,41.0
35.502083,0.509375,55,60,1,0,n163,35.19219,41.0
35.857292,1.4322916,74,89,1,0,n164,35.19219,41.0
35.908333,1.38125,64,58,1,0,n165,35.19219,41.0
35.954166,1.3354167,55,64,1,0,n166,35.93125,42.0
35.9625,2.1291666,45,61,1,0,n167,35.93125,42.0
36.526043,0.76354164,74,37,1,0,n168,35.93125,42.0
36.59375,0.6958333,73,80,1,0,n169,36.59375,43.0
36.93125,0.35833332,74,86,1,0,n170,36.59375,43.0
36.954166,0.33541667,66,72,1,0,n171,36.59375,43.0
36.98021,0.309375,54,67,1,0,n172,36.59375,43.0
37.264584,0.82708335,76,88,1,0,n173,36.59375,43.0
37.289585,0.8020833,67,62,1,0,n174,37.28958,44.0
37.303123,0.7885417,52,70,1,0,n175,37.28958,44.0
37.57396,0.51770836,73,88,1,0,n176,37.28958,44.0
37.588543,0.503125,64,74,1,0,n177,37.28958,44.0
37.604168,0.4875,57,74,1,0,n178,37.28958,44.0
37.98021,1.84375,74,85,1,0,n179,37.28958,44.0
38.003124,1.8208333,66,63,1,0,n180,37.28958,44.0
38.0375,1.7864584,57,56,1,0,n181,38.020313,45.0
38.039585,1.784375,50,54,1,0,n182,38.020313,45.0
38.779167,1.0447917,78,76,1,0,n183,38.779167,46.0
39.7125,1.0697917,69,62,1,0,n184,38.779167,46.0
39.753124,1.0291667,64,45,1,0,n185,38.779167,46.0
39.794792,0.9875,49,33,1,0,n186,39.77396,47.0
39.803123,0.9791667,57,26,1,0,n187,39.77396,47.0
40.25,0.53229165,52,36,1,0,n188,39.77396,47.0
40.64479,0.978125,69,61,1,0,n189,39.77396,47.0
40.703125,0.91979164,62,44,1,0,n190,39.77396,47.0
40.73021,1.6541667,54,35,1,0,n191,40.716667,48.0
40.741665,1.6427083,47,35,1,0,n192,40.716667,48.0
41.504166,0.8802083,68,59,1,0,n193,41.504166,49.0
41.861458,0.534375,69,67,1,0,n194,41.504166,49.0
41.925,0.459375,63,39,1,0,n195,41.504166,49.0
42.366665,1.1364583,73,56,1,0,n196,41.504166,49.0
42.4125,1.090625,64,33,1,0,n197,41.504166,49.0
42.429165,1.0739583,52,26,1,0,n198,42.420834,50.0
42.45729,1.0458333,40,30,1,0,n199,42.420834,50.0
42.858334,0.6614583,71,51,1,0,n200,42.420834,50.0
42.861458,0.64166665,68,40,1,0,n201,42.420834,50.0
42.89479,0.60833335,50,34,1,0,n202,42.420834,50.0
43.42604,1.9947916,69,48,1,0,n203,42.420834,50.0
43.490623,1.9302083,49,21,1,0,n204,43.490623,51.0
43.509377,1.9114584,45,27,1,0,n205,43.490623,51.0
45.246876,0.48020834,69,43,1,0,n206,44.583332,52.0
45.295834,0.37708333,57,24,1,0,n207,44.583332,52.0
45.65,0.40520832,71,62,1,0,n208,44.583332,52.0
45.702084,0.321875,59,26,1,0,n209,45.67604,53.0
45.990623,0.50104165,73,61,1,0,n210,45.67604,53.0
46.035416,0.47395834,61,33,1,0,n211,45.67604,53.0
46.459373,2.9958334,74,56,1,0,n212,45.67604,53.0
46.53854,2.9166667,62,27,1,0,n213,46.49896,54.0
47.402084,2.053125,54,27,1,0,n214,46.49896,54.0
47.415627,2.0395834,50,22,1,0,n215,47.408855,55.0
48.94896,0.50625,73,40,1,0,n216,48.386196,56.0
49.10104,0.35416666,71,54,1,0,n217,48.386196,56.0
49.321877,1.715625,69,57,1,0,n218,48.386196,56.0
49.40521,2.3635416,57,26,1,0,n219,49.36354,57.0
50.18646,1.5822917,52,33,1,0,n220,49.36354,57.0
50.259377,1.509375,49,18,1,0,n221,50.222916,58.0
50.55104,0.48645833,69,63,1,0,n222,50.222916,58.0
50.942707,0.82604164,71,70,1,0,n223,50.942707,59.0
51.283333,0.48541668,67,65,1,0,n224,50.942707,59.0
51.664585,0.17708333,66,62,1,0,n225,50.942707,59.0
51.740623,0.51666665,54,41,1,0,n226,50.942707,59.0
51.75729,0.47708333,50,35,1,0,n227,50.942707,59.0
51.872917,0.065625,67,57,1,0,n228,51.757294,60.0
51.96875,0.04375,66,67,1,0,n229,51.757294,60.0
52.045834,0.0875,64,59,1,0,n230,51.757294,60.0
