onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-0.25,0.25,-0.25,0.25,0,12,57,5,n2-1,-10.0,-10.0
0.0,0.16666667,0.0,0.16666667,12,8,58,5,n13-1,0.0,0.959635
0.16666667,0.16666667,0.16666667,0.16666667,20,8,52,5,n14-1,0.0,0.959635
0.33333334,0.16666667,0.33333334,0.16666667,28,8,61,5,n15-1,0.0,0.959635
0.5,1.0,0.5,1.0,36,48,33,5,n16-1,0.0,0.959635
0.5,1.0,0.5,1.0,36,48,45,5,n17-1,0.0,0.959635
0.5,0.16666667,0.5,0.16666667,36,8,64,1,n4-1,0.0,0.959635
0.6666667,0.16666667,0.6666667,0.16666667,44,8,55,1,n5-1,0.0,0.959635
0.8333333,0.16666667,0.8333333,0.16666667,52,8,57,1,n6-1,0.0,0.959635
1.0,0.16666667,1.0,0.16666667,60,8,58,1,n7-1,1.0,1.634115
1.1666666,0.16666667,1.1666666,0.16666667,68,8,53,1,n8-1,1.0,1.634115
1.3333334,0.16666667,1.3333334,0.16666667,76,8,62,1,n9-1,1.0,1.634115
1.5,1.0,1.5,1.0,84,48,38,5,n18-1,1.0,1.634115
1.5,1.0,1.5,1.0,84,48,50,5,n19-1,1.0,1.634115
1.5,0.16666667,1.5,0.16666667,84,8,65,1,n10-1,1.0,1.634115
1.6666666,0.16666667,1.6666666,0.16666667,92,8,57,1,n11-1,1.0,1.634115
1.8333334,0.16666667,1.8333334,0.16666667,100,8,60,1,n12-1,1.0,1.634115
2.0,0.16666667,2.0,0.16666667,108,8,61,1,n20-1,2.0,2.147135
2.1666667,0.16666667,2.1666667,0.16666667,116,8,55,1,n21-1,2.0,2.147135
2.3333333,0.16666667,2.3333333,0.16666667,124,8,64,1,n22-1,2.0,2.147135
2.5,1.0,2.5,1.0,132,48,40,5,n34-1,2.0,2.147135
2.5,1.0,2.5,1.0,132,48,52,5,n35-1,2.0,2.147135
2.5,0.16666667,2.5,0.16666667,132,8,67,1,n23-1,2.0,2.147135
2.6666667,0.16666667,2.6666667,0.16666667,140,8,58,1,n24-1,2.0,2.147135
2.8333333,0.16666667,2.8333333,0.16666667,148,8,62,1,n25-1,2.0,2.147135
3.0,0.16666667,3.0,0.16666667,156,8,63,1,n26-1,3.0,2.678385
3.1666667,0.16666667,3.1666667,0.16666667,164,8,57,1,n27-1,3.0,2.678385
3.3333333,0.16666667,3.3333333,0.16666667,172,8,69,1,n28-1,3.0,2.678385
3.5,1.0,3.5,1.0,180,48,42,5,n36-1,3.0,2.678385
3.5,1.0,3.5,1.0,180,48,54,5,n37-1,3.0,2.678385
3.5,0.16666667,3.5,0.16666667,180,8,72,1,n29-1,3.0,2.678385
3.6666667,0.16666667,3.6666667,0.16666667,188,8,60,1,n30-1,3.0,2.678385
3.8333333,0.16666667,3.8333333,0.16666667,196,8,62,1,n31-1,3.0,2.678385
4.0,0.16666667,4.0,0.16666667,204,8,63,1,n39-1,4.0,3.213542
4.1666665,0.16666667,4.1666665,0.16666667,212,8,58,1,n40-1,4.0,3.213542
4.3333335,0.16666667,4.3333335,0.16666667,220,8,67,1,n41-1,4.0,3.213542
4.5,1.0,4.5,1.0,228,48,43,5,n53-1,4.0,3.213542
4.5,1.0,4.5,1.0,228,48,55,5,n54-1,4.0,3.213542
4.5,0.16666667,4.5,0.16666667,228,8,70,1,n42-1,4.0,3.213542
4.6666665,0.16666667,4.6666665,0.16666667,236,8,62,1,n43-1,4.0,3.213542
4.8333335,0.16666667,4.8333335,0.16666667,244,8,64,1,n44-1,4.0,3.213542
5.0,0.16666667,5.0,0.16666667,252,8,65,1,n45-1,5.0,3.717448
5.1666665,0.16666667,5.1666665,0.16666667,260,8,59,1,n46-1,5.0,3.717448
