xml_id	midi_id	track	channel	pitch	onset
n16-1	n4	1	0	33	1.4479166666666663
n18-1	n12	1	0	38	2.0937499999999996
n17-1	n6	1	0	45	1.4752604166666663
n19-1	n13	1	0	50	2.100260416666666
n14-1	n2	1	0	52	1.1940104166666665
n8-1	n10	1	0	53	1.9153645833333328
n5-1	n7	1	0	55	1.6210937499999996
n2-1	n0	1	0	57	0.88671875
n6-1	n8	1	0	57	1.7083333333333328
n11-1	n15	1	0	57	2.229166666666666
n13-1	n1	1	0	58	1.01171875
n7-1	n9	1	0	58	1.7890624999999993
n12-1	n16	1	0	60	2.3398437499999996
n15-1	n3	1	0	61	1.329427083333333
n9-1	n11	1	0	62	2.0078124999999996
n4-1	n5	1	0	64	1.4492187499999996
n10-1	n14	1	0	65	2.108072916666666
n34-1	n21	1	0	40	2.7395833333333335
n35-1	n22	1	0	52	2.740885416666667
n21-1	n18	1	0	55	2.55078125
n24-1	n23	1	0	58	2.837239583333334
n20-1	n17	1	0	61	2.4140625
n25-1	n24	1	0	62	2.9322916666666674
n22-1	n19	1	0	64	2.638020833333333
n23-1	n20	1	0	67	2.734375
n36-1	n28	1	0	42	3.3229166666666674
n37-1	n30	1	0	54	3.324218750000001
n27-1	n26	1	0	57	3.1302083333333335
n30-1	n31	1	0	60	3.4244791666666674
n31-1	n32	1	0	62	3.5208333333333344
n26-1	n25	1	0	63	3.0065104166666674
n28-1	n27	1	0	69	3.2304687500000004
n29-1	n29	1	0	72	3.3229166666666674
n53-1	n37	1	0	43	3.911458333333335
n54-1	n38	1	0	55	3.911458333333335
n40-1	n34	1	0	58	3.717447916666668
n43-1	n39	1	0	62	4.029947916666668
n39-1	n33	1	0	63	3.601562500000001
n44-1	n40	1	0	64	4.109375000000001
n41-1	n35	1	0	67	3.830729166666668
n42-1	n36	1	0	70	3.907552083333335
n55-1	n44	1	0	44	4.476562500000002
n56-1	n45	1	0	56	4.476562500000002
n46-1	n42	1	0	59	4.289062500000002
n45-1	n41	1	0	65	4.186197916666668
n49-1	n47	1	0	65	4.583333333333336
n50-1	n48	1	0	67	4.694010416666668
n47-1	n43	1	0	71	4.397135416666669
n48-1	n46	1	0	74	4.488281250000002
n72-1	n54	1	0	45	5.083333333333333
n73-1	n53	1	0	57	5.080729166666667
n59-1	n50	1	0	62	4.864583333333334
n62-1	n55	1	0	65	5.1953125
n58-1	n49	1	0	68	4.770833333333334
n63-1	n56	1	0	68	5.299479166666666
n60-1	n51	1	0	74	4.973958333333334
n61-1	n52	1	0	77	5.071614583333334
n65-1	n58	1	0	64	5.497395833333334
n68-1	n61	1	0	67	5.779947916666668
n64-1	n57	1	0	69	5.391927083333333
n69-1	n62	1	0	69	5.861979166666669
n66-1	n59	1	0	73	5.582031250000001
n67-1	n60	1	0	76	5.682291666666668
n87-1	n69	1	0	45	6.298177083333335
n88-1	n66	1	0	49	6.277343750000001
n89-1	n67	1	0	57	6.279947916666668
n75-1	n64	1	0	64	6.072916666666668
n78-1	n70	1	0	67	6.403645833333335
n79-1	n71	1	0	69	6.484375000000002
n74-1	n63	1	0	70	5.950520833333335
n76-1	n65	1	0	73	6.190104166666668
n77-1	n68	1	0	76	6.291666666666668
n90-1	n77	1	0	50	6.867187500000001
n91-1	n76	1	0	53	6.865885416666668
n92-1	n75	1	0	62	6.864583333333335
n81-1	n73	1	0	65	6.688802083333335
n84-1	n79	1	0	69	6.99609375
n80-1	n72	1	0	70	6.572916666666669
n85-1	n80	1	0	72	7.083333333333333
n82-1	n74	1	0	74	6.783854166666668
n83-1	n78	1	0	77	6.878906250000001
n108-1	n87	1	0	52	7.454427083333333
n109-1	n86	1	0	55	7.451822916666666
n110-1	n85	1	0	61	7.450520833333333
n94-1	n82	1	0	67	7.263020833333332
n97-1	n88	1	0	70	7.533854166666666
n93-1	n81	1	0	73	7.162760416666666
n98-1	n89	1	0	74	7.619791666666666
n95-1	n83	1	0	76	7.352864583333332
n96-1	n84	1	0	79	7.444010416666666
n111-1	n95	1	0	54	8.032552083333332
n112-1	n96	1	0	57	8.036458333333332
n113-1	n97	1	0	60	8.036458333333332
n114-1	n93	1	0	62	8.031249999999998
n100-1	n91	1	0	69	7.837239583333332
n103-1	n98	1	0	72	8.12890625
n104-1	n99	1	0	74	8.220052083333332
n99-1	n90	1	0	75	7.718749999999999
n101-1	n92	1	0	81	7.947916666666665
n102-1	n94	1	0	84	8.031249999999998
n131-1	n105	1	0	55	8.592447916666666
n132-1	n106	1	0	58	8.592447916666666
n133-1	n103	1	0	63	8.583333333333332
n134-1	n104	1	0	67	8.584635416666666
n116-1	n101	1	0	70	8.412760416666664
n115-1	n100	1	0	75	8.311197916666666
n120-1	n109	1	0	76	8.794270833333334
n117-1	n102	1	0	79	8.510416666666664
n118-1	n107	1	0	82	8.59765625
n135-1	n113	1	0	56	9.187500000000004
n136-1	n117	1	0	59	9.199218750000004
n137-1	n114	1	0	62	9.187500000000004
n138-1	n115	1	0	65	9.187500000000004
n122-1	n111	1	0	71	8.972656250000002
n121-1	n110	1	0	77	8.878906250000002
n125-1	n118	1	0	77	9.286458333333337
n126-1	n119	1	0	83	9.375000000000004
n123-1	n112	1	0	86	9.083333333333336
n124-1	n116	1	0	89	9.19010416666667
n148-1	n126	1	0	57	9.760416666666677
n149-1	n125	1	0	61	9.756510416666677
n150-1	n123	1	0	69	9.750000000000009
n140-1	n121	1	0	76	9.553385416666673
n143-1	n127	1	0	81	9.843750000000009
n139-1	n120	1	0	85	9.453125000000005
n144-1	n128	1	0	86	9.971354166666677
n141-1	n122	1	0	88	9.662760416666673
n142-1	n124	1	0	93	9.755208333333343
n2-2	n134	1	0	57	10.889322916666677
n151-1	n130	1	0	62	10.074218750000009
n152-1	n133	1	0	65	10.084635416666675
n153-1	n131	1	0	69	10.074218750000009
n154-1	n129	1	0	74	10.071614583333343
n145-1	n132	1	0	98	10.074218750000009
n16-2	n138	1	0	33	11.381510416666679
n17-2	n139	1	0	45	11.384114583333346
n14-2	n136	1	0	52	11.17968750000001
n5-2	n141	1	0	55	11.554687500000016
n6-2	n142	1	0	57	11.651041666666684
n13-2	n135	1	0	58	11.006510416666677
n15-2	n137	1	0	61	11.295572916666679
n4-2	n140	1	0	64	11.399739583333346
n18-2	n146	1	0	38	12.04036458333335
n19-2	n147	1	0	50	12.04817708333335
n8-2	n144	1	0	53	11.846354166666682
n11-2	n149	1	0	57	12.179687500000016
n7-2	n143	1	0	58	11.736979166666682
n12-2	n150	1	0	60	12.289062500000016
n9-2	n145	1	0	62	11.96223958333335
n10-2	n148	1	0	65	12.05208333333335
n34-2	n156	1	0	40	12.690104166666686
n35-2	n155	1	0	52	12.68750000000002
n21-2	n152	1	0	55	12.476562500000018
n24-2	n157	1	0	58	12.792968750000018
n20-2	n151	1	0	61	12.367187500000016
n25-2	n158	1	0	62	12.89583333333335
n22-2	n153	1	0	64	12.578125000000018
n23-2	n154	1	0	67	12.68359375000002
n36-2	n162	1	0	42	13.283854166666686
n37-2	n163	1	0	54	13.287760416666686
n27-2	n160	1	0	57	13.092447916666686
n30-2	n165	1	0	60	13.40625000000002
n31-2	n166	1	0	62	13.502604166666687
n26-2	n159	1	0	63	12.976562500000018
n28-2	n161	1	0	69	13.201822916666686
n29-2	n164	1	0	72	13.299479166666686
n53-2	n171	1	0	43	13.914062500000025
n54-2	n170	1	0	55	13.912760416666691
n40-2	n168	1	0	58	13.72916666666669
n43-2	n173	1	0	62	14.048177083333355
n39-2	n167	1	0	63	13.601562500000021
n44-2	n174	1	0	64	14.141927083333355
n41-2	n169	1	0	67	13.839843750000023
n42-2	n172	1	0	70	13.920572916666691
n55-2	n179	1	0	44	14.520833333333357
n56-2	n178	1	0	56	14.519531250000023
n46-2	n176	1	0	59	14.32682291666669
n45-2	n175	1	0	65	14.213541666666687
n49-2	n181	1	0	65	14.651041666666691
n50-2	n182	1	0	67	14.753906250000027
n47-2	n177	1	0	71	14.457031250000023
n48-2	n180	1	0	74	14.536458333333357
n72-2	n188	1	0	45	15.13671875000003
n73-2	n186	1	0	57	15.126302083333364
n59-2	n184	1	0	62	14.924479166666694
n62-2	n189	1	0	65	15.23437500000003
n58-2	n183	1	0	68	14.832031250000027
n63-2	n190	1	0	68	15.335937500000032
n60-2	n185	1	0	74	15.039062500000028
n61-2	n187	1	0	77	15.130208333333364
n65-2	n192	1	0	64	15.5416666666667
n68-2	n195	1	0	67	15.8463541666667
n64-2	n191	1	0	69	15.427083333333366
n69-2	n196	1	0	69	15.929687500000034
n66-2	n193	1	0	73	15.645833333333366
n67-2	n194	1	0	76	15.731770833333366
n87-2	n203	1	0	45	16.423177083333357
n88-2	n200	1	0	49	16.40364583333336
n89-2	n201	1	0	57	16.408854166666693
n75-2	n198	1	0	64	16.173177083333364
n78-2	n204	1	0	67	16.552083333333357
n79-2	n205	1	0	69	16.640625000000025
n74-2	n197	1	0	70	16.039062500000032
n76-2	n199	1	0	73	16.29296875000003
n77-2	n202	1	0	76	16.414062500000025
n90-2	n211	1	0	50	17.032552083333353
n91-2	n212	1	0	53	17.037760416666686
n92-2	n210	1	0	62	17.03125000000002
n81-2	n207	1	0	65	16.848958333333357
n84-2	n214	1	0	69	17.164062500000018
n80-2	n206	1	0	70	16.73177083333336
n85-2	n215	1	0	72	17.25520833333335
n82-2	n208	1	0	74	16.96484375000002
n83-2	n213	1	0	77	17.046875000000018
n108-2	n222	1	0	52	17.666666666666682
n109-2	n220	1	0	55	17.658854166666686
n110-2	n221	1	0	61	17.660156250000018
n94-2	n217	1	0	67	17.458333333333353
n97-2	n223	1	0	70	17.757812500000014
n93-2	n216	1	0	73	17.34375000000002
n98-2	n224	1	0	74	17.83723958333335
n95-2	n218	1	0	76	17.561197916666686
n96-2	n219	1	0	79	17.656250000000018
n111-2	n229	1	0	54	18.234375000000018
n112-2	n230	1	0	57	18.238281250000018
n113-2	n231	1	0	60	18.238281250000018
n114-2	n228	1	0	62	18.230468750000018
n100-2	n226	1	0	69	18.04817708333335
n103-2	n233	1	0	72	18.347656250000014
n104-2	n234	1	0	74	18.444010416666682
n99-2	n225	1	0	75	17.932291666666686
n101-2	n227	1	0	81	18.156250000000018
n102-2	n232	1	0	84	18.238281250000018
n131-2	n238	1	0	55	18.828125000000007
n132-2	n241	1	0	58	18.82942708333334
n133-2	n239	1	0	63	18.828125000000007
n134-2	n240	1	0	67	18.828125000000007
n116-2	n236	1	0	70	18.64453125000001
n115-2	n235	1	0	75	18.528645833333346
n120-2	n244	1	0	76	19.039062500000007
n117-2	n237	1	0	79	18.764322916666675
n118-2	n242	1	0	82	18.83723958333334
n135-2	n248	1	0	56	19.408854166666675
n136-2	n251	1	0	59	19.41796875000001
n137-2	n250	1	0	62	19.41406250000001
n138-2	n249	1	0	65	19.411458333333343
n122-2	n246	1	0	71	19.221354166666675
n121-2	n245	1	0	77	19.119791666666675
n125-2	n253	1	0	77	19.513020833333346
n126-2	n254	1	0	83	19.60286458333335
n123-2	n247	1	0	86	19.321614583333343
