onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0286459,0.98046875,57,85,1,0,n0,-10.0,-10.0
1.2421875,0.76692706,58,86,1,0,n1,-10.0,-10.0
1.4856771,0.5234375,52,62,1,0,n2,1.242188,0.0
1.640625,0.3684896,61,65,1,0,n3,1.242188,0.0
1.7916666,0.21744792,64,57,1,0,n4,1.242188,0.0
1.796875,0.28515625,45,37,1,0,n5,1.242188,0.0
1.7981771,0.26171875,33,43,1,0,n6,1.242188,0.0
1.8854166,0.123697914,55,63,1,0,n7,1.242188,0.0
1.9804688,0.098958336,57,72,1,0,n8,1.242188,0.0
2.0729167,0.5026042,58,79,1,0,n9,1.242188,0.0
2.1796875,0.39583334,53,62,1,0,n10,2.072917,1.0
2.3098958,0.265625,62,50,1,0,n11,2.072917,1.0
2.3828125,0.20572917,38,35,1,0,n12,2.072917,1.0
2.3958333,0.1796875,65,60,1,0,n13,2.072917,1.0
2.404948,0.18359375,50,36,1,0,n14,2.072917,1.0
2.4765625,0.098958336,57,68,1,0,n15,2.072917,1.0
2.548177,0.071614586,60,63,1,0,n16,2.072917,1.0
2.6119792,0.46875,61,87,1,0,n17,2.611979,2.0
2.7148438,0.3658854,55,70,1,0,n18,2.611979,2.0
2.8164062,0.2643229,64,53,1,0,n19,2.611979,2.0
2.8619792,0.21875,40,52,1,0,n20,2.611979,2.0
2.8658855,0.21484375,52,46,1,0,n21,2.611979,2.0
2.8828125,0.19791667,67,77,1,0,n22,2.611979,2.0
2.9466145,0.13411458,58,65,1,0,n23,2.611979,2.0
3.0351562,0.106770836,62,80,1,0,n24,2.611979,2.0
3.1145833,0.60026044,63,83,1,0,n25,3.114583,3.0
3.2213542,0.4934896,57,73,1,0,n26,3.114583,3.0
3.3619792,0.3528646,69,55,1,0,n27,3.114583,3.0
3.404948,0.31510416,54,44,1,0,n28,3.114583,3.0
3.4127605,0.30208334,42,38,1,0,n29,3.114583,3.0
3.467448,0.24739583,72,62,1,0,n30,3.114583,3.0
3.561198,0.15364583,60,56,1,0,n31,3.114583,3.0
3.6432292,0.071614586,62,82,1,0,n32,3.114583,3.0
3.7434895,0.4765625,63,78,1,0,n33,3.114583,3.0
3.84375,0.3763021,58,67,1,0,n34,3.74349,4.0
3.9817708,0.23828125,67,33,1,0,n35,3.74349,4.0
4.0325522,0.203125,55,46,1,0,n36,3.74349,4.0
4.033854,0.20182292,43,43,1,0,n37,3.74349,4.0
4.033854,0.18619792,70,70,1,0,n38,3.74349,4.0
4.1184897,0.1015625,62,74,1,0,n39,3.74349,4.0
4.1861978,0.079427086,64,71,1,0,n40,3.74349,4.0
4.2708335,0.4453125,65,81,1,0,n41,4.270833,5.0
4.3606772,0.35546875,59,76,1,0,n42,4.270833,5.0
4.4375,0.27864584,71,67,1,0,n43,4.270833,5.0
4.4752603,0.24088542,56,58,1,0,n44,4.270833,5.0
4.4960938,0.2513021,44,64,1,0,n45,4.270833,5.0
4.5234375,0.19270833,74,80,1,0,n46,4.270833,5.0
4.59375,0.122395836,65,69,1,0,n47,4.270833,5.0
4.6575522,0.05859375,67,73,1,0,n48,4.270833,5.0
4.7304688,0.078125,68,92,1,0,n49,4.270833,5.0
