onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5114845,1.2913983,62,54,0,0,n0,-10.0,-10.0
1.0082788,9.497853,41,41,0,0,n1,-10.0,-10.0
1.6212591,4.4778266,57,35,0,0,n2,-10.0,-10.0
1.6252655,4.47382,51,37,0,0,n3,1.625265,0.0
1.7000517,2.2008524,60,59,0,0,n4,1.625265,0.0
1.706729,8.799403,65,63,0,0,n5,1.625265,0.0
2.9634051,0.93749905,62,71,0,0,n6,1.625265,0.0
3.6658616,0.2350425,60,57,0,0,n7,1.625265,0.0
3.8060858,0.17761734,62,65,0,0,n8,3.665862,3.0
3.934291,2.164795,63,59,0,0,n9,3.665862,3.0
4.903841,1.1952446,62,55,0,0,n10,3.665862,3.0
5.2350373,0.8640483,60,56,0,0,n11,3.665862,3.0
5.9415007,4.5646324,58,54,0,0,n12,5.9415,6.0
5.946842,4.5592904,50,37,0,0,n13,5.9415,6.0
7.8765945,2.629538,53,39,0,0,n14,5.9415,6.0
9.362971,1.1431613,62,49,0,0,n15,7.876595,9.0
9.755599,11.729422,41,44,0,0,n16,7.876595,9.0
10.2604065,4.4631367,57,41,0,0,n17,7.876595,9.0
10.272426,4.4511175,51,31,0,0,n18,10.272426,12.0
10.3018055,2.1447628,60,56,0,0,n19,10.272426,12.0
10.317832,11.16719,65,51,0,0,n20,10.272426,12.0
11.330117,1.1164519,62,66,0,0,n21,10.272426,12.0
11.681345,0.7652236,60,67,0,0,n22,10.272426,12.0
12.208856,0.23771344,62,59,0,0,n23,12.208855,15.0
12.374454,2.3490896,63,58,0,0,n24,12.208855,15.0
13.397423,1.3261205,62,50,0,0,n25,12.208855,15.0
13.757999,0.9655439,60,45,0,0,n26,12.208855,15.0
14.555274,6.9297476,50,34,0,0,n27,12.208855,15.0
14.576641,6.90838,58,42,0,0,n28,14.565957,18.0
17.668251,3.8167696,46,43,0,0,n29,16.50439,21.0
17.995441,3.48958,39,45,0,0,n30,16.50439,21.0
18.442823,3.0421977,55,58,0,0,n31,18.442823,24.0
18.50559,8.592406,70,57,0,0,n32,18.442823,24.0
19.596668,1.8883529,55,70,0,0,n33,18.442823,24.0
20.231016,1.2540052,58,74,0,0,n34,20.231016,27.0
21.06702,0.4180017,57,71,0,0,n35,20.231016,27.0
21.448963,0.9081187,55,73,0,0,n36,20.231016,27.0
21.474337,5.623659,58,56,0,0,n37,20.231016,27.0
21.801527,5.296469,38,63,0,0,n38,20.231016,27.0
22.272947,2.2716324,53,70,0,0,n39,20.231016,27.0
24.407026,2.6909695,46,45,0,0,n40,24.407026,33.0
25.98021,1.1177874,58,53,0,0,n41,24.407026,33.0
25.98288,1.1151164,46,45,0,0,n42,24.407026,33.0
26.874973,2.865916,36,43,0,0,n43,24.407026,33.0
26.975134,2.765756,63,61,0,0,n44,26.936535,36.0
26.988487,2.752401,51,45,0,0,n45,26.936535,36.0
28.095592,1.6452975,63,52,0,0,n46,26.936535,36.0
28.111618,1.6292719,51,38,0,0,n47,26.936535,36.0
28.454832,1.2860564,63,56,0,0,n48,26.936535,36.0
28.460175,1.2807145,51,43,0,0,n49,26.936535,36.0
29.041103,0.69978565,51,40,0,0,n50,29.02844,39.0
29.04511,0.6957792,63,48,0,0,n51,29.02844,39.0
29.234747,0.5061427,65,53,0,0,n52,29.02844,39.0
29.237417,0.50347173,53,35,0,0,n53,29.02844,39.0
29.521872,1.5972207,67,53,0,0,n54,29.02844,39.0
29.547247,1.5718467,55,39,0,0,n55,29.02844,39.0
30.658356,0.46073672,65,41,0,0,n56,29.02844,39.0
30.689072,0.43002093,53,35,0,0,n57,29.02844,39.0
31.05499,1.2219539,63,47,0,0,n58,29.02844,39.0
31.072351,1.2045928,51,37,0,0,n59,29.02844,39.0
32.028545,6.1885624,62,52,0,0,n60,29.02844,39.0
32.03923,6.1778784,50,30,0,0,n61,32.03923,42.0
32.05659,6.160517,38,28,0,0,n62,32.03923,42.0
35.377903,2.8392065,33,30,0,0,n63,34.096855,45.0
36.149803,2.0673056,62,46,0,0,n64,34.096855,45.0
36.152473,4.4711494,52,34,0,0,n65,34.096855,45.0
36.156483,4.467143,57,30,0,0,n66,36.154476,48.0
36.16583,2.05128,33,27,0,0,n67,36.154476,48.0
37.36508,0.8520291,33,33,0,0,n68,36.154476,48.0
38.056854,2.566771,33,28,0,0,n69,36.154476,48.0
38.062195,2.561429,61,45,0,0,n70,38.059525,51.0
39.01305,1.6105753,33,29,0,0,n71,38.059525,51.0
39.370953,1.2526697,33,38,0,0,n72,38.059525,51.0
40.401936,3.0608945,26,26,0,0,n73,38.059525,51.0
40.421967,3.0408623,38,25,0,0,n74,38.059525,51.0
40.440666,3.0221658,57,31,0,0,n75,38.059525,51.0
40.442,3.0208304,62,47,0,0,n76,40.441334,54.0
40.452682,3.0101466,54,33,0,0,n77,40.441334,54.0
43.2959,2.684292,43,53,0,0,n78,40.441334,54.0
43.29857,2.6816213,31,47,0,0,n79,40.441334,54.0
43.302574,2.677615,62,69,0,0,n80,40.441334,54.0
43.311924,2.6682665,53,51,0,0,n81,43.307247,57.0
43.314594,2.6655955,55,60,0,0,n82,43.307247,57.0
43.32127,2.6589184,59,59,0,0,n83,43.307247,57.0
44.98393,0.9962597,43,82,0,0,n84,43.307247,57.0
45.878693,1.6733423,48,75,0,0,n85,43.307247,57.0
45.882698,1.6412911,36,67,0,0,n86,43.307247,57.0
45.90941,1.6145817,60,86,0,0,n87,45.90941,60.0
45.91876,1.6052334,51,80,0,0,n88,45.90941,60.0
45.9241,1.5998915,55,79,0,0,n89,45.90941,60.0
47.598778,0.4019761,50,57,0,0,n90,45.90941,60.0
47.690926,0.30982876,51,70,0,0,n91,45.90941,60.0
47.773724,0.22702968,53,75,0,0,n92,45.90941,60.0
47.837826,0.16292718,55,71,0,0,n93,45.90941,60.0
47.946,1.9911839,56,89,0,0,n94,45.90941,60.0
47.959354,1.2379795,59,90,0,0,n95,47.959354,63.0
47.97004,1.2272958,53,76,0,0,n96,47.959354,63.0
49.539215,0.3979697,55,71,0,0,n97,47.959354,63.0
49.634033,0.3031514,53,71,0,0,n98,47.959354,63.0
49.70481,0.23237157,51,65,0,0,n99,47.959354,63.0
49.766243,0.17094,50,69,0,0,n100,47.959354,63.0
49.807644,0.12954047,55,81,0,0,n101,47.959354,63.0
49.919823,2.0379252,60,89,0,0,n102,47.959354,63.0
49.922493,1.2553406,36,77,0,0,n103,47.959354,63.0
49.92917,1.2486633,48,63,0,0,n104,49.92917,66.0
49.92917,1.2486633,51,81,0,0,n105,49.92917,66.0
51.54375,0.41399533,62,66,0,0,n106,49.92917,66.0
51.629223,0.3285253,63,74,0,0,n107,49.92917,66.0
51.710686,0.24706171,65,67,0,0,n108,49.92917,66.0
51.79482,0.16292718,67,75,0,0,n109,49.92917,66.0
51.896317,1.8442824,68,91,0,0,n110,49.92917,66.0
51.905663,1.1511741,46,58,0,0,n111,49.92917,66.0
51.911007,1.8295922,62,66,0,0,n112,51.908337,69.0
51.916348,1.1404903,34,49,0,0,n113,51.908337,69.0
53.338623,0.4019761,67,71,0,0,n114,51.908337,69.0
53.43611,0.30448687,65,75,0,0,n115,51.908337,69.0
53.494873,0.24572624,46,56,0,0,n116,51.908337,69.0
53.514904,0.22569422,63,81,0,0,n117,51.908337,69.0
53.608387,0.1322114,62,85,0,0,n118,51.908337,69.0
53.715225,1.3234495,67,87,0,0,n119,51.908337,69.0
53.725906,1.3127658,58,76,0,0,n120,51.908337,69.0
53.72724,1.8763336,51,63,0,0,n121,53.726578,72.0
53.735256,1.3034174,39,57,0,0,n122,53.726578,72.0
55.197594,0.4059825,54,61,0,0,n123,53.726578,72.0
55.27505,0.3285253,55,68,0,0,n124,53.726578,72.0
55.34984,0.25373906,57,76,0,0,n125,53.726578,72.0
55.456676,0.14690156,58,79,0,0,n126,53.726578,72.0
55.5555,1.9070494,50,77,0,0,n127,53.726578,72.0
55.5555,1.9070494,60,91,0,0,n128,53.726578,72.0
55.56485,1.8977011,66,89,0,0,n129,55.560173,75.0
55.57019,1.8923593,62,87,0,0,n130,55.560173,75.0
57.039207,0.4233436,58,70,0,0,n131,55.560173,75.0
57.12601,0.33653814,57,87,0,0,n132,55.560173,75.0
57.22751,0.2350425,55,76,0,0,n133,55.560173,75.0
57.29695,0.16559812,54,80,0,0,n134,55.560173,75.0
57.331673,0.13087593,62,83,0,0,n135,55.560173,75.0
57.4532,2.088673,55,79,0,0,n136,55.560173,75.0
57.45587,1.4035777,67,90,0,0,n137,55.560173,75.0
57.463886,2.0779893,43,70,0,0,n138,57.45988,78.0
57.463886,1.3955648,58,83,0,0,n139,57.45988,78.0
59.00101,0.5408648,69,79,0,0,n140,57.45988,78.0
59.097164,0.4447111,70,86,0,0,n141,57.45988,78.0
59.195988,0.3458864,72,82,0,0,n142,57.45988,78.0
59.29748,0.24439079,74,84,0,0,n143,57.45988,78.0
59.471096,1.5077442,75,95,0,0,n144,57.45988,78.0
59.4751,1.5037378,42,58,0,0,n145,59.4751,81.0
59.4751,2.3437476,54,60,0,0,n146,59.4751,81.0
59.484447,1.4943895,70,81,0,0,n147,59.4751,81.0
61.01089,0.8079586,74,90,0,0,n148,59.4751,81.0
61.13108,0.68776643,75,92,0,0,n149,59.4751,81.0
61.253944,0.56490326,77,88,0,0,n150,59.4751,81.0
61.378143,0.44070467,78,98,0,0,n151,59.4751,81.0
61.682632,2.5534163,53,50,0,0,n152,59.4751,81.0
61.683968,2.5520809,41,48,0,0,n153,59.4751,81.0
61.720024,2.5160232,78,94,0,0,n154,61.701996,84.0
61.732044,2.504004,69,74,0,0,n155,61.701996,84.0
63.160995,1.0750524,69,72,0,0,n156,61.701996,84.0
63.359978,0.8760675,70,86,0,0,n157,61.701996,84.0
63.54561,0.6904373,72,89,0,0,n158,61.701996,84.0
63.709873,0.52617466,74,92,0,0,n159,61.701996,84.0
64.06778,8.910248,54,40,0,0,n160,61.701996,84.0
64.069115,4.7302303,42,42,0,0,n161,61.701996,84.0
64.11986,2.0980215,75,82,0,0,n162,61.701996,84.0
64.13589,2.0819957,71,65,0,0,n163,64.12788,87.0
65.90805,2.89129,70,35,0,0,n164,64.12788,87.0
65.91874,2.8806062,74,58,0,0,n165,64.12788,87.0
66.5838,2.2155426,75,64,0,0,n166,64.12788,87.0
67.03118,1.7681606,77,73,0,0,n167,64.12788,87.0
67.64016,1.1591868,78,66,0,0,n168,64.12788,87.0
68.61238,4.3656473,39,39,0,0,n169,64.12788,87.0
68.67648,4.3015447,78,67,0,0,n170,68.67648,90.0
68.6885,4.2895255,71,50,0,0,n171,68.67648,90.0
69.95987,3.0181594,75,55,0,0,n172,68.67648,90.0
70.66099,2.3170383,71,53,0,0,n173,70.66099,93.0
71.9003,1.0777233,66,48,0,0,n174,70.66099,93.0
72.80575,2.2382457,52,42,0,0,n175,70.66099,93.0
72.80708,2.171472,64,57,0,0,n176,70.66099,93.0
72.81109,0.1669336,37,35,0,0,n177,72.81109,96.0
72.81109,2.1674657,56,44,0,0,n178,72.81109,96.0
72.8792,2.1300726,37,8,0,0,n179,72.81109,96.0
74.48978,0.48878157,55,39,0,0,n180,72.81109,96.0
74.579254,0.39930516,56,46,0,0,n181,72.81109,96.0
74.69143,0.2871258,58,52,0,0,n182,72.81109,96.0
74.80094,0.17761734,59,56,0,0,n183,72.81109,96.0
74.93582,2.0218997,64,55,0,0,n184,72.81109,96.0
74.93716,6.506404,42,39,0,0,n185,74.93716,99.0
74.93849,2.0192287,58,34,0,0,n186,74.93716,99.0
76.45826,0.49946532,63,54,0,0,n187,74.93716,99.0
76.58112,0.37660217,64,53,0,0,n188,74.93716,99.0
76.68128,0.27644202,66,57,0,0,n189,74.93716,99.0
76.78411,0.17361094,68,62,0,0,n190,74.93716,99.0
76.931015,4.512549,30,36,0,0,n191,74.93716,99.0
76.94971,4.493852,66,49,0,0,n192,76.94971,102.0
76.95104,4.492517,70,61,0,0,n193,76.94971,102.0
78.148964,3.2946014,63,51,0,0,n194,76.94971,102.0
78.90217,2.541397,58,41,0,0,n195,78.90217,105.0
80.299065,1.1444967,54,38,0,0,n196,78.90217,105.0
81.21386,2.139421,29,33,0,0,n197,78.90217,105.0
81.233894,2.1193888,41,30,0,0,n198,78.90217,105.0
81.2833,2.0699766,63,51,0,0,n199,81.2586,108.0
81.289986,2.0632992,56,48,0,0,n200,81.2586,108.0
82.84981,0.50347173,55,47,0,0,n201,81.2586,108.0
82.965996,0.38728595,56,46,0,0,n202,81.2586,108.0
83.05814,0.2951386,58,46,0,0,n203,81.2586,108.0
83.13961,0.213675,59,53,0,0,n204,81.2586,108.0
83.273155,4.039793,46,38,0,0,n205,81.2586,108.0
83.28384,1.9083848,58,46,0,0,n206,83.28384,111.0
83.28384,1.9083848,62,62,0,0,n207,83.28384,111.0
83.29185,4.021096,34,35,0,0,n208,83.28384,111.0
84.74217,0.45005298,61,48,0,0,n209,83.28384,111.0
84.85034,0.34188,62,52,0,0,n210,83.28384,111.0
84.94516,0.24706171,63,55,0,0,n211,83.28384,111.0
85.04799,0.14423062,65,60,0,0,n212,83.28384,111.0
85.17352,4.487175,66,64,0,0,n213,83.28384,111.0
85.17619,4.484504,63,55,0,0,n214,85.17486,114.0
87.158035,2.5026684,47,38,0,0,n215,85.17486,114.0
87.160706,2.4999976,35,37,0,0,n216,87.15937,117.0
88.52956,1.131142,58,37,0,0,n217,87.15937,117.0
89.42566,1.4917186,36,27,0,0,n218,87.15937,117.0
89.44703,4.431085,65,48,0,0,n219,87.15937,117.0
89.4497,7.111371,63,42,0,0,n220,87.15937,117.0
89.45504,4.5018654,41,34,0,0,n221,89.45237,120.0
89.464386,4.4137244,57,39,0,0,n222,89.45237,120.0
89.46706,4.411053,48,31,0,0,n223,89.45237,120.0
90.510056,0.40731797,38,38,0,0,n224,89.45237,120.0
90.85194,0.78792655,36,45,0,0,n225,89.45237,120.0
91.30867,0.33119625,36,40,0,0,n226,91.30867,123.0
91.447556,0.1923075,38,44,0,0,n227,91.30867,123.0
91.59713,1.518428,39,44,0,0,n228,91.30867,123.0
92.710915,0.40464702,38,44,0,0,n229,91.30867,123.0
93.09286,0.7852556,36,43,0,0,n230,91.30867,123.0
93.82736,2.7337046,34,45,0,0,n231,91.30867,123.0
93.93153,4.9439054,65,47,0,0,n232,91.30867,123.0
93.94355,4.931886,53,30,0,0,n233,93.93754,126.0
93.94889,4.926544,58,26,0,0,n234,93.93754,126.0
94.47106,2.0900085,50,34,0,0,n235,93.93754,126.0
96.46358,2.4118567,29,34,0,0,n236,96.46358,129.0
97.85113,1.0243045,38,47,0,0,n237,96.46358,129.0
98.692474,1.2045928,36,46,0,0,n238,96.46358,129.0
98.69381,4.678147,65,51,0,0,n239,96.46358,129.0
98.69915,4.6728053,41,45,0,0,n240,96.46358,129.0
98.711174,4.660786,48,39,0,0,n241,98.70516,132.0
98.72586,4.6460958,57,38,0,0,n242,98.70516,132.0
98.78329,8.736636,63,20,0,0,n243,98.70516,132.0
99.76887,0.37660217,38,54,0,0,n244,98.70516,132.0
100.14413,0.77190095,36,55,0,0,n245,98.70516,132.0
100.69568,0.22035234,36,43,0,0,n246,100.69568,135.0
100.81454,0.14556609,38,45,0,0,n247,100.69568,135.0
100.96144,1.3501589,39,43,0,0,n248,100.69568,135.0
102.032486,0.34455094,38,43,0,0,n249,100.69568,135.0
102.41042,0.9615375,36,41,0,0,n250,100.69568,135.0
103.29851,4.221417,34,42,0,0,n251,100.69568,135.0
103.371956,4.147966,65,37,0,0,n252,100.69568,135.0
103.379974,7.6362104,58,15,0,0,n253,103.379974,138.0
103.382645,4.1372824,53,23,0,0,n254,103.379974,138.0
104.26405,3.2558727,50,31,0,0,n255,103.379974,138.0
107.09925,3.91693,46,50,0,0,n256,105.660286,141.0
107.47185,3.5443342,39,56,0,0,n257,105.660286,141.0
107.9406,3.0755847,55,64,0,0,n258,107.9406,144.0
108.030075,3.826118,70,61,0,0,n259,107.9406,144.0
109.17056,1.8456178,55,68,0,0,n260,107.9406,144.0
109.756836,1.2593471,58,68,0,0,n261,109.756836,147.0
110.61821,0.3979697,57,65,0,0,n262,109.756836,147.0
110.96009,0.8960995,55,65,0,0,n263,109.756836,147.0
110.964096,2.6963115,58,63,0,0,n264,109.756836,147.0
111.318,3.8140988,38,59,0,0,n265,109.756836,147.0
111.740005,3.3920906,53,57,0,0,n266,111.740005,150.0
111.74935,1.9110558,70,63,0,0,n267,111.740005,150.0
112.60806,1.0523493,70,59,0,0,n268,111.740005,150.0
112.9219,0.73851424,70,69,0,0,n269,111.740005,150.0
113.3212,0.33920905,70,58,0,0,n270,111.740005,150.0
113.46677,0.19364297,72,63,0,0,n271,111.740005,150.0
113.57494,1.5571566,62,46,0,0,n272,111.740005,150.0
113.582954,1.5491438,74,69,0,0,n273,113.582954,153.0
113.59764,1.5344536,46,40,0,0,n274,113.582954,153.0
114.42162,0.71046937,72,71,0,0,n275,113.582954,153.0
114.44166,0.6904373,60,59,0,0,n276,113.582954,153.0
114.53781,0.5942836,38,58,0,0,n277,113.582954,153.0
114.64465,0.4874461,46,60,0,0,n278,113.582954,153.0
114.76217,2.797807,70,75,0,0,n279,113.582954,153.0
114.76752,2.7924652,58,73,0,0,n280,113.582954,153.0
114.7782,0.3538992,54,74,0,0,n281,113.582954,153.0
115.12542,2.4345596,39,75,0,0,n282,113.582954,153.0
115.24828,2.3116963,46,66,0,0,n283,113.582954,153.0
115.574135,1.985842,55,75,0,0,n284,113.582954,153.0
115.66094,1.8990365,58,57,0,0,n285,115.631676,156.0
115.66094,3.8595047,70,73,0,0,n286,115.631676,156.0
116.821465,0.73851424,55,77,0,0,n287,115.631676,156.0
117.22611,1.6493039,40,62,0,0,n288,115.631676,156.0
117.36099,1.5144216,49,76,0,0,n289,115.631676,156.0
117.54128,1.3341333,58,80,0,0,n290,117.534195,159.0
118.47878,0.39663422,57,77,0,0,n291,117.534195,159.0
118.80597,0.7144758,55,74,0,0,n292,117.534195,159.0
118.81666,2.5534163,58,79,0,0,n293,117.534195,159.0
119.36954,2.0005322,41,56,0,0,n294,117.534195,159.0
119.37488,1.9951903,50,58,0,0,n295,119.37488,162.0
119.37621,1.9938549,53,64,0,0,n296,119.37488,162.0
119.488396,1.8816755,70,87,0,0,n297,119.37488,162.0
120.399185,0.97088575,70,72,0,0,n298,119.37488,162.0
120.71302,0.6570506,70,79,0,0,n299,119.37488,162.0
121.06959,0.30048046,70,61,0,0,n300,119.37488,162.0
121.175095,0.19497843,72,69,0,0,n301,119.37488,162.0
