idx,matchtype,partid,ppartid
0,1,n22-1,undefined
1,0,n18-1,n3
2,0,n19-1,n2
3,0,n8-1,n5
4,0,n10-1,n7
5,0,n9-1,n6
6,0,n11-1,n8
7,0,n12-1,n9
8,0,n6-1,n4
9,1,n20-1,undefined
10,0,n21-1,n12
11,0,n15-1,n13
12,0,n14-1,n11
13,0,n13-1,n10
14,0,n16-1,n14
15,0,n38-1,n16
16,0,n33-1,n18
17,0,n34-1,n17
18,0,n25-1,n20
19,0,n17-1,n15
20,0,n23-1,n19
21,0,n27-1,n22
22,0,n26-1,n21
23,0,n28-1,n23
24,0,n29-1,n24
25,0,n35-1,n28
26,0,n32-1,n27
27,0,n31-1,n26
28,0,n30-1,n25
29,0,n57-1,n30
30,0,n37-1,n29
31,1,n58-1,undefined
32,0,n48-1,n31
33,0,n39-1,n32
34,0,n49-1,n33
35,0,n50-1,n34
36,0,n59-1,n38
37,1,n60-1,undefined
38,0,n53-1,n39
39,0,n52-1,n36
40,0,n51-1,n35
41,0,n41-1,n37
42,0,n42-1,n40
43,0,n54-1,n41
44,0,n89-1,n44
45,1,n90-1,undefined
46,0,n56-1,n43
47,0,n78-1,n47
48,0,n47-1,n42
49,0,n64-1,n45
50,0,n79-1,n48
51,0,n80-1,n50
52,0,n81-1,n53
53,0,n82-1,n54
54,0,n83-1,n57
55,0,n65-1,n49
56,0,n66-1,n51
57,0,n67-1,n52
58,0,n68-1,n55
59,0,n69-1,n56
60,0,n93-1,n64
61,0,n86-1,n63
62,0,n85-1,n61
63,0,n84-1,n58
64,0,n72-1,n62
65,0,n71-1,n60
66,0,n70-1,n59
67,0,n95-1,n65
68,0,n110-1,n66
69,0,n119-1,n69
70,0,n120-1,n68
71,0,n103-1,n67
72,0,n111-1,n70
73,0,n112-1,n71
74,0,n104-1,n72
75,0,n115-1,n79
76,0,n113-1,n73
77,0,n114-1,n74
78,0,n121-1,n76
79,0,n122-1,n75
80,0,n105-1,n77
81,0,n116-1,n81
82,0,n117-1,n82
83,0,n106-1,n80
84,0,n107-1,n83
85,0,n108-1,n84
86,0,n109-1,n85
87,0,n158-1,n91
88,0,n118-1,n86
89,0,n159-1,n87
90,0,n143-1,n88
91,0,n144-1,n89
92,0,n145-1,n90
93,0,n161-1,n92
94,0,n162-1,n93
95,0,n163-1,n94
96,0,n147-1,n97
97,0,n164-1,n95
98,0,n165-1,n98
99,0,n148-1,n96
100,0,n151-1,n105
101,0,n152-1,n107
102,0,n170-1,n102
103,0,n169-1,n101
104,0,n127-1,n106
105,0,n168-1,n100
106,0,n167-1,n99
107,0,n150-1,n103
108,0,n128-1,n104
