xml_id	midi_id	track	channel	pitch	onset
n16-1	n2	1	0	43	0.938035079166667
n20-1	n9	1	0	43	1.239317416666667
n17-1	n4	1	0	48	0.9700863916666669
n21-1	n11	1	0	50	1.2905995166666668
n18-1	n6	1	0	57	1.0053428354166667
n22-1	n13	1	0	59	1.3311978458333333
n12-1	n16	1	0	65	1.4155996354166667
n8-1	n7	1	0	66	1.0897446250000002
n2-1	n0	1	0	67	0.7788468937500002
n1-1	deletion
n13-1	n17	1	0	71	1.474360375
n3-1	n1	1	0	72	0.8685905687500002
n9-1	n8	1	0	72	1.2072661041666668
n4-1	n3	1	0	74	0.9444453416666669
n11-1	n12	1	0	74	1.3226508291666668
n14-1	n19	1	0	74	1.5608989187500002
n7-1	n5	1	0	75	0.9871804250000001
n10-1	n10	1	0	75	1.2713687291666669
n36-1	n18	1	0	43	1.5395313770833334
n37-1	n20	1	0	51	1.6004288708333334
n38-1	n21	1	0	60	1.6559844791666667
n27-1	n25	1	0	63	1.9166684875
n26-1	n24	1	0	66	1.8579077479166666
n25-1	n23	1	0	69	1.7735059583333332
n24-1	n22	1	0	72	1.68269390625
n34-1	deletion
n35-1	deletion
n43-1	n29	1	0	51	2.121796887500001
n42-1	n28	1	0	54	2.094019083333334
n41-1	n27	1	0	57	2.0384634750000004
n40-1	n26	1	0	60	1.9754292270833334
n29-1	n30	1	0	67	2.2019251687500008
n32-1	deletion
n53-1	n32	1	0	43	2.292737220833334
n54-1	n35	1	0	48	2.344019320833334
n55-1	n36	1	0	57	2.356839845833334
n45-1	n37	1	0	66	2.428421110416667
n46-1	n38	1	0	72	2.5160280312500003
n44-1	n34	1	0	75	2.3386774354166673
n47-1	n40	1	0	75	2.595087935416667
n57-1	n39	1	0	43	2.5683785083333337
n58-1	n41	1	0	50	2.6185922312500005
n59-1	n43	1	0	59	2.6698743312500004
n49-1	n46	1	0	65	2.7435923500000006
n50-1	n47	1	0	71	2.8023530895833337
n48-1	n42	1	0	74	2.645301658333334
n51-1	n49	1	0	74	2.89423351875
n73-1	n48	1	0	43	2.8717976000000003
n74-1	n44	1	0	51	2.7083359062500003
n80-1	n50	1	0	51	2.9252164541666668
n75-1	n51	1	0	60	3.017096883333333
n64-1	n56	1	0	63	3.338678385416667
n63-1	n55	1	0	66	3.2638919895833336
n71-1	n61	1	0	67	3.6410291000000004
n72-1	n62	1	0	68	3.6709436583333335
n85-1	n70	1	0	68	4.058764539583333
n88-1	n74	1	0	68	4.293807497916665
n62-1	n54	1	0	69	3.1730799375000003
n61-1	n53	1	0	72	3.049148195833333
n79-1	deletion
n78-1	n58	1	0	57	3.4241485520833335
n77-1	n57	1	0	60	3.397439125
n69-1	n59	1	0	63	3.574789720833334
n66-1	deletion
n91-1	n60	1	0	43	3.6388923458333338
n93-1	n67	1	0	43	3.924149027083333
n109-1	n73	1	0	43	4.224362987499999
n90-1	deletion
n94-1	deletion
n92-1	n63	1	0	52	3.7126103645833335
n82-1	n65	1	0	61	3.808764302083333
n83-1	n66	1	0	67	3.872866927083333
