onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.99869794,0.4309896,55,93,1,0,n0,-10.0,-10.0
1.0,0.4296875,43,92,1,0,n1,1.0,0.0
1.0026041,0.42708334,31,84,1,0,n2,1.0,0.0
1.3945312,0.74088544,83,91,1,0,n3,1.0,0.0
1.3984375,0.7369792,71,93,1,0,n4,1.0,0.0
1.4010416,0.734375,62,91,1,0,n5,1.0,0.0
1.4010416,0.734375,77,94,1,0,n6,1.0,0.0
1.4049479,0.73046875,50,85,1,0,n7,1.0,0.0
1.4049479,0.73046875,55,87,1,0,n8,1.0,0.0
1.8841146,0.2513021,84,93,1,0,n9,1.5852865,1.0
1.8919271,0.24348958,48,80,1,0,n10,1.5852865,1.0
1.8919271,0.24348958,60,77,1,0,n11,1.5852865,1.0
1.8945312,0.24088542,72,78,1,0,n12,1.5852865,1.0
1.8945312,0.24088542,76,77,1,0,n13,1.5852865,1.0
2.1666667,0.079427086,78,89,1,0,n14,1.5852865,1.0
2.170573,0.041666668,57,81,1,0,n15,2.170573,2.0
2.170573,0.03125,66,81,1,0,n16,2.170573,2.0
2.170573,0.03125,72,77,1,0,n17,2.170573,2.0
2.1744792,0.0546875,50,76,1,0,n18,2.170573,2.0
2.1757812,0.041666668,45,75,1,0,n19,2.170573,2.0
2.4596355,0.4388021,81,95,1,0,n20,2.170573,2.0
2.467448,0.5572917,50,59,1,0,n21,2.170573,2.0
2.4726562,0.42578125,54,76,1,0,n22,2.170573,2.0
2.4726562,0.42578125,72,77,1,0,n23,2.170573,2.0
2.4765625,0.421875,42,71,1,0,n24,2.170573,2.0
2.4765625,0.421875,69,70,1,0,n25,2.170573,2.0
2.96875,0.048177082,79,84,1,0,n26,2.7379558,3.0
2.9804688,0.040364582,43,64,1,0,n27,2.7379558,3.0
2.9817708,0.03515625,71,62,1,0,n28,2.7379558,3.0
2.983073,0.04296875,67,62,1,0,n29,2.7379558,3.0
2.985677,0.045572918,55,64,1,0,n30,2.7379558,3.0
3.2994792,0.0859375,72,66,1,0,n31,2.7379558,3.0
3.3007812,0.09765625,64,63,1,0,n32,2.7379558,3.0
3.3098958,0.052083332,48,58,1,0,n33,3.3053384,4.0
3.311198,0.044270832,60,55,1,0,n34,3.3053384,4.0
3.4166667,0.109375,71,63,1,0,n35,3.3053384,4.0
3.421875,0.065104164,65,58,1,0,n36,3.3053384,4.0
3.423177,0.067708336,55,65,1,0,n37,3.3053384,4.0
3.5546875,0.091145836,72,68,1,0,n38,3.3053384,4.0
3.561198,0.092447914,64,62,1,0,n39,3.3053384,4.0
3.578125,0.07421875,60,54,1,0,n40,3.3053384,4.0
3.5872395,0.32421875,48,60,1,0,n41,3.3053384,4.0
3.6653645,0.12109375,71,67,1,0,n42,3.3053384,4.0
3.6770833,0.080729164,65,61,1,0,n43,3.3053384,4.0
3.7005208,0.092447914,55,51,1,0,n44,3.3053384,4.0
3.8098958,0.102864586,64,69,1,0,n45,3.3053384,4.0
3.8098958,0.083333336,72,70,1,0,n46,3.3053384,4.0
3.8229167,0.096354164,60,59,1,0,n47,3.809896,5.0
3.9244792,0.108072914,71,66,1,0,n48,3.809896,5.0
3.9335938,0.1015625,65,58,1,0,n49,3.809896,5.0
3.951823,0.067708336,55,59,1,0,n50,3.809896,5.0
4.065104,0.098958336,64,66,1,0,n51,3.809896,5.0
4.065104,0.09765625,72,67,1,0,n52,3.809896,5.0
4.0742188,0.065104164,60,60,1,0,n53,3.809896,5.0
4.0846353,0.0703125,48,57,1,0,n54,3.809896,5.0
4.1770835,0.109375,73,69,1,0,n55,3.809896,5.0
4.1914062,0.045572918,55,54,1,0,n56,3.809896,5.0
4.1914062,0.072916664,67,59,1,0,n57,3.809896,5.0
4.309896,0.087239586,48,62,1,0,n58,3.809896,5.0
4.3125,0.052083332,62,67,1,0,n59,3.809896,5.0
4.3164062,0.080729164,74,70,1,0,n60,4.314453,6.0
4.3190103,0.088541664,65,63,1,0,n61,4.314453,6.0
4.4257812,0.119791664,73,68,1,0,n62,4.314453,6.0
4.4296875,0.106770836,68,65,1,0,n63,4.314453,6.0
4.4335938,0.05859375,56,60,1,0,n64,4.314453,6.0
4.5664062,0.3893229,48,62,1,0,n65,4.314453,6.0
4.5677085,0.057291668,62,63,1,0,n66,4.314453,6.0
4.5677085,0.087239586,74,71,1,0,n67,4.314453,6.0
4.5716147,0.095052086,65,64,1,0,n68,4.314453,6.0
4.6796875,0.109375,73,71,1,0,n69,4.314453,6.0
4.6861978,0.102864586,68,63,1,0,n70,4.314453,6.0
4.690104,0.083333336,56,59,1,0,n71,4.314453,6.0
4.8059897,0.087239586,74,73,1,0,n72,4.314453,6.0
4.8125,0.063802086,62,67,1,0,n73,4.8125,7.0
4.8125,0.14322917,65,63,1,0,n74,4.8125,7.0
4.9205728,0.075520836,56,64,1,0,n75,4.8125,7.0
4.9205728,0.071614586,68,70,1,0,n76,4.8125,7.0
4.9205728,0.087239586,73,72,1,0,n77,4.8125,7.0
5.0403647,0.053385418,62,65,1,0,n78,4.8125,7.0
5.0520835,0.14322917,48,61,1,0,n79,4.8125,7.0
5.0533853,0.14192708,65,63,1,0,n80,4.8125,7.0
5.0533853,0.14192708,76,74,1,0,n81,4.8125,7.0
5.1497397,0.053385418,74,75,1,0,n82,4.8125,7.0
5.1549478,0.040364582,71,67,1,0,n83,4.8125,7.0
5.1627603,0.063802086,55,63,1,0,n84,4.8125,7.0
5.2903647,0.063802086,60,62,1,0,n85,4.8125,7.0
5.2916665,0.076822914,48,58,1,0,n86,4.8125,7.0
5.294271,0.069010414,72,74,1,0,n87,5.292969,8.0
5.299479,0.059895832,64,69,1,0,n88,5.292969,8.0
5.4049478,0.065104164,55,55,1,0,n89,5.292969,8.0
5.4075522,0.109375,65,68,1,0,n90,5.292969,8.0
5.4101562,0.109375,71,62,1,0,n91,5.292969,8.0
5.5429688,0.104166664,64,67,1,0,n92,5.292969,8.0
5.5429688,0.078125,72,65,1,0,n93,5.292969,8.0
5.5455728,0.3450521,48,58,1,0,n94,5.292969,8.0
5.549479,0.071614586,60,55,1,0,n95,5.292969,8.0
5.6497397,0.102864586,65,72,1,0,n96,5.292969,8.0
5.658854,0.110677086,71,66,1,0,n97,5.292969,8.0
5.6653647,0.092447914,55,62,1,0,n98,5.292969,8.0
5.783854,0.109375,64,71,1,0,n99,5.783854,9.0
5.783854,0.087239586,72,69,1,0,n100,5.783854,9.0
5.794271,0.088541664,60,60,1,0,n101,5.783854,9.0
5.8919272,0.09375,65,71,1,0,n102,5.783854,9.0
5.9023438,0.098958336,71,64,1,0,n103,5.783854,9.0
5.9127603,0.0625,55,63,1,0,n104,5.783854,9.0
6.0234375,0.092447914,72,72,1,0,n105,5.783854,9.0
6.0260415,0.080729164,64,71,1,0,n106,5.783854,9.0
6.03125,0.069010414,60,60,1,0,n107,5.783854,9.0
6.0325522,0.078125,48,62,1,0,n108,5.783854,9.0
6.1354165,0.100260414,73,68,1,0,n109,5.783854,9.0
6.143229,0.048177082,55,63,1,0,n110,5.783854,9.0
6.143229,0.057291668,67,64,1,0,n111,5.783854,9.0
6.2617188,0.098958336,65,69,1,0,n112,5.783854,9.0
6.2617188,0.088541664,74,74,1,0,n113,5.783854,9.0
6.265625,0.069010414,48,58,1,0,n114,6.263672,10.0
6.265625,0.048177082,62,67,1,0,n115,6.263672,10.0
6.3697915,0.106770836,68,68,1,0,n116,6.263672,10.0
6.3697915,0.123697914,73,68,1,0,n117,6.263672,10.0
6.3736978,0.036458332,56,59,1,0,n118,6.263672,10.0
6.5104165,0.067708336,62,64,1,0,n119,6.263672,10.0
6.5117188,0.484375,48,62,1,0,n120,6.263672,10.0
6.5143228,0.09765625,65,69,1,0,n121,6.263672,10.0
6.5143228,0.088541664,74,71,1,0,n122,6.263672,10.0
6.6210938,0.0859375,56,60,1,0,n123,6.263672,10.0
6.627604,0.09375,68,67,1,0,n124,6.263672,10.0
6.627604,0.111979164,73,74,1,0,n125,6.263672,10.0
6.7395835,0.2565104,62,71,1,0,n126,6.263672,10.0
6.7486978,0.24739583,74,75,1,0,n127,6.263672,10.0
6.7539062,0.2421875,65,65,1,0,n128,6.748698,11.0
6.8554688,0.140625,56,61,1,0,n129,6.748698,11.0
6.8580728,0.13802083,68,69,1,0,n130,6.748698,11.0
6.861979,0.13411458,73,69,1,0,n131,6.748698,11.0
6.9752603,0.07421875,74,77,1,0,n132,6.748698,11.0
6.9791665,0.09765625,65,73,1,0,n133,6.748698,11.0
6.981771,0.088541664,48,63,1,0,n134,6.748698,11.0
6.981771,0.048177082,62,66,1,0,n135,6.748698,11.0
7.0859375,0.055989582,55,65,1,0,n136,6.748698,11.0
7.0924478,0.108072914,75,68,1,0,n137,6.748698,11.0
7.0950522,0.07421875,71,68,1,0,n138,6.748698,11.0
7.2174478,0.072916664,76,78,1,0,n139,6.748698,11.0
7.2200522,0.0703125,60,66,1,0,n140,6.748698,11.0
7.2226562,0.087239586,64,73,1,0,n141,7.221354,12.0
7.2252603,0.083333336,48,67,1,0,n142,7.221354,12.0
7.3333335,0.049479168,55,66,1,0,n143,7.221354,12.0
7.3385415,0.125,75,71,1,0,n144,7.221354,12.0
7.3398438,0.084635414,72,67,1,0,n145,7.221354,12.0
7.471354,0.111979164,60,68,1,0,n146,7.221354,12.0
7.4726562,0.095052086,76,75,1,0,n147,7.221354,12.0
7.4752603,0.109375,64,74,1,0,n148,7.221354,12.0
7.4765625,0.40104166,48,66,1,0,n149,7.221354,12.0
7.5846353,0.098958336,72,72,1,0,n150,7.221354,12.0
7.5898438,0.088541664,55,69,1,0,n151,7.221354,12.0
7.596354,0.102864586,75,76,1,0,n152,7.221354,12.0
7.7083335,0.16927083,60,74,1,0,n153,7.708333,13.0
7.7083335,0.16927083,76,78,1,0,n154,7.708333,13.0
7.7174478,0.16015625,64,73,1,0,n155,7.708333,13.0
7.8190103,0.05859375,55,71,1,0,n156,7.708333,13.0
7.8190103,0.05859375,72,71,1,0,n157,7.708333,13.0
7.8242188,0.061197918,75,78,1,0,n158,7.708333,13.0
7.9414062,0.19270833,76,83,1,0,n159,7.708333,13.0
7.950521,0.036458332,60,67,1,0,n160,7.708333,13.0
7.950521,0.18359375,64,76,1,0,n161,7.708333,13.0
7.953125,0.18098958,46,77,1,0,n162,7.708333,13.0
8.037761,0.096354164,67,78,1,0,n163,7.708333,13.0
8.042969,0.091145836,72,74,1,0,n164,7.708333,13.0
