onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.5,0.0,0.5,0,4,31,5,n8-1,0.0,1.001302
0.0,0.5,0.0,0.5,0,4,43,5,n9-1,0.0,1.001302
0.0,0.5,0.0,0.5,0,4,55,1,n1-1,0.0,1.001302
0.5,1.0,0.5,1.0,4,8,50,5,n10-1,0.0,1.001302
0.5,1.0,0.5,1.0,4,8,55,5,n11-1,0.0,1.001302
0.5,1.0,0.5,1.0,4,8,62,5,n12-1,0.0,1.001302
0.5,1.0,0.5,1.0,4,8,71,1,n2-1,0.0,1.001302
0.5,1.0,0.5,1.0,4,8,77,1,n3-1,0.0,1.001302
0.5,1.0,0.5,1.0,4,8,83,1,n4-1,0.0,1.001302
1.5,0.5,1.5,0.5,12,4,48,5,n13-1,1.0,1.6640625
1.5,0.5,1.5,0.5,12,4,60,5,n14-1,1.0,1.6640625
1.5,0.5,1.5,0.5,12,4,72,1,n5-1,1.0,1.6640625
1.5,0.5,1.5,0.5,12,4,76,1,n6-1,1.0,1.6640625
1.5,0.5,1.5,0.5,12,4,84,1,n7-1,1.0,1.6640625
2.0,0.5,2.0,0.5,16,4,45,5,n24-1,2.0,2.326823
2.0,0.5,2.0,0.5,16,4,50,5,n25-1,2.0,2.326823
2.0,0.5,2.0,0.5,16,4,57,5,n26-1,2.0,2.326823
2.0,0.5,2.0,0.5,16,4,66,1,n15-1,2.0,2.326823
2.0,0.5,2.0,0.5,16,4,72,1,n16-1,2.0,2.326823
2.0,0.5,2.0,0.5,16,4,78,1,n17-1,2.0,2.326823
2.5,1.0,2.5,1.0,20,8,42,5,n27-1,2.0,2.326823
2.5,1.0,2.5,1.0,20,8,50,5,n28-1,2.0,2.326823
2.5,1.0,2.5,1.0,20,8,54,5,n29-1,2.0,2.326823
2.5,1.0,2.5,1.0,20,8,69,1,n18-1,2.0,2.326823
2.5,1.0,2.5,1.0,20,8,72,1,n19-1,2.0,2.326823
2.5,1.0,2.5,1.0,20,8,81,1,n20-1,2.0,2.326823
3.5,0.5,3.5,0.5,28,4,43,5,n30-1,3.0,3.1510415
3.5,0.5,3.5,0.5,28,4,55,5,n31-1,3.0,3.1510415
3.5,0.5,3.5,0.5,28,4,67,1,n21-1,3.0,3.1510415
3.5,0.5,3.5,0.5,28,4,71,1,n22-1,3.0,3.1510415
3.5,0.5,3.5,0.5,28,4,79,1,n23-1,3.0,3.1510415
4.0,0.5,4.0,0.5,32,4,48,6,n56-1,4.0,3.97526
