xml_id	midi_id	track	channel	pitch	onset
n33-1	n0	0	0	46	2.9423104874999995
n35-1	n20	0	0	46	6.498937797916666
n70-1	n32	0	0	46	8.716888622916668
n34-1	deletion
n69-1	deletion
n21-1	n2	0	0	53	3.472225520833333
n23-1	n9	0	0	53	4.757483152083333
n25-1	n15	0	0	53	5.4807744375
n27-1	n19	0	0	53	6.131416081249999
n1-1	n3	0	0	61	3.476499029166666
n3-1	n6	0	0	61	4.730773725
n5-1	n12	0	0	61	5.4679539125
n7-1	n18	0	0	61	6.12821095
n22-1	n4	0	0	65	3.4839776687499993
n24-1	n8	0	0	65	4.74359425
n26-1	n13	0	0	65	5.470090666666667
n28-1	n17	0	0	65	6.126074195833333
n2-1	n5	0	0	70	3.489319554166666
n4-1	n7	0	0	70	4.731842102083333
n6-1	n14	0	0	70	5.470090666666667
n8-1	n16	0	0	70	6.110048539583333
n10-1	deletion
n13-1	n1	0	0	73	3.4519263562499996
n14-1	n10	0	0	73	5.11218434375
n15-1	n11	0	0	73	5.457270141666666
n36-1	deletion
n29-1	n23	0	0	54	7.039536602083333
n31-1	n26	0	0	54	8.011759747916667
n9-1	n22	0	0	63	7.024579322916667
n11-1	n27	0	0	63	8.017101633333333
n30-1	n24	0	0	66	7.05128875
n32-1	n30	0	0	66	8.209409508333334
n12-1	n29	0	0	70	8.197657360416667
n20-1	deletion
n17-1	n25	0	0	73	7.74680223125
n19-1	n31	0	0	75	8.5320593875
n16-1	n21	0	0	77	7.012827175
n18-1	n28	0	0	77	8.166674425
n57-1	n36	0	0	53	9.511761172916666
n59-1	n40	0	0	53	10.407061168749998
n37-1	n34	0	0	61	9.493598762499998
n39-1	n38	0	0	61	10.378214987499998
n58-1	n35	0	0	65	9.496803893749998
n60-1	n39	0	0	65	10.384625249999997
n38-1	n33	0	0	70	8.902786235416666
n49-1	n37	0	0	70	9.583342437499999
n50-1	n45	0	0	70	11.547019516666662
n44-1	n50	0	0	70	12.616464977083327
n46-1	n54	0	0	70	13.29061091666666
n48-1	n59	0	0	70	13.989329529166655
n71-1	n62	0	0	70	14.86967224583332
n40-1	deletion
n42-1	deletion
n51-1	n41	0	0	71	10.689112718749998
n52-1	n42	0	0	72	11.04595066458333
n61-1	n47	0	0	53	11.566250304166662
n63-1	n52	0	0	53	12.629285502083327
