onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.9423106,3.632482,46,47,0,0,n0,-10.0,-10.0
3.4519265,3.1228662,73,72,0,0,n1,-10.0,-10.0
3.4722254,3.102567,53,42,0,0,n2,-10.0,-10.0
3.476499,3.0982935,61,45,0,0,n3,3.4743626,0.0
3.4839776,3.0908148,65,36,0,0,n4,3.4743626,0.0
3.4893196,3.085473,70,40,0,0,n5,3.4743626,0.0
4.730774,1.8440188,61,36,0,0,n6,3.4743626,0.0
4.731842,1.8429505,70,44,0,0,n7,3.4743626,0.0
4.743594,1.8311983,65,13,0,0,n8,3.4743626,0.0
4.757483,1.8173094,53,28,0,0,n9,3.4743626,0.0
5.1121845,1.4626082,73,55,0,0,n10,3.4743626,0.0
5.45727,3.3547041,73,59,0,0,n11,3.4743626,0.0
5.4679537,1.1068387,61,30,0,0,n12,3.4743626,0.0
5.470091,1.1047019,65,24,0,0,n13,5.470091,1.0
5.470091,1.1047019,70,37,0,0,n14,5.470091,1.0
5.4807744,1.0940181,53,26,0,0,n15,5.470091,1.0
6.110049,2.7019258,70,48,0,0,n16,5.470091,1.0
6.1260743,0.44871837,65,26,0,0,n17,5.470091,1.0
6.128211,0.44658163,61,32,0,0,n18,5.470091,1.0
6.131416,0.44337648,53,34,0,0,n19,5.470091,1.0
6.4989376,2.3130364,46,65,0,0,n20,5.470091,1.0
7.0128274,1.799147,77,76,0,0,n21,5.470091,1.0
7.0245795,1.7873949,63,50,0,0,n22,7.024579,2.0
7.0395365,1.7724376,54,43,0,0,n23,7.024579,2.0
7.0512886,1.7606854,66,40,0,0,n24,7.024579,2.0
7.7468023,1.065172,73,76,0,0,n25,7.024579,2.0
8.01176,0.8002144,54,42,0,0,n26,7.024579,2.0
8.017101,0.7948725,63,36,0,0,n27,7.024579,2.0
8.166675,0.6485049,77,76,0,0,n28,7.024579,2.0
8.197658,0.6143168,70,43,0,0,n29,7.024579,2.0
8.20941,0.6025647,66,43,0,0,n30,7.024579,2.0
8.53206,3.1826954,75,74,0,0,n31,7.024579,2.0
8.716888,2.9978662,46,52,0,0,n32,7.024579,2.0
8.902786,2.8119686,70,72,0,0,n33,8.809837,3.0
9.493599,2.221156,61,31,0,0,n34,8.809837,3.0
9.496804,2.2179508,65,37,0,0,n35,8.809837,3.0
9.511761,2.2029936,53,34,0,0,n36,8.809837,3.0
