onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.51282,3.8114278,46,45,0,0,n0,-10.0,-10.0
0.98958236,3.3346655,53,38,0,0,n1,-10.0,-10.0
0.9909178,3.33333,73,65,0,0,n2,-10.0,-10.0
1.02564,3.2986078,70,46,0,0,n3,1.008279,0.0
1.0336528,3.290595,61,46,0,0,n4,1.008279,0.0
1.0670395,3.2572083,65,42,0,0,n5,1.008279,0.0
1.8482888,2.475959,53,37,0,0,n6,1.008279,0.0
1.8696562,2.4545915,65,33,0,0,n7,1.008279,0.0
1.8816755,2.4425724,61,48,0,0,n8,1.008279,0.0
1.8816755,2.4425724,70,58,0,0,n9,1.008279,0.0
2.3317285,1.9925194,73,74,0,0,n10,1.008279,0.0
2.4505851,1.8736627,53,14,0,0,n11,1.008279,0.0
2.5627646,1.7614833,73,75,0,0,n12,1.008279,0.0
2.5654354,1.7588123,65,37,0,0,n13,2.565435,1.0
2.584132,1.7401158,70,50,0,0,n14,2.565435,1.0
2.5921447,1.732103,61,34,0,0,n15,2.565435,1.0
3.1931057,1.131142,53,38,0,0,n16,2.565435,1.0
3.2238216,1.1004262,65,34,0,0,n17,2.565435,1.0
3.2438536,1.0803943,61,39,0,0,n18,2.565435,1.0
3.24786,1.0763878,70,40,0,0,n19,2.565435,1.0
3.6338105,0.6904373,46,49,0,0,n20,2.565435,1.0
4.1265984,1.412926,54,40,0,0,n21,2.565435,1.0
4.172004,1.36752,66,22,0,0,n22,2.565435,1.0
4.1840234,1.3555008,77,65,0,0,n23,4.178014,2.0
4.190701,1.3488234,70,35,0,0,n24,4.178014,2.0
4.2267585,1.3127658,63,25,0,0,n25,4.178014,2.0
4.743585,0.7959394,73,68,0,0,n26,4.178014,2.0
4.9679437,0.57158065,54,33,0,0,n27,4.178014,2.0
5.0507426,0.48878157,66,42,0,0,n28,4.178014,2.0
5.105497,0.43402734,70,33,0,0,n29,4.178014,2.0
5.1095033,0.43002093,77,72,0,0,n30,4.178014,2.0
5.1629224,0.37660217,63,46,0,0,n31,4.178014,2.0
5.368584,2.3410766,75,69,0,0,n32,4.178014,2.0
5.55555,2.1541111,46,62,0,0,n33,4.178014,2.0
5.615646,2.094015,70,59,0,0,n34,4.178014,2.0
5.934823,1.774838,70,76,0,0,n35,4.178014,2.0
