xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	27	0.9973958333333334
n4-1	deletion
n6-1	n5	1	0	27	1.3906249999999996
n8-1	n9	1	0	27	1.5924479166666663
n7-1	n3	1	0	33	1.239583333333333
n9-1	n8	1	0	33	1.5468749999999996
n12-1	n13	1	0	33	1.794270833333333
n3-1	deletion
n5-1	deletion
n1-1	n1	1	0	40	1.00390625
n11-1	n14	1	0	27	1.864583333333333
n15-1	n19	1	0	27	2.098958333333333
n17-1	n23	1	0	27	2.2877604166666665
n13-1	deletion
n16-1	n21	1	0	33	2.19921875
n14-1	deletion
n10-1	n11	1	0	40	1.7291666666666665
n18-1	n26	1	0	33	2.3736979166666665
n26-1	n27	1	0	27	2.5052083333333326
n27-1	n30	1	0	33	2.639322916666666
n29-1	n34	1	0	33	2.819010416666666
n31-1	n45	1	0	33	3.26171875
n33-1	n49	1	0	33	3.59765625
n36-1	n53	1	0	33	3.7890625
n40-1	n57	1	0	33	3.9882812500000013
n42-1	n62	1	0	33	4.194010416666668
n38-1	deletion
n20-1	n31	1	0	40	2.729166666666666
n28-1	n38	1	0	40	3.0846354166666665
n25-1	n43	1	0	40	3.251302083333333
insertion	n24	1	0	40	2.321614583333333
insertion	n46	1	0	40	3.46875
n21-1	n39	1	0	45	3.184895833333333
n22-1	n40	1	0	47	3.2291666666666665
n23-1	n42	1	0	49	3.247395833333333
n24-1	n44	1	0	51	3.2604166666666665
n30-1	n37	1	0	27	3.0091145833333335
n32-1	n47	1	0	27	3.47265625
n35-1	n51	1	0	27	3.7018229166666665
n39-1	n55	1	0	27	3.903645833333334
n41-1	n60	1	0	27	4.101562500000002
n37-1	deletion
n34-1	n50	1	0	40	3.6861979166666665
n50-1	n65	1	0	27	4.326822916666667
n51-1	n72	1	0	33	4.648437499999999
n53-1	n91	1	0	33	5.376302083333331
insertion	n67	1	0	33	4.4375
n44-1	n68	1	0	40	4.47265625
n52-1	n78	1	0	40	4.877604166666665
insertion	n64	1	0	40	4.312500000000001
insertion	n84	1	0	40	5.170572916666665
insertion	n90	1	0	40	5.337239583333331
n45-1	n86	1	0	45	5.231770833333332
n46-1	n87	1	0	47	5.292968749999998
n47-1	n88	1	0	49	5.303385416666665
n48-1	n89	1	0	51	5.307291666666665
n54-1	n93	1	0	27	5.5273437499999964
n56-1	n97	1	0	27	5.753906249999996
n61-1	n106	1	0	27	6.238281249999995
n55-1	n95	1	0	33	5.6536458333333295
n57-1	n99	1	0	33	5.833333333333329
n62-1	n109	1	0	33	6.332031249999995
n49-1	n92	1	0	40	5.5195312499999964
n59-1	n101	1	0	27	5.949218749999994
n60-1	n104	1	0	33	6.088541666666661
n58-1	n100	1	0	40	5.921874999999994
n63-1	n111	1	0	27	6.423177083333329
n65-1	n116	1	0	27	6.677083333333329
n79-1	n118	1	0	27	6.906249999999996
n81-1	deletion
n64-1	n113	1	0	33	6.511718749999995
n66-1	n117	1	0	33	6.781249999999996
n80-1	n123	1	0	33	7.080729166666663
n82-1	n126	1	0	33	7.3463541666666625
n68-1	n119	1	0	40	6.9479166666666625
n83-1	n125	1	0	40	7.238281249999996
n85-1	n127	1	0	40	7.433593749999996
n69-1	n120	1	0	45	6.9700520833333295
n70-1	n121	1	0	47	7.065104166666663
n71-1	n122	1	0	49	7.076822916666663
n72-1	n124	1	0	51	7.147135416666663
n84-1	deletion
n74-1	n128	1	0	45	7.549479166666662
n75-1	n129	1	0	49	7.585937499999995
n76-1	n130	1	0	52	7.617187499999995
n77-1	n131	1	0	54	7.664062499999996
n78-1	n132	1	0	56	7.703124999999996
n98-1	n133	1	0	39	7.868489583333329
n100-1	deletion
n99-1	n134	1	0	45	7.907552083333329
n101-1	n140	1	0	45	8.207031249999998
n87-1	n135	1	0	52	7.993489583333329
n88-1	n136	1	0	57	8.002604166666663
n89-1	n137	1	0	59	8.046874999999996
n90-1	n138	1	0	61	8.074218749999996
n91-1	n139	1	0	63	8.10677083333333
n102-1	n141	1	0	52	8.247395833333332
n93-1	n142	1	0	57	8.355468749999998
n94-1	n143	1	0	61	8.367187499999998
n95-1	n144	1	0	64	8.388020833333332
n96-1	n145	1	0	66	8.407552083333332
n97-1	n146	1	0	68	8.434895833333332
n116-1	n147	1	0	51	8.5703125
n117-1	n148	1	0	57	8.60546875
n119-1	deletion
n105-1	n149	1	0	64	8.635416666666666
n120-1	n154	1	0	64	8.805989583333334
n106-1	n150	1	0	69	8.649739583333334
n107-1	n151	1	0	71	8.665364583333334
n108-1	n152	1	0	73	8.690104166666666
n109-1	n153	1	0	75	8.712239583333334
n111-1	n155	1	0	69	8.856770833333334
n112-1	n156	1	0	73	8.872395833333334
n113-1	n157	1	0	76	8.891927083333334
n114-1	n158	1	0	78	8.90625
n115-1	n159	1	0	80	8.921875
n134-1	n160	1	0	63	9.006510416666664
n135-1	n161	1	0	69	9.04817708333333
n137-1	deletion
n123-1	n162	1	0	76	9.05989583333333
n124-1	n163	1	0	81	9.076822916666663
n125-1	n164	1	0	83	9.096354166666663
n126-1	n165	1	0	85	9.098958333333329
n127-1	n166	1	0	87	9.119791666666663
n138-1	n167	1	0	76	9.19270833333333
n129-1	n168	1	0	81	9.23567708333333
n130-1	n169	1	0	85	9.253906249999998
n131-1	n170	1	0	88	9.263020833333332
n141-1	n175	1	0	88	9.421875
n132-1	n171	1	0	90	9.272135416666666
n133-1	n172	1	0	92	9.283854166666666
n152-1	n173	1	0	75	9.361979166666666
n153-1	n174	1	0	81	9.401041666666666
n155-1	deletion
n142-1	n177	1	0	93	9.430989583333332
n143-1	n178	1	0	95	9.447916666666666
n144-1	n179	1	0	97	9.454427083333332
n145-1	n181	1	0	99	9.463541666666666
n156-1	n183	1	0	88	9.60546875
n147-1	n184	1	0	93	9.622395833333334
n148-1	n190	1	0	97	9.684895833333334
n149-1	n191	1	0	100	9.691406250000002
n150-1	n187	1	0	102	9.649739583333334
n151-1	deletion
n163-1	n194	1	0	64	12.009114583333337
n164-1	n193	1	0	66	12.006510416666671
n165-1	n192	1	0	70	12.001302083333337
n161-1	n195	1	0	80	12.500000000000005
n175-1	n197	1	0	58	14.200520833333345
n176-1	n198	1	0	64	14.208333333333345
n177-1	n199	1	0	68	14.213541666666679
n173-1	n196	1	0	75	14.173177083333345
n169-1	n200	1	0	87	14.575520833333346
n170-1	n201	1	0	90	14.946614583333348
n172-1	n202	1	0	87	15.962239583333355
