onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0026041,0.069010414,27,102,1,0,n0,-10.0,-10.0
1.0078125,0.21875,40,109,1,0,n1,-10.0,-10.0
1.0130209,0.029947916,41,88,1,0,n2,1.009966,0.0
1.0351562,0.0013020834,45,71,1,0,n3,1.009966,0.0
1.046875,0.0013020834,44,53,1,0,n4,1.009966,0.0
1.0677084,0.15885417,28,49,1,0,n5,1.009966,0.0
1.1315104,0.095052086,42,58,1,0,n6,1.009966,0.0
1.1549479,0.071614586,44,48,1,0,n7,1.009966,0.0
1.2304688,0.119791664,33,61,1,0,n8,1.009966,0.0
1.2591146,0.046875,40,61,1,0,n9,1.009966,0.0
1.3164062,0.049479168,42,40,1,0,n10,1.009966,0.0
1.3372396,0.16536458,27,67,1,0,n11,1.009966,0.0
1.40625,0.096354164,40,42,1,0,n12,1.337668,1.0
1.5091146,0.052083332,33,23,1,0,n13,1.337668,1.0
1.5494791,1.5169271,40,50,1,0,n14,1.337668,1.0
1.6171875,1.4492188,27,39,1,0,n15,1.337668,1.0
1.6223959,1.4440104,42,30,1,0,n16,1.337668,1.0
1.7044271,1.3619791,40,45,1,0,n17,1.337668,1.0
1.7200521,1.3463541,33,45,1,0,n18,1.337668,1.0
1.7708334,1.2955729,42,42,1,0,n19,1.337668,1.0
1.8489584,1.2174479,27,44,1,0,n20,1.845337,2.0
1.8619791,1.2044271,40,53,1,0,n21,1.845337,2.0
1.9270834,1.1393229,42,59,1,0,n22,1.845337,2.0
1.9583334,1.1080729,33,50,1,0,n23,1.845337,2.0
2.0234375,1.0429688,40,55,1,0,n24,1.845337,2.0
2.0664062,1.0,27,50,1,0,n25,1.845337,2.0
2.079427,0.9869792,42,58,1,0,n26,1.845337,2.0
2.1640625,0.90234375,40,60,1,0,n27,1.845337,2.0
2.1692708,0.89713544,33,52,1,0,n28,1.845337,2.0
2.2252605,0.8411458,42,53,1,0,n29,1.845337,2.0
2.295573,0.7708333,27,51,1,0,n30,2.293912,3.0
2.2994792,0.76692706,40,66,1,0,n31,2.293912,3.0
2.3723958,0.69401044,42,48,1,0,n32,2.293912,3.0
2.4270833,0.63932294,33,58,1,0,n33,2.293912,3.0
2.4335938,0.6328125,40,64,1,0,n34,2.293912,3.0
2.5,0.56640625,42,59,1,0,n35,2.293912,3.0
2.5338542,0.53255206,27,60,1,0,n36,2.293912,3.0
2.5520833,0.51432294,40,76,1,0,n37,2.293912,3.0
2.6302083,0.4361979,33,59,1,0,n38,2.293912,3.0
2.735677,0.33072916,27,86,1,0,n39,2.734429,4.0
2.8085938,0.2578125,33,83,1,0,n40,2.734429,4.0
2.8346355,0.23177083,28,4,1,0,n41,2.734429,4.0
2.8802083,0.18619792,31,45,1,0,n42,2.734429,4.0
2.890625,0.17578125,40,115,1,0,n43,2.734429,4.0
2.890625,0.17578125,51,113,1,0,n44,2.734429,4.0
2.8932292,0.17317708,45,102,1,0,n45,2.734429,4.0
2.9036458,0.16276042,47,86,1,0,n46,2.734429,4.0
2.9179688,0.1484375,41,64,1,0,n47,2.734429,4.0
2.9375,0.12890625,49,56,1,0,n48,2.734429,4.0
3.3190105,0.059895832,40,62,1,0,n49,3.078248,5.0
3.3541667,0.057291668,27,38,1,0,n50,3.352228,6.0
3.4088542,1.125,42,53,1,0,n51,3.352228,6.0
